"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Yunis Abdelhamid","Reims","MAR","DF",NA,31,46,33,71.7391304347826,30,30,56.7,26,14,12,47,99,1
"Mehdi Abeid","Nantes","ALG","MF",NA,26,55,29,52.7272727272727,53,53,37.7,16,3,13,23,8,1
"Charles Abi","Saint-Étienne","FRA","FW",NA,19,9,9,100,7,7,28.6,2,0,2,4,4,0
"Amine Adli","Toulouse","MAR","MF","FW",19,0,0,NA,1,1,0,0,0,0,1,0,0
"Yacine Adli","Bordeaux","FRA","MF",NA,19,22,14,63.6363636363636,34,34,32.4,10,0,10,8,3,0
"Nayef Aguerd","Dijon","MAR","DF",NA,23,13,9,69.2307692307692,12,12,66.7,11,11,0,18,54,0
"Ruben Aguilar","Monaco","FRA","DF",NA,26,36,22,61.1111111111111,28,28,67.9,6,2,4,11,21,0
"Jean-Eudes Aholou","Saint-Étienne","CIV","MF",NA,25,16,12,75,9,9,33.3,6,1,5,15,10,0
"Youssef Aït Bennasser","Bordeaux","MAR","MF",NA,23,11,8,72.7272727272727,24,24,16.7,6,1,5,4,10,1
"Rayan Aït-Nouri","Angers","ALG","DF",NA,18,29,22,75.8620689655172,21,21,47.6,14,1,13,18,33,0
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,25,15,10,66.6666666666667,13,13,15.4,11,0,11,2,20,0
"Marley Aké","Marseille","FRA","FW","MF",18,2,2,100,3,3,33.3,0,0,0,1,1,0
"Chadrac Akolo","Amiens","COD","FW","MF",24,16,8,50,12,12,41.7,6,1,5,5,5,0
"Sofiane Alakouch","Nîmes","MAR","DF",NA,21,45,26,57.7777777777778,48,48,52.1,13,2,11,23,39,3
"Haitam Aleesami","Amiens","NOR","DF",NA,28,36,16,44.4444444444444,43,43,41.9,33,10,23,34,59,1
"Rúnar Alex Rúnarsson","Dijon","ISL","GK",NA,24,0,0,NA,2,2,0,0,0,0,0,3,3
"Rachid Alioui","Angers","MAR","FW",NA,27,8,5,62.5,13,13,15.4,3,0,3,2,9,0
"Mickaël Alphonse","Dijon","GLP","DF",NA,30,39,25,64.1025641025641,37,37,62.2,19,3,16,17,64,0
"Romain Amalfitano","Dijon","FRA","MF",NA,29,43,27,62.7906976744186,61,61,34.4,23,9,14,36,14,2
"Jordan Amavi","Marseille","FRA","DF",NA,25,55,29,52.7272727272727,64,64,48.4,27,6,21,56,97,0
"Thierry Ambrose","Metz","GLP","FW",NA,22,7,5,71.4285714285714,7,7,28.6,3,0,3,3,3,0
"Kelvin Amian","Toulouse","FRA","DF",NA,21,27,21,77.7777777777778,25,25,56,14,7,7,18,56,0
"Joachim Andersen","Lyon","DEN","DF",NA,23,17,9,52.9411764705882,19,19,36.8,16,12,4,10,74,2
"Benjamin André","Lille","FRA","MF",NA,28,72,44,61.1111111111111,74,74,39.2,32,9,23,59,40,1
"Victorien Angban","Metz","CIV","MF",NA,22,23,18,78.2608695652174,24,24,45.8,9,2,7,8,5,0
"Houssem Aouar","Lyon","ALG","MF","FW",21,28,12,42.8571428571429,35,35,28.6,15,1,14,13,11,0
"Adil Aouchiche","Paris S-G","FRA","MF",NA,17,3,2,66.6666666666667,4,4,50,3,0,3,0,0,0
"Dennis Appiah","Nantes","FRA","DF",NA,27,58,35,60.3448275862069,52,52,53.8,9,3,6,23,34,0
"Luiz Araújo","Lille","BRA","FW","MF",23,20,11,55,31,31,16.1,14,0,14,4,6,0
"Youcef Atal","Nice","ALG","FW","DF",23,24,11,45.8333333333333,31,31,41.9,12,1,11,24,11,1
"Jean-Kévin Augustin","Monaco","FRA","FW",NA,22,3,0,0,6,6,16.7,2,0,2,3,0,0
"Mathias Autret","Brest","FRA","MF","FW",28,23,17,73.9130434782609,25,25,32,14,1,13,10,3,0
"Ludovic Baal","Brest","GUF","DF",NA,33,27,15,55.5555555555556,22,22,45.5,9,3,6,17,20,0
"Benoît Badiashile","Monaco","FRA","DF",NA,18,18,12,66.6666666666667,12,12,50,20,11,9,27,57,1
"Stéphane Bahoken","Angers","CMR","FW",NA,27,7,4,57.1428571428571,7,7,14.3,4,1,3,2,2,0
"Dénys Bain","Brest","FRA","DF",NA,26,21,14,66.6666666666667,9,9,100,13,10,3,28,66,0
"Tiemoué Bakayoko","Monaco","FRA","MF",NA,24,48,24,50,54,54,53.7,12,4,8,29,17,0
"Mitchel Bakker","Paris S-G","NED","DF",NA,19,2,2,100,1,1,100,0,0,0,0,2,0
"Keita Baldé","Monaco","SEN","FW","MF",24,6,5,83.3333333333333,9,9,33.3,4,1,3,2,7,1
"Fodé Ballo-Touré","Monaco","SEN","DF",NA,22,36,25,69.4444444444444,32,32,53.1,10,1,9,24,45,0
"Florent Balmont","Dijon","FRA","MF",NA,39,12,6,50,12,12,58.3,6,0,6,1,3,0
"Abdoulaye Bamba","Angers","CIV","DF",NA,29,10,7,70,15,15,53.3,4,1,3,4,18,0
"Jonathan Bamba","Lille","CIV","FW","MF",23,12,6,50,29,29,24.1,19,3,16,16,8,2
"Danilo Barbosa","Nice","BRA","DF","MF",23,28,21,75,29,29,44.8,21,6,15,20,38,0
"Toma Bašić","Bordeaux","CRO","MF",NA,22,26,22,84.6153846153846,27,27,44.4,14,2,12,9,12,1
"Thomas Basila","Nantes","FRA","DF",NA,20,6,3,50,4,4,100,0,0,0,4,14,0
"Gil Bastião Dias","Monaco","POR","DF","MF",22,53,33,62.2641509433962,58,58,50,15,1,14,13,22,1
"Cristian Battocchio","Brest","ITA","MF",NA,27,31,24,77.4193548387097,36,36,38.9,13,4,9,19,21,0
"Gaëtan Belaud","Brest","FRA","DF",NA,32,13,7,53.8461538461538,8,8,50,8,3,5,15,15,0
"Haris Belkebla","Brest","ALG","MF",NA,25,44,24,54.5454545454545,28,28,35.7,25,5,20,53,21,2
"Raoul Bellanova","Bordeaux","ITA","DF",NA,19,1,1,100,1,1,0,0,0,0,0,0,0
"Jean-Ricner Bellegarde","Strasbourg","FRA","MF",NA,21,40,27,67.5,21,21,61.9,16,3,13,22,6,0
"Sami Ben Amar","Nîmes","MAR","FW",NA,21,1,1,100,1,1,100,1,0,1,1,0,0
"Wissam Ben Yedder","Monaco","FRA","FW",NA,28,22,16,72.7272727272727,19,19,42.1,12,0,12,4,1,0
"Cristian Benavente","Nantes","PER","MF","FW",25,8,5,62.5,8,8,25,1,0,1,3,0,0
"Darío Benedetto","Marseille","ARG","FW",NA,29,12,9,75,18,18,16.7,15,2,13,3,23,1
"Walter Benítez","Nice","ARG","GK",NA,26,1,1,100,3,3,33.3,0,0,0,0,8,0
"Loris Benito","Bordeaux","SUI","DF",NA,27,40,25,62.5,43,43,37.2,14,5,9,29,58,1
"Bilal Benkhedim","Saint-Étienne","FRA","MF","FW",18,3,3,100,4,4,25,1,0,1,1,0,0
"Yassine Benrahou","Bordeaux","FRA","FW","MF",20,3,0,0,5,5,40,1,0,1,2,1,0
"Yassine Benrahou","Nîmes","FRA","MF","FW",20,13,8,61.5384615384615,16,16,31.3,1,0,1,2,0,0
