"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Yunis Abdelhamid","Reims","MAR","DF",NA,34,6,0,0,0,49
"Himad Abdelli","Angers","ALG","MF","FW",22,3,0,0,0,43
"Salis Abdul Samed","Lens","GHA","MF",NA,22,6,1,0,1,71
"Laurent Abergel","Lorient","FRA","MF",NA,29,7,1,1,2,28
"Matthis Abline","Auxerre","FRA","FW","MF",19,1,0,0,0,14
"Matthis Abline","Rennes","FRA","FW","MF",19,0,0,0,0,3
"Zakaria Aboukhlal","Toulouse","MAR","FW","MF",22,4,0,0,0,41
"Martin Adeline","Reims","FRA","MF","FW",18,2,0,0,0,5
"Emmanuel Agbadou","Reims","CIV","DF",NA,25,5,3,0,3,29
"Lucien Agoume","Troyes","FRA","MF",NA,20,5,0,0,0,30
"Ruben Aguilar","Monaco","FRA","DF",NA,29,3,0,0,0,15
"Amar Ahmed","Troyes","SWE","FW",NA,18,0,0,0,0,1
"Jean-Eudes Aholou","Strasbourg","CIV","MF",NA,28,4,1,0,1,39
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,28,1,0,0,0,14
"Maghnes Akliouche","Monaco","FRA","MF","FW",20,3,0,0,0,7
"Doğan Alemdar","Rennes","TUR","GK",NA,19,1,0,0,0,0
"Jim Allevinah","Clermont Foot","GAB","DF","FW",27,2,0,0,0,22
"Mickaël Alphonse","Ajaccio","GLP","DF",NA,33,2,1,0,1,19
"Ibrahim Amadou","Angers","FRA","DF","MF",29,2,0,0,0,4
"Ayoub Amraoui","Nice","MAR","DF","FW",18,1,0,0,0,5
"Benjamin André","Lille","FRA","MF",NA,31,12,0,0,0,57
"Komnen Andrić","Clermont Foot","SRB","FW",NA,27,4,0,0,0,16
"Houssem Aouar","Lyon","ALG","MF",NA,24,2,0,0,0,7
"Adil Aouchiche","Lorient","FRA","MF",NA,20,0,0,0,0,4
"Dennis Appiah","Nantes","FRA","DF","MF",30,1,0,0,0,16
"Stredair Appuah","Nantes","FRA","DF","MF",18,0,0,0,0,0
"Taïryk Arconte","Brest","FRA","FW",NA,18,0,0,0,0,1
"Lorenz Assignon","Rennes","TOG","DF",NA,22,3,0,0,0,4
"Youcef Atal","Nice","ALG","DF","MF",26,1,0,0,0,9
"Valentin Atangana Edoa","Reims","FRA","MF",NA,16,0,0,0,0,7
"Mathias Autret","Auxerre","FRA","MF","FW",31,0,0,0,0,7
"Cédric Avinel","Ajaccio","GLP","DF",NA,35,2,1,0,1,12
"Loïc Bade","Rennes","FRA","DF",NA,22,1,0,0,0,3
