"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aaron Ramsey","Nice","WAL","MF",NA,31,29,126,84,915,1088,84.1,398,431,92.3,100,159,62.9,382,444,86,28,20,3,998,88,37,5,11,62,6,45,2,1279,24,14,58.3,5,20.8
"Abdallah Sima","Angers","SEN","FW",NA,21,38,21,140,274,374,73.3,142,182,78,8,17,47.1,84,116,72.4,16,6,1,334,39,0,1,1,16,6,0,1,589,50,21,42,25,50
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",28,1,3,12,36,44,81.8,16,20,80,0,1,0,15,17,88.2,1,0,0,39,5,2,0,1,3,2,1,0,54,1,0,0,0,0
"Abdoulaye Bamba","Angers","CIV","DF",NA,32,8,36,19,619,721,85.9,248,266,93.2,53,81,65.4,302,341,88.6,4,6,3,651,70,17,2,0,19,53,0,0,832,9,4,44.4,4,44.4
"Abdu Conté","Troyes","POR","DF",NA,24,32,56,91,591,754,78.4,256,303,84.5,52,83,62.7,270,324,83.3,14,14,6,613,138,12,2,5,37,126,0,3,869,17,2,11.8,14,82.4
"Achraf Dari","Brest","MAR","DF",NA,23,3,33,1,547,690,79.3,123,144,85.4,106,183,57.9,308,343,89.8,1,0,0,661,27,27,0,7,1,0,0,2,846,1,1,100,0,0
"Achraf Hakimi","Paris S-G","MAR","DF","MF",23,85,99,229,1373,1538,89.3,875,952,91.9,28,40,70,378,416,90.9,33,46,13,1422,116,12,1,1,42,101,3,0,1772,74,29,39.2,32,43.2
"Adam Ounas","Lille","ALG","FW","MF",25,55,66,125,403,569,70.8,190,234,81.2,48,83,57.8,153,218,70.2,26,32,4,510,54,11,5,5,75,7,36,5,727,82,37,45.1,31,37.8
"Adil Aouchiche","Lorient","FRA","MF",NA,20,16,23,20,115,154,74.7,56,62,90.3,12,30,40,41,51,80.4,1,3,0,133,21,8,0,4,17,3,8,0,192,7,2,28.6,3,42.9
"Adil Rami","Troyes","FRA","DF",NA,36,4,35,2,615,731,84.1,194,211,91.9,103,154,66.9,306,343,89.2,3,2,1,691,35,31,0,7,5,3,0,5,909,10,4,40,4,40
"Ado Onaiwu","Toulouse","JPN","FW",NA,26,11,30,86,252,337,74.8,145,187,77.5,10,15,66.7,78,100,78,8,10,1,328,7,1,2,3,5,2,0,2,438,15,6,40,8,53.3
"Adrien Hunou","Angers","FRA","MF","FW",28,34,62,149,572,753,76,287,363,79.1,24,47,51.1,225,268,84,18,12,1,712,34,2,2,1,16,13,4,7,1008,34,13,38.2,16,47.1
"Adrien Thomasson","Strasbourg","FRA","MF",NA,28,15,41,73,440,559,78.7,223,267,83.5,28,48,58.3,166,193,86,19,15,3,502,21,11,2,3,8,3,1,1,640,16,8,50,6,37.5
"Adrien Thomasson","Strasbourg","FRA","MF",NA,28,15,41,73,440,559,78.7,223,267,83.5,28,48,58.3,166,193,86,19,15,3,502,21,11,2,3,8,3,1,1,707,18,12,66.7,2,11.1
"Adrien Thomasson","Lens","FRA","MF","FW",28,17,49,98,440,559,78.7,223,267,83.5,28,48,58.3,166,193,86,19,15,3,553,3,1,2,2,13,1,1,3,640,16,8,50,6,37.5
"Adrien Thomasson","Lens","FRA","MF","FW",28,17,49,98,440,559,78.7,223,267,83.5,28,48,58.3,166,193,86,19,15,3,553,3,1,2,2,13,1,1,3,707,18,12,66.7,2,11.1
