"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Brest",578,1329,11747,15176,77.4,4962,5928,83.7,1193,2207,54.1,5175,6171,83.9,13505,1607,432,44,84,534,664,143,64,46.4,19138,762,409,53.7,306,40.2
"Clermont Foot",635,1577,14270,17611,81,5888,6872,85.7,1545,2589,59.7,6384,7285,87.6,16060,1510,420,53,92,642,638,173,41,51.1,21388,665,321,48.3,312,46.9
"Le Havre",617,1527,15710,19043,82.5,6432,7367,87.3,1523,2525,60.3,7281,8237,88.4,17347,1625,465,48,87,607,695,156,71,55.3,22612,608,289,47.5,283,46.5
"Lens",519,1146,12996,16265,79.9,5497,6319,87,1293,2444,52.9,5757,6642,86.7,14626,1600,497,38,56,488,622,128,39,47.1,20095,617,278,45.1,291,47.2
"Lille",532,1110,11698,14728,79.4,4447,5189,85.7,1396,2445,57.1,5515,6359,86.7,13163,1473,399,50,102,506,610,142,92,43.4,18257,616,302,49,278,45.1
"Lorient",647,1647,15949,19173,83.2,6718,7549,89,1530,2621,58.4,7192,8084,89,17646,1489,431,24,90,733,590,191,38,53.7,22851,579,279,48.2,252,43.5
"Lyon",648,1391,13756,16844,81.7,6165,6985,88.3,1228,2275,54,5891,6769,87,15324,1469,449,56,95,594,546,150,51,48.2,20720,612,328,53.6,250,40.8
"Marseille",630,1228,12519,15560,80.5,5291,6101,86.7,1341,2333,57.5,5484,6330,86.6,13985,1536,429,23,97,553,562,162,39,46.3,19426,615,295,48,292,47.5
"Metz",739,1944,18493,21875,84.5,8298,9275,89.5,1507,2466,61.1,8106,9107,89,20255,1569,436,36,72,736,668,182,51,64.5,25406,545,276,50.6,238,43.7
"Monaco",602,1311,12256,15731,77.9,5256,6125,85.8,1338,2506,53.4,5226,6178,84.6,13998,1670,522,61,107,568,624,156,63,46.4,19752,743,364,49,322,43.3
"Montpellier",770,1714,14871,18181,81.8,6561,7493,87.6,1411,2419,58.3,6376,7305,87.3,16581,1551,460,44,77,669,611,173,49,55.4,22267,741,381,51.4,310,41.8
"Nantes",617,1613,15934,19173,83.1,6598,7448,88.6,1604,2638,60.8,7252,8238,88,17524,1608,464,39,114,621,684,176,41,55.2,22696,661,318,48.1,298,45.1
"Nice",494,1154,13633,16675,81.8,5742,6444,89.1,1265,2411,52.5,6207,6987,88.8,15200,1425,436,48,81,489,563,104,50,47.6,20329,532,220,41.4,285,53.6
"Paris S-G",488,1054,10100,12950,78,4466,5177,86.3,1163,2154,54,4077,4861,83.9,11502,1403,389,35,72,515,491,159,45,34.8,16780,646,319,49.4,283,43.8
"Reims",608,1410,12888,16208,79.5,5112,5997,85.2,1530,2604,58.8,5826,6753,86.3,14494,1654,500,51,109,653,673,177,60,49.6,20100,678,319,47.1,320,47.2
"Rennes",536,1246,13026,16224,80.3,5614,6457,86.9,1330,2430,54.7,5648,6499,86.9,14644,1516,443,33,100,583,585,151,64,47.9,19919,557,245,44,280,50.3
"Strasbourg",553,1536,15611,18849,82.8,6387,7264,87.9,1510,2480,60.9,7211,8106,89,17180,1594,477,57,97,576,648,169,75,55.7,22453,617,264,42.8,308,49.9
"Toulouse",607,1343,14170,17445,81.2,5878,6739,87.2,1302,2395,54.4,6548,7468,87.7,15791,1618,527,30,75,605,618,177,36,51.6,21145,689,332,48.2,294,42.7
