"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Brest",679,427,62.8865979381443,715,715,42.8,386,100,286,321,644,13
"Clermont Foot",581,358,61.617900172117,633,633,49.3,382,130,252,347,667,19
"Le Havre",560,332,59.2857142857143,572,572,49.5,362,124,238,363,664,10
"Lens",554,339,61.1913357400722,569,569,51.1,392,112,280,298,549,16
"Lille",594,370,62.2895622895623,580,580,47.9,319,80,239,292,574,10
"Lorient",538,326,60.5947955390335,531,531,47.5,391,129,262,337,805,14
"Lyon",538,331,61.5241635687732,578,578,43.3,343,118,225,304,563,12
"Marseille",604,371,61.4238410596027,587,587,49.7,365,99,266,332,633,8
"Metz",562,334,59.4306049822064,514,514,46.3,416,127,289,348,834,9
"Monaco",664,412,62.0481927710843,686,686,46.9,418,85,333,394,582,14
"Montpellier",619,379,61.2277867528271,691,691,44.9,427,161,266,308,766,5
"Nantes",582,352,60.4810996563574,616,616,48.4,339,102,237,332,697,4
"Nice",538,308,57.2490706319703,505,505,56.4,389,111,278,292,505,10
"Paris S-G",585,360,61.5384615384615,602,602,47,346,108,238,268,509,22
"Reims",640,392,61.25,639,639,50.1,398,133,265,342,671,10
"Rennes",526,311,59.1254752851711,525,525,53.3,371,106,265,328,618,10
"Strasbourg",620,383,61.7741935483871,572,572,53.8,406,115,291,347,682,13
"Toulouse",612,358,58.4967320261438,626,626,47,431,148,283,294,715,6
