"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Brest",53,118,71,9,26.5,0,0
"Clermont Foot",26,100,84.3,16,47.1,1,14.3
"Le Havre",34,86,76.7,16,47.1,1,14.3
"Lens",45,128,77.6,7,20.6,1,14.3
"Lille",52,117,70.2,4,11.8,1,33.3
"Lorient",43,95,69.1,14,41.2,0,0
"Lyon",49,124,73.8,7,20.6,0,0
"Marseille",52,106,69.2,10,29.4,0,0
"Metz",35,75,72.3,11,32.4,2,33.3
"Monaco",68,138,68.1,5,14.7,3,60
"Montpellier",43,119,77.5,10,29.4,0,0
"Nantes",30,103,80.6,14,41.2,1,20
"Nice",40,116,78.1,9,26.5,0,0
"Paris S-G",81,116,62.2,3,8.8,2,22.2
"Reims",42,89,70,6,17.6,1,25
"Rennes",53,114,74.4,8,23.5,1,9.1
"Strasbourg",38,86,71.3,9,26.5,0,0
"Toulouse",42,92,73.3,10,29.4,1,14.3
