"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Brest",25,590,1402,14111,17733,79.6,5352,6275,85.3,2059,3359,61.3,6263,7237,86.5,16093,1606,490,25,166,792,696,154,34,53.6,21735,690,326,47.2,320,46.4
"Clermont Foot",31,537,1247,13390,16784,79.8,5792,6628,87.4,1435,2665,53.8,5654,6606,85.6,15174,1559,458,51,78,551,581,150,51,48.9,20572,575,252,43.8,286,49.7
"Le Havre",27,457,1199,11739,15121,77.6,5123,6042,84.8,1150,2291,50.2,5019,5901,85.1,13517,1552,441,28,54,544,655,128,52,44.7,18820,586,260,44.4,286,48.8
"Lens",27,609,1624,14709,18083,81.3,6666,7617,87.5,1255,2217,56.6,6203,7157,86.7,16450,1558,453,49,63,736,638,175,75,52.9,21677,487,226,46.4,220,45.2
"Lille",28,650,1468,16278,19319,84.3,7309,8169,89.5,1351,2273,59.4,7084,7941,89.2,17662,1611,578,34,114,533,598,177,46,56.6,22824,680,336,49.4,293,43.1
"Lorient",38,632,1293,13284,16298,81.5,5717,6546,87.3,1283,2250,57,5787,6601,87.7,14697,1545,459,25,80,565,555,135,56,46.3,20194,691,341,49.3,316,45.7
"Lyon",35,683,1600,14823,17984,82.4,6513,7395,88.1,1409,2376,59.3,6362,7223,88.1,16440,1492,413,56,101,560,576,166,52,51.8,21623,742,375,50.5,317,42.7
"Marseille",33,635,1613,14716,18000,81.8,6190,7030,88.1,1310,2344,55.9,6752,7732,87.3,16375,1556,451,39,63,713,626,184,69,53.7,21671,548,260,47.4,244,44.5
"Metz",30,458,910,8816,11986,73.6,3132,3872,80.9,1317,2559,51.5,4173,5024,83.1,10324,1617,435,16,110,563,659,133,45,35.6,15895,655,290,44.3,336,51.3
"Monaco",30,614,1726,14825,18346,80.8,6362,7376,86.3,1414,2430,58.2,6547,7589,86.3,16702,1571,465,76,72,517,619,183,73,53.6,22252,593,301,50.8,255,43
"Montpellier",31,553,1174,11198,14618,76.6,4428,5251,84.3,1503,2790,53.9,4815,5705,84.4,12910,1653,489,37,130,601,653,138,55,44.6,18599,621,293,47.2,283,45.6
"Nantes",35,569,1243,12180,15384,79.2,5084,5814,87.4,1273,2486,51.2,5410,6278,86.2,13814,1519,397,50,69,627,609,165,51,44.8,18988,468,220,47,212,45.3
"Nice",27,661,1245,15511,18379,84.4,7507,8293,90.5,1061,1950,54.4,6438,7248,88.8,16875,1452,414,41,43,605,583,184,52,52.4,22006,752,371,49.3,342,45.5
"Paris S-G",29,845,1915,21536,24396,88.3,9423,10335,91.2,1507,2177,69.2,9980,10802,92.4,22943,1400,395,73,98,513,540,198,53,65.2,27993,815,401,49.2,364,44.7
"Reims",29,625,1425,12995,16365,79.4,4942,5830,84.8,1553,2684,57.9,6140,7027,87.4,14705,1576,392,45,103,618,688,174,84,50.4,20300,660,329,49.8,297,45
"Rennes",29,606,1639,14481,17580,82.4,5645,6490,87,1575,2513,62.7,6806,7723,88.1,16008,1536,483,38,96,554,608,157,36,52.1,21300,689,351,50.9,289,41.9
"Strasbourg",30,547,1152,12021,15031,80,4556,5286,86.2,1315,2383,55.2,5863,6761,86.7,13463,1533,487,44,65,554,586,117,35,44.3,18798,639,318,49.8,277,43.3
"Toulouse",26,549,1405,13014,16304,79.8,5571,6480,86,1239,2195,56.4,5860,6824,85.9,14673,1581,476,43,102,526,622,151,50,48.4,20087,592,289,48.8,265,44.8
