"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Brest",585,344,58.8034188034188,646,646,49.5,394,116,278,305,783,13
"Clermont Foot",555,331,59.6396396396396,538,538,53.2,359,110,249,352,588,10
"Le Havre",570,335,58.7719298245614,546,546,52.4,392,105,287,286,579,13
"Lens",537,329,61.2662942271881,446,446,49.3,423,125,298,345,720,18
"Lille",603,367,60.8623548922056,629,629,46.6,387,124,263,340,558,11
"Lorient",631,389,61.648177496038,657,657,48.1,351,93,258,293,584,15
"Lyon",669,397,59.3423019431988,692,692,45.8,408,112,296,362,678,5
"Marseille",547,325,59.4149908592322,504,504,48.4,370,112,258,381,773,6
"Metz",603,382,63.3499170812604,626,626,53.7,303,89,214,259,563,12
"Monaco",580,341,58.7931034482759,556,556,45.9,442,133,309,360,725,18
"Montpellier",574,362,63.0662020905923,576,576,49.1,410,121,289,302,703,10
"Nantes",466,288,61.8025751072961,432,432,49.1,332,108,224,271,631,10
"Nice",683,412,60.3221083455344,713,713,48,367,125,242,294,665,15
"Paris S-G",652,391,59.9693251533742,765,765,47.6,442,145,297,375,614,13
"Reims",596,377,63.255033557047,626,626,47.4,397,117,280,363,644,10
"Rennes",623,378,60.6741573033708,640,640,45.2,386,137,249,359,622,3
"Strasbourg",590,368,62.3728813559322,595,595,46.6,283,90,193,287,643,11
"Toulouse",532,327,61.4661654135338,554,554,47.8,435,126,309,313,605,12
