"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Brest",2,34,98,75.9,15,44.1,1,33.3
"Clermont Foot",2,60,152,75,5,14.7,1,12.5
"Le Havre",2,45,114,72.8,7,20.6,1,33.3
"Lens",2,37,101,77.5,14,41.2,1,14.3
"Lille",2,34,94,75.8,15,44.1,2,40
"Lorient",1,66,142,72,4,11.8,0,0
"Lyon",2,55,114,69.8,10,29.4,1,20
"Marseille",2,41,90,70.8,7,20.6,0,0
"Metz",2,58,130,72.3,6,17.6,0,0
"Monaco",2,42,110,75.5,12,35.3,1,16.7
"Montpellier",2,48,125,74.3,10,29.4,1,20
"Nantes",3,55,101,70.5,8,23.5,0,0
"Nice",1,29,74,77.1,17,50,3,37.5
"Paris S-G",3,33,113,80.3,12,35.3,1,20
"Reims",1,47,90,70.1,8,23.5,1,14.3
"Rennes",1,46,104,70.7,7,20.6,0,0
"Strasbourg",2,50,77,63.2,5,14.7,1,20
"Toulouse",1,46,93,69.8,6,17.6,0,0
