"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Patrick van Aanholt","Crystal Palace","NED","DF",NA,29,35,22,62.8571428571429,43,43,44.2,18,6,12,30,40,2
"Tammy Abraham","Chelsea","ENG","FW",NA,22,7,5,71.4285714285714,7,7,14.3,6,0,6,5,17,0
"Che Adams","Southampton","SCO","FW",NA,24,25,16,64,17,17,35.3,20,2,18,4,19,1
"Tosin Adarabioyo","Fulham","ENG","DF",NA,22,37,19,51.3513513513514,40,40,47.5,26,20,6,42,197,2
"Sergio Agüero","Manchester City","ARG","FW",NA,32,4,1,25,11,11,18.2,2,0,2,2,0,0
"Ola Aina","Fulham","NGA","DF",NA,23,37,20,54.0540540540541,43,43,48.8,22,6,16,45,94,2
"Rayan Aït-Nouri","Wolves","ALG","DF",NA,19,29,16,55.1724137931034,27,27,48.1,14,1,13,15,25,0
"Semi Ajayi","West Brom","NGA","DF",NA,26,40,14,35,41,41,56.1,51,32,19,42,122,2
"Nathan Aké","Manchester City","NED","DF",NA,25,10,5,50,4,4,75,2,1,1,9,23,0
"Marc Albrighton","Leicester City","ENG","DF","FW",30,33,19,57.5757575757576,45,45,35.6,29,3,26,17,27,1
"Thiago Alcántara","Liverpool","ESP","MF",NA,29,61,36,59.016393442623,49,49,34.7,26,0,26,30,14,0
"Toby Alderweireld","Tottenham","BEL","DF",NA,31,35,22,62.8571428571429,30,30,60,40,28,12,10,121,0
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,21,56,33,58.9285714285714,56,56,64.3,24,3,21,49,50,3
"Ezgjan Alioski","Leeds United","MKD","DF","MF",28,74,31,41.8918918918919,74,74,43.2,17,2,15,23,50,2
"Alisson","Liverpool","BRA","GK",NA,27,3,2,66.6666666666667,4,4,75,0,0,0,2,26,7
"Allan","Everton","BRA","MF",NA,29,80,45,56.25,95,95,29.5,31,12,19,19,25,1
"Dele Alli","Tottenham","ENG","MF",NA,24,18,11,61.1111111111111,19,19,36.8,9,0,9,7,3,0
"Miguel Almirón","Newcastle Utd","PAR","MF","FW",26,49,29,59.1836734693878,56,56,25,23,4,19,25,20,1
"Marcos Alonso","Chelsea","ESP","DF",NA,29,13,3,23.0769230769231,14,14,50,12,1,11,12,30,0
"Steven Alzate","Brighton","COL","MF",NA,21,17,8,47.0588235294118,15,15,40,8,1,7,8,10,0
"Daniel Amartey","Leicester City","GHA","DF",NA,25,11,7,63.6363636363636,12,12,66.7,8,4,4,12,26,0
"Ethan Ampadu","Sheffield Utd","WAL","DF","MF",19,57,36,63.1578947368421,46,46,43.5,40,19,21,49,87,3
"Joachim Andersen","Fulham","DEN","DF",NA,24,33,19,57.5757575757576,28,28,53.6,24,13,11,44,151,1
"Michail Antonio","West Ham","JAM","FW",NA,30,7,4,57.1428571428571,7,7,14.3,20,3,17,7,7,0
"Alphonse Areola","Fulham","FRA","GK",NA,27,1,0,0,5,5,20,0,0,0,1,13,3
"Stuart Armstrong","Southampton","SCO","MF",NA,28,60,41,68.3333333333333,75,75,36,26,1,25,24,19,0
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,25,0,0,NA,1,1,0,0,0,0,0,0,3
"Pierre-Emerick Aubameyang","Arsenal","GAB","FW",NA,31,12,8,66.6666666666667,20,20,15,18,0,18,7,17,0
"Serge Aurier","Tottenham","CIV","DF",NA,27,55,33,60,40,40,37.5,28,5,23,19,44,3
