"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alisson","Liverpool","BRA","GK",NA,27,18,8,7,32,82,75.7,10,30.3,1,20
"Alphonse Areola","Fulham","FRA","GK",NA,27,5,13,18,48,114,73.9,9,25,0,0
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,25,2,2,2,8,15,69.6,2,33.3,0,0
"Scott Carson","Manchester City","ENG","GK",NA,34,1,0,0,3,1,60,0,0,1,50
"Karl Darlow","Newcastle Utd","WAL","GK",NA,29,7,4,14,43,84,68.3,4,16,1,25
"Martin Dúbravka","Newcastle Utd","SVK","GK",NA,31,5,5,3,19,44,71,3,23.1,0,0
"Ederson","Manchester City","BRA","GK",NA,26,25,5,6,28,65,77.4,19,52.8,1,12.5
"Łukasz Fabiański","West Ham","POL","GK",NA,35,17,8,10,44,97,70.3,10,28.6,1,25
"Fraser Forster","Southampton","ENG","GK",NA,32,4,0,4,11,19,71,2,25,1,33.3
"David de Gea","Manchester Utd","ESP","GK",NA,29,12,9,5,32,59,68.9,9,34.6,0,0
"Vicente Guaita","Crystal Palace","ESP","GK",NA,33,11,8,18,64,104,63.9,8,21.6,1,25
"Sam Johnstone","West Brom","ENG","GK",NA,27,4,11,22,74,162,71.4,6,16.2,1,12.5
"Bernd Leno","Arsenal","GER","GK",NA,28,17,6,12,37,83,69.2,11,31.4,1,50
"Hugo Lloris","Tottenham","FRA","GK",NA,33,18,8,12,45,113,77.4,12,31.6,0,0
"Emiliano Martínez","Aston Villa","ARG","GK",NA,27,16,7,15,46,133,78,15,39.5,1,16.7
"Alex McCarthy","Southampton","ENG","GK",NA,30,8,7,15,57,91,65.3,7,23.3,0,0
"Edouard Mendy","Chelsea","SEN","GK",NA,28,17,7,7,25,56,71.6,16,51.6,1,33.3
"Illan Meslier","Leeds United","FRA","GK",NA,20,16,5,14,52,137,76.6,11,31.4,1,11.1
"Robin Olsen","Everton","SWE","GK",NA,30,2,3,2,9,21,73.3,2,28.6,0,0
"Rui Patrício","Wolves","POR","GK",NA,32,12,9,16,51,99,70.3,10,27,1,12.5
"Jordan Pickford","Everton","ENG","GK",NA,26,15,5,11,39,90,71.1,10,32.3,0,0
"Nick Pope","Burnley","ENG","GK",NA,28,10,9,13,37,113,77.2,11,34.4,0,0
"Aaron Ramsdale","Sheffield Utd","ENG","GK",NA,22,7,2,29,63,145,70.9,5,13.2,0,0
"Marek Rodák","Fulham","SVK","GK",NA,23,0,0,2,5,4,55.6,0,0,0,0
"Mathew Ryan","Arsenal","AUS","GK",NA,28,1,1,1,2,8,90,1,33.3,0,0
"Mathew Ryan","Brighton","AUS","GK",NA,28,2,4,5,19,16,55.9,2,18.2,0,0
"Robert Sánchez","Brighton","ESP","GK",NA,22,7,10,10,27,65,72.5,10,37,0,0
"Kasper Schmeichel","Leicester City","DEN","GK",NA,33,20,6,12,50,88,66.2,11,28.9,0,0
