"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Ajaccio",23,74,-51,10,30,-20,13,44,-31,12,34,9,6,311,81,26,0.05,0.2,18.1,12,539,350,189,38,23,15
"Angers",33,81,-48,20,36,-16,13,45,-32,18,49,4,4,367,121,33,0.07,0.22,17.5,18,647,471,176,53,35,18
"Auxerre",35,63,-28,18,28,-10,17,35,-18,17,49,9,7,420,117,27.9,0.06,0.21,19.6,15,733,528,205,50,28,22
"Brest",44,54,-10,24,26,-2,20,28,-8,28,71,8,7,417,132,31.7,0.09,0.27,17.4,13,736,495,241,73,39,34
"Clermont Foot",45,49,-4,20,28,-8,25,21,4,26,70,10,7,393,139,35.4,0.09,0.27,18.3,16,668,497,171,72,45,27
"Lens",68,29,39,41,13,28,27,16,11,49,115,9,6,518,177,34.2,0.12,0.34,16.4,6,921,681,240,116,85,31
"Lille",65,44,21,40,25,15,25,19,6,40,105,12,11,545,201,36.9,0.1,0.27,16.8,16,996,735,261,111,76,35
"Lorient",52,53,-1,26,21,5,26,32,-6,32,81,6,4,397,149,37.5,0.11,0.3,17.9,16,705,505,200,86,52,34
"Lyon",65,47,18,35,19,16,30,28,2,45,108,8,6,511,199,38.9,0.11,0.29,16.7,18,902,668,234,109,85,24
"Marseille",67,40,27,35,24,11,32,16,16,38,99,7,6,546,173,31.7,0.1,0.32,16.7,16,954,693,261,98,55,43
"Monaco",70,58,12,37,33,4,33,25,8,47,116,8,5,470,199,42.3,0.14,0.32,17,10,834,620,214,117,78,39
"Montpellier",65,62,3,29,29,0,36,33,3,41,105,7,7,435,165,37.9,0.13,0.35,18.3,22,748,515,233,106,77,29
"Nantes",37,55,-18,20,26,-6,17,29,-12,27,62,5,3,443,151,34.1,0.07,0.21,18.1,16,771,558,213,63,45,18
"Nice",48,37,11,24,18,6,24,19,5,32,79,7,6,507,187,36.9,0.08,0.22,17.8,11,894,654,240,82,52,30
"Paris S-G",89,40,49,45,25,20,44,15,29,62,148,7,5,562,242,43.1,0.14,0.33,16.2,28,1024,791,233,151,116,35
"Reims",45,45,0,28,23,5,17,22,-5,31,76,8,7,516,165,32,0.07,0.23,18.1,17,900,687,213,79,55,24
"Rennes",69,39,30,43,14,29,26,25,1,47,113,3,3,526,189,35.9,0.12,0.33,16.3,15,932,679,253,114,79,35
"Strasbourg",51,59,-8,25,26,-1,26,33,-7,28,76,7,5,442,150,33.9,0.1,0.29,17.5,21,774,550,224,78,52,26
"Toulouse",51,57,-6,27,27,0,24,30,-6,33,83,4,4,453,171,37.7,0.1,0.27,16.3,19,768,558,210,81,59,22
"Troyes",45,81,-36,19,30,-11,26,51,-25,26,69,5,5,390,130,33.3,0.1,0.29,18.2,8,696,503,193,72,48,24
