"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Paris S-G",1,27,4,7,85,13,14,2,2,4,3,41,44
"Lens",2,25,9,4,84,17,8,1,8,1,3,52,32
"Marseille",3,22,7,9,73,10,12,4,3,5,4,34,39
"Rennes",4,21,5,12,68,15,6,0,5,4,8,45,23
"Lille",5,19,10,9,67,13,6,4,6,2,7,43,24
"Monaco",6,19,8,11,65,9,10,3,5,7,4,30,35
"Lyon",7,18,8,12,62,10,8,5,3,4,8,35,27
"Clermont Foot",8,17,8,13,59,9,8,3,5,7,6,30,29
"Nice",9,15,13,10,58,7,8,7,6,5,5,28,30
"Lorient",10,15,10,13,55,9,6,4,6,6,7,31,24
"Reims",11,12,15,11,51,8,4,6,9,5,6,30,21
"Montpellier",12,15,5,18,50,7,8,3,2,9,9,24,26
"Toulouse",13,13,9,16,48,6,7,6,3,7,9,24,24
"Brest",14,11,11,16,44,7,4,5,6,7,9,26,18
"Strasbourg",15,9,13,16,40,5,4,7,6,7,9,22,18
"Nantes",16,7,15,16,36,5,2,8,7,6,10,23,13
"Auxerre",17,8,11,19,35,5,3,7,4,7,12,22,13
"Ajaccio",18,7,5,26,26,4,3,3,2,12,14,15,11
"Troyes",19,4,12,22,24,1,3,11,1,7,15,14,10
"Angers",20,4,6,28,18,3,1,3,3,13,15,12,6
