"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Ajaccio",69,8,2,10,522
"Angers",59,6,2,8,437
"Auxerre",47,3,0,3,438
"Brest",76,7,3,10,482
"Clermont Foot",76,9,4,13,617
"Lens",79,3,3,6,517
"Lille",75,6,3,9,506
"Lorient",80,4,3,7,527
"Lyon",66,4,1,5,477
"Marseille",64,0,0,0,442
"Monaco",58,2,0,2,429
"Montpellier",82,10,4,14,551
"Nantes",61,5,1,6,435
"Nice",44,4,2,6,411
"Paris S-G",50,4,0,4,442
"Reims",66,6,1,7,438
"Rennes",55,5,0,5,396
"Strasbourg",68,7,4,11,500
"Toulouse",64,2,0,2,437
"Troyes",47,5,2,7,431
