"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Ajaccio",637,382,59.9686028257457,694,694,45.1,359,85,274,420,670,10
"Angers",652,386,59.2024539877301,610,610,50.8,402,99,303,375,605,13
"Auxerre",674,378,56.0830860534125,678,678,46.2,441,118,323,454,782,11
"Brest",705,417,59.1489361702128,740,740,48.1,435,115,320,475,686,13
"Clermont Foot",685,398,58.1021897810219,779,779,45.1,424,126,298,440,571,17
"Lens",540,323,59.8148148148148,570,570,46,401,112,289,339,559,7
"Lille",635,370,58.2677165354331,658,658,47.7,390,74,316,301,543,13
"Lorient",736,420,57.0652173913044,690,690,45.7,484,141,343,369,849,17
"Lyon",723,423,58.50622406639,771,771,47.6,433,107,326,481,542,12
"Marseille",685,404,58.978102189781,593,593,50.8,366,101,265,420,570,11
"Monaco",696,400,57.4712643678161,701,701,46.1,459,120,339,426,549,14
"Montpellier",684,413,60.3801169590643,745,745,48.5,448,121,327,404,686,9
"Nantes",709,431,60.7898448519041,730,730,50.3,427,107,320,431,731,8
"Nice",818,467,57.0904645476773,680,680,56.2,419,115,304,413,588,9
"Paris S-G",612,362,59.1503267973856,693,693,48.9,378,109,269,296,432,20
"Reims",703,407,57.8947368421053,747,747,45.4,468,127,341,397,633,15
"Rennes",600,335,55.8333333333333,616,616,46.9,392,91,301,341,587,10
"Strasbourg",690,409,59.2753623188406,666,666,51.7,423,98,325,437,688,5
"Toulouse",716,406,56.7039106145251,842,842,43.7,476,138,338,409,656,15
"Troyes",608,361,59.375,606,606,44.9,416,144,272,398,779,5
