"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Ajaccio",3,74,89,59.6,6,15.8,0,0
"Angers",2,81,119,63.5,4,10.5,1,10
"Auxerre",3,63,117,67.4,7,18.4,2,33.3
"Brest",2,54,125,73.7,9,23.7,2,22.2
"Clermont Foot",2,49,111,75,10,26.3,4,33.3
"Lens",2,29,101,79.8,15,39.5,0,0
"Lille",2,44,80,67.2,10,26.3,1,20
"Lorient",2,53,130,72,8,21.1,0,0
"Lyon",2,47,111,76.8,8,21.1,0,0
"Marseille",2,40,105,75.4,10,26.3,0,0
"Monaco",1,58,140,72.8,9,23.7,0,0
"Montpellier",4,62,138,72.3,11,28.9,4,40
"Nantes",2,55,134,75.1,11,28.9,0,0
"Nice",2,37,109,76.9,11,28.9,1,25
"Paris S-G",2,40,120,76.3,13,34.2,1,33.3
"Reims",2,45,123,74.7,14,36.8,0,0
"Rennes",2,39,86,71.4,13,34.2,2,40
"Strasbourg",1,59,115,71.8,6,15.8,0,0
"Toulouse",1,57,122,70.4,9,23.7,3,42.9
"Troyes",2,81,148,67.5,1,2.6,1,12.5
