"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Ajaccio",601,366,60.8985024958403,562,562,49.3,386,77,309,349,613,5
"Angers",741,450,60.7287449392713,833,833,47.1,347,84,263,370,526,11
"Auxerre",639,393,61.5023474178404,656,656,48.6,379,98,281,361,584,8
"Brest",623,370,59.3900481540931,571,571,52.7,396,95,301,368,655,11
"Clermont Foot",647,366,56.5687789799073,659,659,46.9,432,97,335,432,548,12
"Lens",557,315,56.5529622980251,581,581,43.9,376,106,270,409,746,16
"Lille",728,414,56.8681318681319,730,730,45.2,499,144,355,404,682,14
"Lorient",720,433,60.1388888888889,794,794,48.9,425,115,310,395,518,12
"Lyon",772,438,56.7357512953368,799,799,50.2,500,146,354,482,738,15
"Marseille",680,389,57.2058823529412,677,677,47.3,460,150,310,454,734,12
"Monaco",628,353,56.2101910828025,601,601,47.1,415,100,315,434,707,13
"Montpellier",683,400,58.5651537335286,659,659,48.7,368,104,264,411,684,13
"Nantes",683,415,60.7613469985359,711,711,46.8,372,109,263,336,738,13
"Nice",714,417,58.4033613445378,750,750,44,436,118,318,370,627,13
"Paris S-G",815,486,59.6319018404908,877,877,48.2,486,134,352,437,536,8
"Reims",749,440,58.7449933244326,717,717,51.6,430,124,306,482,683,12
"Rennes",645,376,58.2945736434108,718,718,42.9,454,140,314,406,587,11
"Strasbourg",590,341,57.7966101694915,617,617,44.9,391,104,287,344,702,11
"Toulouse",605,342,56.5289256198347,585,585,51.6,490,106,384,399,600,16
"Troyes",688,388,56.3953488372093,712,712,48.7,399,97,302,383,498,8
