"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Ajaccio",74,23,49,121,10,9,410,152,37.1,0.15,0.41,17.6,18,732,536,196,124,85,39
"Angers",81,33,57,134,11,9,452,187,41.4,0.15,0.36,17.1,19,802,578,224,136,96,40
"Auxerre",63,35,45,107,6,4,466,175,37.6,0.12,0.33,16.4,15,829,597,232,108,85,23
"Brest",54,44,34,86,9,7,480,170,35.4,0.09,0.26,16.3,17,871,632,239,90,59,31
"Clermont Foot",49,45,33,82,12,8,475,152,32,0.09,0.27,18.1,19,833,583,250,81,49,32
"Lens",29,68,19,47,3,3,389,126,32.4,0.06,0.2,17.8,7,690,500,190,44,28,16
"Lille",44,65,26,67,5,4,324,117,36.1,0.11,0.32,17.3,8,551,371,180,70,48,22
"Lorient",53,52,36,88,2,2,563,180,32,0.09,0.28,17.2,17,984,717,267,83,60,23
"Lyon",47,65,24,68,11,11,417,144,34.5,0.08,0.23,17.3,18,731,534,197,73,44,29
"Marseille",40,67,22,59,5,5,422,137,32.5,0.08,0.23,18.1,10,727,538,189,62,45,17
"Monaco",58,70,40,95,5,5,507,190,37.5,0.1,0.26,18,11,886,643,243,100,67,33
"Montpellier",62,65,42,102,11,6,512,192,37.5,0.11,0.28,17.6,19,907,637,270,103,74,29
"Nantes",55,37,29,80,9,9,448,176,39.3,0.09,0.24,17.3,19,786,582,204,86,55,31
"Nice",37,48,25,62,5,3,441,143,32.4,0.08,0.24,18,13,791,596,195,66,42,24
"Paris S-G",40,89,27,66,5,2,442,157,35.5,0.08,0.24,18,13,753,558,195,68,50,18
"Reims",45,45,28,71,3,3,485,163,33.6,0.08,0.25,17.2,21,832,600,232,74,50,24
"Rennes",39,69,27,65,5,3,370,121,32.7,0.09,0.29,17.3,9,652,493,159,59,37,22
"Strasbourg",59,51,34,93,11,10,414,164,39.6,0.12,0.3,17.1,18,737,527,210,104,71,33
"Toulouse",57,51,31,85,7,4,534,172,32.2,0.09,0.29,17.9,22,920,661,259,87,54,33
"Troyes",81,45,51,130,8,7,618,220,35.6,0.12,0.33,16.5,20,1128,855,273,131,85,46
