"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Ajaccio",36,487,1169,11216,15286,73.4,4741,5780,82,1448,2889,50.1,4578,5701,80.3,13368,1855,562,39,57,631,795,126,63,43.2,19271,632,285,45.1,277,43.8
"Angers",33,632,1393,14103,17463,80.8,5934,6810,87.1,1435,2536,56.6,6249,7208,86.7,15689,1727,483,40,92,584,705,164,47,46.9,21515,928,441,47.5,392,42.2
"Auxerre",33,531,1284,12386,15989,77.5,4837,5709,84.7,1838,3237,56.8,5262,6177,85.2,14213,1728,491,31,210,617,712,135,48,43.3,20359,749,337,45,319,42.6
"Brest",29,592,1311,12486,16452,75.9,4874,5833,83.6,1807,3246,55.7,5395,6456,83.6,14545,1848,525,30,162,755,754,178,59,44.9,20724,655,270,41.2,301,46
"Clermont Foot",28,532,1304,14212,17961,79.1,6081,7055,86.2,1613,2887,55.9,6018,7037,85.5,16060,1849,642,31,105,564,658,155,52,48.3,22057,753,350,46.5,309,41
"Lens",29,738,1829,17809,21203,84,7942,8840,89.8,1618,2642,61.2,7624,8652,88.1,19476,1665,556,53,111,791,623,204,62,55.6,24935,666,326,48.9,255,38.3
"Lille",26,798,1982,19266,22826,84.4,8924,9956,89.6,1622,2635,61.6,8012,8981,89.2,20992,1770,555,56,124,624,718,217,64,60.5,26767,826,400,48.4,330,40
"Lorient",30,753,1329,14837,18087,82,6810,7694,88.5,1173,2192,53.5,6246,7147,87.4,16255,1783,540,48,55,434,658,145,49,46.6,22605,916,406,44.3,388,42.4
"Lyon",29,709,1883,18956,22698,83.5,8477,9572,88.6,1688,2738,61.7,8134,9170,88.7,20857,1784,521,65,101,649,758,184,57,58.1,27048,895,398,44.5,401,44.8
"Marseille",30,759,1919,16817,20689,81.3,7113,8165,87.1,1744,2795,62.4,7385,8560,86.3,18914,1707,448,72,149,751,723,209,68,56.7,24839,743,357,48,320,43.1
"Monaco",27,719,1820,14414,18378,78.4,5987,7079,84.6,1718,2930,58.6,6203,7320,84.7,16574,1720,457,46,137,661,730,166,84,48.2,22398,678,318,46.9,283,41.7
"Montpellier",31,556,1250,12420,16221,76.6,5391,6416,84,1511,2866,52.7,4978,5904,84.3,14249,1901,555,38,123,673,749,195,71,45.8,20469,780,338,43.3,321,41.2
"Nantes",29,705,1565,13283,17169,77.4,5334,6308,84.6,1710,3062,55.8,5788,6906,83.8,15386,1729,462,17,121,820,725,196,54,45.9,21497,788,378,48,333,42.3
"Nice",34,774,1534,17325,20784,83.4,7763,8659,89.7,1612,2744,58.7,7395,8322,88.9,19059,1674,442,53,93,690,656,193,51,51.5,25011,822,420,51.1,330,40.1
"Paris S-G",26,810,2029,23694,26476,89.5,12058,13038,92.5,1551,2115,73.3,8984,9684,92.8,24872,1527,458,149,109,399,537,204,77,60.7,30202,976,454,46.5,423,43.3
"Reims",34,712,1717,13670,17565,77.8,5346,6462,82.7,1634,2771,59,6288,7422,84.7,15706,1774,475,72,140,707,777,178,85,48.7,22018,800,347,43.4,370,46.3
"Rennes",32,774,1922,17618,21193,83.1,6547,7582,86.3,1943,2973,65.4,8678,9724,89.2,19509,1630,464,51,104,564,683,174,54,55.4,25212,784,410,52.3,308,39.3
"Strasbourg",29,610,1351,13337,17277,77.2,5565,6548,85,1518,2902,52.3,5799,6916,83.8,15473,1761,555,49,131,647,740,143,43,45.9,21567,708,340,48,277,39.1
"Toulouse",29,648,1737,15392,19236,80,6715,7800,86.1,1671,2815,59.4,6477,7508,86.3,17352,1810,453,38,201,660,739,201,74,51.3,23432,668,283,42.4,302,45.2
"Troyes",32,638,1235,12751,16193,78.7,5580,6477,86.2,1278,2441,52.4,5447,6399,85.1,14416,1720,477,35,128,517,650,148,57,42.6,20380,792,365,46.1,347,43.8
