"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Ajaccio",636,1696,16356,20436,80,6775,7903,85.7,1872,3174,59,7174,8331,86.1,18521,1848,569,48,132,621,806,167,67,56.8,24302,775,381,49.2,313,40.4
"Angers",725,1600,16447,19945,82.5,6859,7828,87.6,1809,2900,62.4,7221,8163,88.5,18056,1819,504,45,160,640,793,199,70,53.1,23892,708,300,42.4,310,43.8
"Auxerre",669,1837,17165,21041,81.6,7520,8588,87.6,1699,2884,58.9,7334,8452,86.8,19171,1788,488,75,134,751,739,207,82,56.7,24994,761,365,48,313,41.1
"Brest",686,1926,16383,20233,81,6993,8078,86.6,1592,2751,57.9,7252,8318,87.2,18335,1832,526,68,123,674,746,194,66,55.1,24402,833,384,46.1,356,42.7
"Clermont Foot",646,1688,15740,19391,81.2,6701,7700,87,1665,2763,60.3,6815,7858,86.7,17685,1652,445,56,143,615,737,152,54,51.7,23471,880,428,48.6,351,39.9
"Lens",544,1268,13591,16976,80.1,5867,6730,87.2,1320,2516,52.5,5925,6815,86.9,15126,1796,535,40,66,523,668,161,54,44.4,20842,656,308,47,262,39.9
"Lille",513,1060,11379,14925,76.2,4639,5526,83.9,1472,2750,53.5,4879,5774,84.5,13088,1755,543,46,119,497,686,136,82,39.5,19095,739,344,46.5,314,42.5
"Lorient",759,2065,17282,20818,83,7326,8278,88.5,1755,2811,62.4,7631,8640,88.3,19150,1626,425,41,120,910,678,211,42,53.4,24862,758,375,49.5,315,41.6
"Lyon",677,1277,12929,16553,78.1,5805,6841,84.9,1407,2509,56.1,5207,6194,84.1,14765,1715,527,40,105,541,665,163,73,41.9,21204,867,404,46.6,367,42.3
"Marseille",577,1146,12111,15822,76.5,5348,6281,85.1,1384,2689,51.5,4904,5954,82.4,13925,1867,583,26,82,541,716,155,30,43.3,20200,679,292,43,301,44.3
"Monaco",647,1518,16087,19832,81.1,7090,8107,87.5,1535,2708,56.7,6926,7977,86.8,18094,1688,557,57,106,570,605,163,50,51.8,24161,793,378,47.7,323,40.7
"Montpellier",794,1799,15637,19336,80.9,6811,7878,86.5,1698,2802,60.6,6556,7608,86.2,17466,1829,525,61,127,722,756,184,41,54.2,23622,835,384,46,361,43.2
"Nantes",750,1771,16588,20454,81.1,7440,8476,87.8,1533,2744,55.9,6976,8088,86.3,18566,1836,504,57,100,636,795,191,52,54.1,24671,818,363,44.4,367,44.9
"Nice",704,1606,16263,19624,82.9,6919,7842,88.2,1739,2781,62.5,7060,7965,88.6,17984,1586,412,56,150,611,665,154,54,48.5,23884,763,298,39.1,382,50.1
"Paris S-G",698,1316,14354,17091,84,6671,7410,90,1352,2215,61,5773,6493,88.9,15677,1358,435,54,115,520,397,145,56,39.3,21212,769,354,46,339,44.1
"Reims",663,1588,14671,18644,78.7,6424,7416,86.6,1687,3001,56.2,6003,7130,84.2,16670,1910,562,46,139,690,744,174,64,51.3,23088,842,408,48.5,339,40.3
"Rennes",564,1323,13332,17037,78.3,5855,6813,85.9,1442,2724,52.9,5535,6497,85.2,15206,1741,500,48,135,581,717,155,90,44.6,21024,707,327,46.3,289,40.9
"Strasbourg",691,1478,16499,20557,80.3,6936,8068,86,1867,3126,59.7,7068,8198,86.2,18599,1873,537,52,170,632,797,174,85,54.1,24641,755,322,42.6,344,45.6
"Toulouse",743,1597,14701,18410,79.9,6323,7311,86.5,1481,2706,54.7,6381,7396,86.3,16526,1842,516,48,92,647,750,191,42,48.7,22692,930,474,51,368,39.6
"Troyes",791,2004,18477,22021,83.9,7717,8709,88.6,1823,2862,63.7,8320,9343,89.1,20355,1601,428,49,135,816,630,239,65,57.4,26047,691,334,48.3,272,39.4
