"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Hickey","Bologna","SCO","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,1,1,0
"Aaron Ramsey","Juventus","WAL","MF",NA,29,4,6,0,0,24,11,45.8,0.08,0.18,14.5,0,58,46,12,9,6,3
"Achraf Hakimi","Inter","MAR","DF",NA,21,8,15,0,0,39,16,41,0.18,0.44,17,2,89,69,20,19,17,2
"Adam Marušić","Lazio","MNE","DF",NA,27,3,5,0,0,27,12,44.4,0.07,0.17,15.4,0,63,53,10,5,4,1
"Adam Ounas","Crotone","ALG","FW","MF",23,4,8,0,0,25,10,40,0.16,0.4,17.4,0,15,13,2,3,3,0
"Adam Ounas","Crotone","ALG","FW","MF",23,4,8,0,0,25,10,40,0.16,0.4,17.4,0,46,29,17,6,3,3
"Adam Ounas","Cagliari","ALG","MF","FW",23,0,0,0,0,25,10,40,0.16,0.4,17.4,0,15,13,2,3,3,0
"Adam Ounas","Cagliari","ALG","MF","FW",23,0,0,0,0,25,10,40,0.16,0.4,17.4,0,46,29,17,6,3,3
"Adama Soumaoro","Bologna","FRA","DF",NA,28,0,1,0,0,8,2,25,0.13,0.5,9.5,0,12,11,1,1,1,0
"Adolfo Gaich","Benevento","ARG","FW",NA,21,0,2,0,0,23,6,26.1,0.09,0.33,14.1,0,13,7,6,2,0,2
"Adrien Rabiot","Juventus","FRA","MF",NA,25,2,6,0,0,33,12,36.4,0.12,0.33,17.5,0,51,47,4,9,5,4
"Adrien Silva","Sampdoria","POR","MF",NA,31,1,2,0,0,6,1,16.7,0.17,1,23.5,0,32,29,3,3,2,1
"Adrien Tameze","Hellas Verona","CMR","MF",NA,26,0,1,0,0,18,3,16.7,0.06,0.33,21.4,0,34,26,8,4,2,2
"Ahmad Benali","Crotone","LBY","MF",NA,28,1,1,0,0,10,4,40,0,0,17.9,0,31,22,9,1,1,0
"Alan Empereur","Hellas Verona","BRA","DF",NA,26,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Alberto Cerri","Cagliari","ITA","FW",NA,24,0,1,0,0,16,6,37.5,0.06,0.17,11.5,0,20,12,8,1,0,1
"Alberto Grassi","Parma","ITA","MF","DF",25,0,0,0,0,10,3,30,0,0,20.8,0,15,9,6,0,0,0
"Alberto Paleari","Genoa","ITA","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Albin Ekdal","Sampdoria","SWE","MF",NA,31,1,3,0,0,14,3,21.4,0.14,0.67,18.1,0,26,19,7,1,1,0
"Aleksandar Kolarov","Inter","SRB","DF",NA,34,1,1,0,0,6,2,33.3,0,0,29.4,0,15,11,4,2,1,1
"Aleksandr Kokorin","Fiorentina","RUS","FW","MF",29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Aleksei Miranchuk","Atalanta","RUS","MF","FW",24,2,6,0,0,15,6,40,0.27,0.67,16.3,1,34,25,9,5,4,1
"Alessandro Bastoni","Inter","ITA","DF",NA,21,3,3,0,0,10,1,10,0,0,9.9,0,41,36,5,6,6,0
"Alessandro Berardi","Hellas Verona","ITA","GK",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1
"Alessandro Buongiorno","Torino","ITA","DF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
