"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Gennaro Acampora","Spezia","ITA","MF","FW",26,2,0,0,0,10
"Francesco Acerbi","Lazio","ITA","DF",NA,32,9,1,1,2,31
"Andrea Adorante","Parma","ITA","FW",NA,20,0,0,0,0,0
"Lucien Agoume","Spezia","FRA","MF",NA,18,2,0,0,0,17
"Kevin Agudelo","Spezia","COL","FW",NA,21,4,0,0,0,20
"Jean-Daniel Akpa-Akpro","Lazio","CIV","MF",NA,27,9,0,0,0,31
"Luis Alberto","Lazio","ESP","MF",NA,27,5,0,0,0,19
"Bruno Alves","Parma","POR","DF",NA,38,3,0,0,0,20
"Sofyan Amrabat","Fiorentina","MAR","MF",NA,23,7,0,0,0,59
"Davide Angelo Ghislandi","Atalanta","ITA","DF",NA,19,0,0,0,0,0
"Cristian Ansaldi","Torino","ARG","DF","FW",33,1,0,0,0,24
"Valentin Antov","Bologna","BUL","DF",NA,19,1,0,0,0,2
"Nicolò Armini","Lazio","ITA","DF",NA,19,0,0,0,0,1
"Tolgay Arslan","Udinese","GER","MF",NA,29,9,0,0,0,38
"Kwadwo Asamoah","Cagliari","GHA","DF","MF",31,0,0,0,0,0
"Kristoffer Askildsen","Sampdoria","NOR","MF",NA,19,2,0,0,0,3
"Emil Audero","Sampdoria","ITA","GK",NA,23,0,0,0,0,0
"Tommaso Augello","Sampdoria","ITA","DF",NA,25,2,1,0,1,13
"Kaan Ayhan","Sassuolo","TUR","DF",NA,25,3,0,0,0,8
"Milan Badelj","Genoa","CRO","MF",NA,31,7,0,0,0,34
"Tiemoué Bakayoko","Napoli","FRA","MF",NA,25,6,1,1,2,36
"Keita Baldé","Sampdoria","SEN","FW",NA,25,4,1,0,1,32
"Botond Balogh","Parma","HUN","DF",NA,18,1,0,0,0,1
"Mattia Bani","Genoa","ITA","DF",NA,26,4,0,0,0,13
"Mattia Bani","Parma","ITA","DF",NA,26,6,0,0,0,16
"Antonín Barák","Hellas Verona","CZE","MF",NA,25,5,1,0,1,60
