"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",72,130,66.8,4,10.5,0,0
"Bologna",54,111,69.3,10,26.3,0,0
"Cagliari",42,90,71.2,11,28.9,1,20
"Empoli",29,91,79.5,21,55.3,0,0
"Fiorentina",61,115,68,10,26.3,3,42.9
"Frosinone",44,111,76.9,12,31.6,1,11.1
"Genoa",45,80,68,10,26.3,1,16.7
"Hellas Verona",38,111,76.8,11,28.9,2,40
"Inter",89,122,63.8,1,2.6,1,7.1
"Juventus",54,97,66.2,7,18.4,2,40
"Lazio",49,93,67.6,8,21.1,0,0
"Lecce",32,120,80.8,16,42.1,1,25
"Milan",76,132,66.5,3,7.9,1,14.3
"Monza",39,89,72.7,14,36.8,1,20
"Napoli",55,148,76,13,34.2,2,25
"Roma",65,89,64.9,5,13.2,1,8.3
"Salernitana",32,88,75,15,39.5,0,0
"Sassuolo",43,109,76.3,12,31.6,1,12.5
"Torino",36,88,72.4,17,44.7,0,0
"Udinese",37,101,75.2,11,28.9,0,0
