"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",29,715,1754,16051,19961,80.4,7280,8321,87.5,1466,2642,55.5,6956,7989,87.1,18129,1769,439,42,124,710,772,210,63,51,24136,618,286,46.3,270,43.7
"Bologna",28,660,1453,19125,22504,85,9408,10260,91.7,1415,2441,58,7744,8573,90.3,20652,1797,523,32,137,510,755,165,55,58.1,26519,673,293,43.5,322,47.8
"Cagliari",29,529,1109,10731,14709,73,4427,5206,85,1441,2966,48.6,4662,5786,80.6,12744,1901,505,34,134,852,804,175,64,42.1,18599,516,237,45.9,220,42.6
"Empoli",34,524,1056,11571,15348,75.4,4961,5759,86.1,1240,2680,46.3,5094,6059,84.1,13346,1920,550,36,53,672,795,176,82,44,19509,578,226,39.1,285,49.3
"Fiorentina",30,621,1656,16180,19975,81,6368,7193,88.5,2004,3302,60.7,7511,8557,87.8,18072,1846,542,50,146,748,813,199,57,57.4,23659,626,279,44.6,277,44.2
"Frosinone",34,563,1326,13740,17545,78.3,6769,7660,88.4,1085,2330,46.6,5457,6523,83.7,15536,1961,525,50,55,524,800,213,48,49.7,21725,709,297,41.9,349,49.2
"Genoa",34,468,1079,12053,15765,76.5,5128,5934,86.4,1379,2710,50.9,5142,6121,84,13987,1731,487,21,72,610,695,142,47,44.1,19810,450,193,42.9,200,44.4
"Hellas Verona",36,539,1122,10639,14710,72.3,4116,5023,81.9,1618,3113,52,4666,5727,81.5,12799,1850,538,24,153,724,761,143,61,44.4,18925,567,252,44.4,261,46
"Inter",27,720,1620,19136,22447,85.2,8631,9446,91.4,1839,2800,65.7,8159,9056,90.1,20739,1631,439,61,165,804,655,228,77,57.1,26069,435,195,44.8,190,43.7
"Juventus",31,709,1473,14757,18079,81.6,5963,6728,88.6,1727,2762,62.5,6820,7755,87.9,16332,1675,397,35,156,708,695,193,72,48.5,22069,596,259,43.5,269,45.1
"Lazio",22,716,1528,17462,21071,82.9,8440,9314,90.6,1557,2657,58.6,6970,7966,87.5,19202,1797,474,53,85,624,748,197,72,53.3,24841,607,272,44.8,269,44.3
"Lecce",26,635,1183,11742,15397,76.3,4700,5530,85,1487,2846,52.2,5225,6158,84.8,13439,1902,527,27,96,650,771,172,56,44.9,19618,651,299,45.9,279,42.9
"Milan",35,898,1569,17656,20741,85.1,7905,8708,90.8,1438,2341,61.4,7904,8738,90.5,19060,1624,455,49,94,660,617,192,57,56.9,24529,765,359,46.9,324,42.4
"Monza",31,723,1248,16734,19870,84.2,6742,7422,90.8,1771,2837,62.4,7969,8830,90.2,18182,1648,458,21,125,584,612,170,40,53.5,23552,490,216,44.1,216,44.1
"Napoli",29,803,1758,19517,22942,85.1,9095,9898,91.9,1832,2884,63.5,8105,9121,88.9,20996,1875,519,44,232,737,805,240,71,60.9,26724,744,327,44,344,46.2
"Roma",30,682,1469,17066,20523,83.2,7660,8446,90.7,1474,2569,57.4,7615,8620,88.3,18783,1674,471,40,106,654,663,167,66,54.9,23999,486,221,45.5,218,44.9
"Salernitana",39,499,1119,12124,15920,76.2,5624,6417,87.6,1233,2585,47.7,4851,5890,82.4,13953,1906,559,27,119,596,737,148,61,44.5,19903,536,212,39.6,269,50.2
"Sassuolo",30,636,1301,11978,15683,76.4,4986,5788,86.1,1385,2776,49.9,5295,6301,84,13729,1928,508,25,118,661,758,202,26,43.8,19492,580,277,47.8,252,43.4
"Torino",30,710,1333,14578,18229,80,6446,7271,88.7,1345,2609,51.6,6372,7364,86.5,16507,1659,451,14,87,761,685,176,63,51.6,21921,563,244,43.3,247,43.9
"Udinese",32,601,1022,9976,13300,75,4317,5066,85.2,1234,2396,51.5,4174,5111,81.7,11562,1681,464,24,120,556,669,157,57,39.3,17831,721,336,46.6,314,43.6
