"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",76,1,1,2,486
"Bologna",85,2,2,4,458
"Cagliari",77,4,2,6,464
"Empoli",88,1,1,2,524
"Fiorentina",80,0,0,0,459
"Frosinone",68,2,1,3,388
"Genoa",79,3,3,6,450
"Hellas Verona",88,6,2,8,541
"Inter",46,1,0,1,405
"Juventus",87,2,1,3,478
"Lazio",101,5,2,7,473
"Lecce",89,5,2,7,504
"Milan",82,8,2,10,429
"Monza",88,5,4,9,458
"Napoli",77,5,3,8,381
"Roma",95,3,1,4,455
"Salernitana",91,3,1,4,450
"Sassuolo",71,4,2,6,387
"Torino",75,2,1,3,471
"Udinese",94,5,3,8,496
