"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",42,72,32,73,9,6,443,134,30.2,0.08,0.26,19.7,17,785,574,211,76,51,25
"Bologna",32,54,18,49,7,3,402,120,29.9,0.07,0.23,18.7,18,684,467,217,51,37,14
"Cagliari",68,42,50,115,5,4,484,153,31.6,0.13,0.4,16.2,20,890,654,236,117,81,36
"Empoli",54,29,37,90,8,6,556,177,31.8,0.08,0.27,17.8,12,996,722,274,90,56,34
"Fiorentina",46,61,29,75,9,8,371,139,37.5,0.1,0.27,16.1,12,642,442,200,83,56,27
"Frosinone",69,44,46,113,8,5,551,174,31.6,0.11,0.36,17.5,14,970,725,245,114,83,31
"Genoa",45,45,34,78,4,3,497,135,27.2,0.08,0.3,18.6,19,894,656,238,80,59,21
"Hellas Verona",51,38,34,84,2,2,512,161,31.4,0.09,0.3,17.4,18,866,601,265,80,61,19
"Inter",22,89,17,39,4,2,391,110,28.1,0.05,0.18,18.3,9,694,530,164,40,34,6
"Juventus",31,54,19,48,3,2,439,113,25.7,0.06,0.24,19.4,19,777,591,186,43,28,15
"Lazio",39,49,27,66,3,2,483,146,30.2,0.08,0.25,18.1,20,868,603,265,64,43,21
"Lecce",54,32,39,92,6,5,509,167,32.8,0.09,0.29,17.5,24,910,645,265,83,47,36
"Milan",49,76,32,80,8,8,490,155,31.6,0.08,0.26,18.5,22,858,604,254,80,48,32
"Monza",51,39,31,82,9,7,545,182,33.4,0.08,0.24,17.5,19,964,677,287,84,47,37
"Napoli",48,55,37,85,4,2,392,124,31.6,0.12,0.37,17.4,8,696,507,189,83,62,21
"Roma",46,65,36,79,5,3,477,147,30.8,0.08,0.27,18.7,11,860,630,230,79,62,17
"Salernitana",81,32,54,133,10,10,589,197,33.4,0.12,0.35,16.7,16,1065,776,289,132,91,41
"Sassuolo",75,43,53,124,11,8,537,164,30.5,0.12,0.38,17.3,9,970,711,259,127,84,43
"Torino",36,36,24,60,7,7,414,136,32.9,0.07,0.21,18.6,11,742,533,209,66,49,17
"Udinese",53,37,35,87,9,9,488,148,30.3,0.09,0.29,17.6,16,884,640,244,93,62,31
