"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",613,369,60.1957585644372,597,597,48.7,483,119,364,340,614,7
"Bologna",633,385,60.8214849921011,579,579,52.3,426,113,313,258,677,17
"Cagliari",540,315,58.3333333333333,525,525,50.3,373,113,260,265,816,12
"Empoli",618,378,61.1650485436893,564,564,53.2,462,154,308,263,840,9
"Fiorentina",564,320,56.7375886524823,512,512,53.7,388,81,307,236,509,8
"Frosinone",545,322,59.0825688073394,525,525,48.2,439,143,296,241,789,14
"Genoa",625,352,56.32,571,571,49.6,462,162,300,332,796,11
"Hellas Verona",621,387,62.3188405797101,578,578,50.7,414,133,281,302,784,15
"Inter",540,321,59.4444444444444,474,474,49.4,365,116,249,280,576,7
"Juventus",577,369,63.9514731369151,445,445,59.3,375,124,251,253,725,4
"Lazio",581,348,59.8967297762478,618,618,45.8,430,122,308,295,640,7
"Lecce",605,374,61.8181818181818,566,566,51.1,429,117,312,308,751,8
"Milan",576,333,57.8125,521,521,52.4,367,146,221,252,548,16
"Monza",565,334,59.1150442477876,484,484,55,378,151,227,279,642,8
"Napoli",571,326,57.092819614711,554,554,47.5,351,92,259,241,521,5
"Roma",569,336,59.0509666080844,535,535,46.5,370,132,238,242,623,16
"Salernitana",536,327,61.0074626865672,519,519,49.5,409,161,248,279,816,12
"Sassuolo",507,310,61.1439842209073,531,531,46.1,402,143,259,267,767,14
"Torino",471,275,58.3864118895966,386,386,49.5,303,100,203,329,594,15
"Udinese",606,381,62.8712871287129,571,571,52.4,437,129,308,327,988,10
