"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Inter",1,29,7,2,94,14,15,4,3,1,1,46,48
"Milan",2,22,9,7,75,12,10,4,5,3,4,40,35
"Juventus",3,19,14,5,71,11,8,7,7,1,4,40,31
"Atalanta",4,21,6,11,69,13,8,2,4,4,7,41,28
"Bologna",5,18,14,6,68,12,6,5,9,2,4,41,27
"Roma",6,18,9,11,63,12,6,4,5,3,8,40,23
"Lazio",7,18,7,13,61,10,8,4,3,5,8,34,27
"Fiorentina",8,17,9,12,60,10,7,5,4,4,8,35,25
"Torino",9,13,14,11,53,8,5,9,5,2,9,33,20
"Napoli",10,13,14,11,53,6,7,7,7,6,5,25,28
"Genoa",11,12,13,13,49,8,4,6,7,5,8,30,19
"Monza",12,11,12,15,45,6,5,6,6,7,8,24,21
"Hellas Verona",13,9,11,18,38,6,3,6,5,7,11,24,14
"Lecce",14,8,14,16,38,6,2,6,8,7,9,24,14
"Udinese",15,6,19,13,37,1,5,11,8,7,6,14,23
"Cagliari",16,8,12,18,36,6,2,7,5,6,12,25,11
"Empoli",17,9,9,20,36,5,4,5,4,9,11,20,16
"Frosinone",18,8,11,19,35,7,1,4,7,8,11,25,10
"Sassuolo",19,7,9,22,30,5,2,5,4,9,13,20,10
"Salernitana",20,2,11,25,17,1,1,5,6,13,12,8,9
