"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",3,42,99,74.6,15,39.5,2,25
"Bologna",3,32,91,76.8,17,44.7,2,40
"Cagliari",3,68,92,59.2,5,13.2,0,0
"Empoli",3,54,130,74.1,9,23.7,2,25
"Fiorentina",3,46,101,74.3,8,21.1,1,11.1
"Frosinone",2,69,112,64.4,7,18.4,1,16.7
"Genoa",3,45,94,69.8,9,23.7,1,25
"Hellas Verona",2,51,113,69.9,8,21.1,0,0
"Inter",3,22,90,82.3,21,55.3,1,33.3
"Juventus",3,31,86,75,17,44.7,1,33.3
"Lazio",2,39,109,75,13,34.2,0,0
"Lecce",1,54,119,71.7,7,18.4,1,16.7
"Milan",4,49,115,74.8,13,34.2,0,0
"Monza",2,51,138,77,12,31.6,2,22.2
"Napoli",3,48,78,64.1,7,18.4,2,50
"Roma",2,46,107,71.5,11,28.9,1,25
"Salernitana",3,81,128,65.7,2,5.3,0,0
"Sassuolo",2,75,101,61.3,3,7.9,1,11.1
"Torino",2,36,107,79.7,18,47.4,0,0
"Udinese",2,53,105,72,9,23.7,0,0
