"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",67,1,1,2,395
"Bologna",120,2,1,3,503
"Cagliari",86,2,2,4,441
"Empoli",71,3,2,5,530
"Fiorentina",80,3,2,5,478
"Frosinone",84,1,1,2,482
"Genoa",92,5,2,7,449
"Hellas Verona",78,1,1,2,478
"Inter",70,7,1,8,434
"Juventus",66,4,3,7,401
"Lazio",95,3,2,5,459
"Lecce",88,5,2,7,508
"Milan",88,8,3,11,430
"Monza",75,4,1,5,431
"Napoli",82,2,0,2,478
"Roma",92,6,3,9,458
"Salernitana",79,1,1,2,498
"Sassuolo",64,1,0,1,424
"Torino",81,5,3,8,435
"Udinese",81,3,3,6,445
