"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",559,1174,15204,19211,79.1,6861,7723,88.8,1508,2953,51.1,6430,7465,86.1,17199,1954,519,52,85,571,862,147,58,48.9,23459,667,306,45.9,291,43.6
"Bologna",590,1228,12943,16289,79.5,5715,6531,87.5,1233,2313,53.3,5673,6536,86.8,14526,1714,482,37,83,641,695,165,49,41.9,20260,637,276,43.3,303,47.6
"Cagliari",761,1597,16632,20551,80.9,7382,8230,89.7,1712,3038,56.4,7131,8231,86.6,18579,1881,501,62,154,761,744,217,91,57.9,24480,583,261,44.8,264,45.3
"Empoli",677,1573,15981,19821,80.6,6929,7832,88.5,1715,3018,56.8,7018,8054,87.1,17760,2012,581,36,166,814,879,234,49,56,23884,633,264,41.7,300,47.4
"Fiorentina",444,989,11354,14943,76,4825,5654,85.3,1261,2503,50.4,5023,5968,84.2,13158,1696,490,27,90,457,701,116,89,42.7,19020,571,237,41.5,275,48.2
"Frosinone",688,1330,13984,17938,78,6075,6988,86.9,1500,2863,52.4,6027,7089,85,16076,1791,408,43,108,676,794,180,71,50.3,21986,576,272,47.2,253,43.9
"Genoa",769,1560,16363,20157,81.2,7408,8296,89.3,1599,2776,57.6,6928,7998,86.6,18253,1836,470,38,122,774,812,203,68,55.9,24035,637,288,45.2,283,44.4
"Hellas Verona",571,1348,14365,18516,77.6,5937,6853,86.6,1524,2963,51.4,6595,7780,84.8,16354,2078,576,41,119,617,895,215,84,55.6,22493,653,285,43.6,293,44.9
"Inter",660,1199,13716,16837,81.5,6054,6779,89.3,1558,2625,59.4,5789,6596,87.8,15132,1664,466,17,134,608,586,144,41,42.9,20616,522,240,46,234,44.8
"Juventus",658,1373,16182,19506,83,7026,7799,90.1,1691,2834,59.7,7070,7976,88.6,17692,1789,522,21,120,756,687,173,25,51.5,23447,499,181,36.3,264,52.9
"Lazio",601,1169,15117,18552,81.5,6158,6936,88.8,1557,2760,56.4,7030,7918,88.8,16735,1778,519,19,150,614,719,174,39,46.7,22499,691,335,48.5,283,41
"Lecce",638,1517,15354,19242,79.8,6865,7758,88.5,1401,2658,52.7,6677,7766,86,17302,1903,529,50,107,680,818,189,37,55.1,23213,625,277,44.3,289,46.2
"Milan",632,1252,12734,15824,80.5,5626,6319,89,1371,2419,56.7,5390,6235,86.4,14180,1595,456,19,145,575,581,151,49,43.1,19713,586,248,42.3,273,46.6
"Monza",818,1486,14208,17248,82.4,6327,7104,89.1,1420,2349,60.5,6084,6943,87.6,15602,1600,465,42,113,655,616,192,46,46.5,20885,552,218,39.5,266,48.2
"Napoli",542,1065,11370,14682,77.4,5110,5838,87.5,1218,2421,50.3,4740,5566,85.2,12925,1682,439,28,96,542,655,133,75,39.1,18751,606,291,48,263,43.4
"Roma",665,1303,13816,16943,81.5,6033,6755,89.3,1498,2570,58.3,5925,6783,87.4,15312,1587,503,19,132,640,543,167,44,45.1,20769,601,286,47.6,249,41.4
"Salernitana",777,1658,16368,20097,81.4,7429,8287,89.6,1630,2820,57.8,6942,7999,86.8,18226,1792,477,46,133,802,750,266,79,55.5,24109,585,262,44.8,257,43.9
"Sassuolo",668,1572,16777,20461,82,7534,8338,90.4,1635,2904,56.3,7216,8167,88.4,18661,1688,389,46,144,759,725,205,112,56.2,24418,608,286,47,245,40.3
"Torino",539,1051,13419,17138,78.3,6372,7201,88.5,1260,2586,48.7,5427,6480,83.8,15380,1720,513,35,69,557,683,143,38,48.4,20731,436,195,44.7,191,43.8
"Udinese",694,1734,16929,20763,81.5,7300,8169,89.4,1679,2873,58.4,7576,8695,87.1,18697,2015,526,31,107,846,865,251,51,60.7,24662,643,272,42.3,299,46.5
