"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",647,414,63.9876352395672,556,556,48.6,457,125,332,340,704,12
"Bologna",633,377,59.5576619273302,615,615,52.4,514,131,383,306,554,15
"Cagliari",558,327,58.6021505376344,457,457,48.1,355,110,245,251,809,8
"Empoli",589,334,56.7062818336163,511,511,55.8,396,126,270,261,674,9
"Fiorentina",608,382,62.828947368421,556,556,49.8,440,147,293,272,887,14
"Frosinone",697,407,58.3931133428981,646,646,54,427,120,307,302,620,18
"Genoa",493,298,60.446247464503,393,393,50.9,339,88,251,271,677,11
"Hellas Verona",545,307,56.3302752293578,513,513,50.9,350,89,261,215,656,15
"Inter",420,231,55,385,385,49.4,435,141,294,291,803,11
"Juventus",576,319,55.3819444444444,528,528,50.9,408,150,258,273,741,12
"Lazio",512,303,59.1796875,541,541,49.7,441,122,319,318,702,16
"Lecce",636,381,59.9056603773585,578,578,48.3,369,137,232,274,667,14
"Milan",617,370,59.967585089141,683,683,47.4,397,138,259,270,687,6
"Monza",481,304,63.2016632016632,432,432,50,405,133,272,259,594,4
"Napoli",637,393,61.6954474097331,671,671,51.3,443,179,264,285,823,10
"Roma",489,321,65.6441717791411,439,439,49.7,410,128,282,282,753,7
"Salernitana",573,349,60.9075043630017,481,481,55.9,407,115,292,294,629,7
"Sassuolo",584,340,58.2191780821918,529,529,47.6,358,131,227,285,752,12
"Torino",519,311,59.9229287090559,491,491,50.3,344,114,230,291,702,3
"Udinese",649,394,60.708782742681,650,650,48.3,368,127,241,249,582,11
