"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aaron Cresswell","West Ham","ENG","DF",NA,32,1989,28,2235,80,65.4,24,88,20,4,29,1.11,26,32,50000,2600000
"Aaron Hickey","Brentford","SCO","DF",NA,20,2002,26,1916,74,56,23,81,8,3,16,1.46,33,30,30000,1560000
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,24,1997,19,1435,76,42,16,87,12,3,15,2.21,28,10,90000,4680000
"Abdoulaye Doucouré","Everton","MLI","MF",NA,29,1993,25,1533,61,44.8,17,84,14,8,13,1.2,18,26,120000,6240000
"Adam Armstrong","Southampton","ENG","FW","MF",25,1997,30,1335,45,39,14,73,0,16,20,0.8,17,24,55000,2860000
"Adam Forshaw","Leeds United","ENG","MF",NA,30,1991,12,479,40,14,5,68,1,7,20,0.5,4,13,20000,1040000
"Adam Lallana","Brighton","ENG","MF","FW",34,1988,16,722,45,21.1,12,55,0,4,15,1.56,16,10,90000,4680000
"Adam Smith","Bournemouth","ENG","DF",NA,31,1991,37,2943,80,86.1,34,84,25,3,29,1.05,34,58,35000,1820000
"Adam Webster","Brighton","ENG","DF",NA,27,1995,27,1985,74,58,23,85,17,4,7,1.74,41,27,55000,2860000
"Adama Traoré","Wolves","ESP","FW","MF",26,1996,34,1496,44,43.7,12,73,3,22,28,1.18,12,30,55000,2860000
"Ainsley Maitland-Niles","Southampton","ENG","DF","MF",24,1997,22,1407,64,41.1,13,86,7,9,32,0.64,16,31,35000,1820000
"Albert Sambi Lokonga","Arsenal","BEL","MF",NA,22,1999,6,198,33,5.8,2,82,1,4,9,2.5,3,3,50000,2600000
"Albert Sambi Lokonga","Crystal Palace","BEL","MF",NA,22,1999,9,536,60,15.7,6,79,3,3,20,0.67,2,5,50000,2600000
"Alejandro Garnacho","Manchester Utd","ARG","FW","MF",18,2004,19,569,30,16.6,5,56,0,14,21,2.05,16,13,7000,364000
"Aleksandar Mitrović","Fulham","SRB","FW",NA,27,1994,24,2008,84,58.7,23,86,14,1,26,1.5,33,30,80000,4160000
"Álex Moreno","Aston Villa","ESP","DF",NA,29,1993,19,1329,70,38.9,14,81,5,5,40,1.89,23,10,35000,1820000
"Alex Oxlade-Chamberlain","Liverpool","ENG","FW","MF",28,1993,9,335,37,9.8,4,69,0,5,12,1.33,5,7,120000,6240000
"Alexander Isak","Newcastle Utd","SWE","FW",NA,22,1999,22,1522,69,44.5,17,83,7,5,23,1.68,29,20,120000,6240000
"Alexis Mac Allister","Brighton","ARG","MF",NA,23,1998,35,2886,82,84.4,31,89,27,4,32,1.6,54,45,50000,2600000
"Allan Saint-Maximin","Newcastle Utd","FRA","FW",NA,25,1997,25,1120,45,32.7,12,75,2,13,17,1.76,19,14,70000,3640000
"Alphonse Areola","West Ham","FRA","GK",NA,29,1993,5,309,62,9,2,90,2,3,43,0.8,5,7,120000,6240000
"Amadou Onana","Everton","BEL","MF",NA,20,2001,33,2488,75,72.7,29,83,16,4,21,1.03,22,37,1e+05,5200000
"André Ayew","Nott'ham Forest","GHA","FW","MF",32,1989,13,316,24,9.2,1,78,0,12,20,0.69,5,10,45000,2340000
"Andrew Robertson","Liverpool","SCO","DF",NA,28,1994,34,2583,76,75.5,29,84,19,5,27,1.82,58,34,1e+05,5200000
"Angelo Ogbonna","West Ham","ITA","DF",NA,34,1988,16,1237,77,36.2,13,88,11,3,33,1.13,15,19,70000,3640000
"Anthony Elanga","Manchester Utd","SWE","FW",NA,20,2002,16,426,27,12.5,5,59,0,11,12,2.13,8,2,5000,260000
"Anthony Gordon","Newcastle Utd","ENG","FW","MF",21,2001,16,487,30,14.2,4,57,0,12,22,1.63,7,5,60000,3120000
"Anthony Gordon","Everton","ENG","FW",NA,21,2001,16,1095,68,32,12,85,7,4,19,0.88,10,13,60000,3120000
"Anthony Martial","Manchester Utd","FRA","FW",NA,26,1995,21,978,47,28.6,11,64,0,10,28,2.19,16,8,250000,1.3e+07
"Antoine Semenyo","Bournemouth","GHA","FW","MF",22,2000,11,258,23,7.5,2,77,1,9,12,1.45,3,6,20000,1040000
"Antony","Manchester Utd","BRA","FW",NA,22,2000,25,1802,72,52.7,23,76,6,2,30,1.88,29,21,2e+05,10400000
"Armando Broja","Chelsea","ALB","FW",NA,20,2001,12,294,25,8.6,2,67,0,10,16,1.5,5,5,40000,2080000
"Arnaut Danjuma","Tottenham","NED","FW","MF",25,1997,9,169,19,4.9,1,65,0,8,13,0.78,6,5,45000,2340000
"Ashley Young","Aston Villa","ENG","DF",NA,37,1985,29,2036,70,59.5,23,82,15,6,25,1.69,27,28,50000,2600000
"Aymeric Laporte","Manchester City","ESP","DF",NA,28,1994,12,993,83,29,11,89,10,1,16,2.33,21,10,120000,6240000
"Ayoze Pérez","Leicester City","ESP","MF","FW",29,1993,8,382,48,11.2,3,75,1,5,32,0.75,4,5,45000,2340000
"Ben Chilwell","Chelsea","ENG","DF","MF",25,1996,23,1408,61,41.2,15,85,10,8,17,1.26,16,19,190000,9880000
"Ben Davies","Tottenham","WAL","DF",NA,29,1993,31,2288,74,66.9,26,87,20,5,7,1.61,44,33,80000,4160000
"Ben Godfrey","Everton","ENG","DF",NA,24,1998,13,802,62,23.5,10,75,6,3,18,0.62,10,18,75000,3900000
"Ben Johnson","West Ham","ENG","DF",NA,22,2000,17,866,51,25.3,9,82,8,8,16,1.24,8,13,20000,1040000
"Ben Pearson","Bournemouth","ENG","MF",NA,27,1995,7,286,41,8.4,3,69,1,4,20,1,1,10,8000,416000
"Ben White","Arsenal","ENG","DF",NA,24,1997,38,3055,80,89.3,36,83,21,2,27,2.21,80,35,120000,6240000
"Benoît Badiashile","Chelsea","FRA","DF",NA,21,2001,11,905,82,26.5,10,90,10,1,5,1.55,11,9,90000,4680000
"Bernardo Silva","Manchester City","POR","MF","FW",27,1994,34,2205,65,64.5,24,85,16,10,16,2.35,61,24,150000,7800000
"Bertrand Traoré","Aston Villa","BFA","FW","MF",26,1995,8,233,29,6.8,1,45,0,7,27,1.75,6,1,77885,4050000
"Billy Gilmour","Brighton","SCO","MF",NA,21,2001,14,507,36,14.8,7,68,2,7,5,1.79,14,8,20000,1040000
"Bobby Reid","Fulham","JAM","FW","DF",29,1993,36,2475,69,72.4,29,80,11,7,23,1.44,36,40,35000,1820000
"Boubacar Kamara","Aston Villa","FRA","MF",NA,22,1999,24,1777,74,52,21,83,14,3,14,1.63,28,30,150000,7800000
"Boubacar Traoré","Wolves","MLI","MF",NA,20,2001,10,411,41,12,4,82,2,6,14,0.5,4,9,55000,2860000
"Boubakary Soumaré","Leicester City","FRA","MF",NA,23,1999,26,1629,63,47.6,20,75,9,6,23,1,19,30,80000,4160000
"Brenden Aaronson","Leeds United","USA","MF","FW",21,2000,36,2372,66,69.4,28,78,8,8,22,0.86,35,58,45000,2340000
"Brennan Johnson","Nott'ham Forest","WAL","FW","MF",21,2001,38,2934,77,85.8,33,86,21,5,20,1,30,54,30000,1560000
"Bryan Gil","Tottenham","ESP","MF","FW",21,2001,4,148,37,4.3,2,69,0,2,5,1.5,5,1,40000,2080000
"Bryan Mbeumo","Brentford","CMR","FW",NA,22,1999,38,2906,76,85,36,79,10,2,24,1.55,50,39,45000,2340000
"Bukayo Saka","Arsenal","ENG","FW",NA,20,2001,38,3181,84,93,37,85,23,1,31,2.21,79,42,70000,3640000
"Çağlar Söyüncü","Leicester City","TUR","DF",NA,26,1996,7,529,76,15.5,6,87,5,1,8,1.14,9,13,45000,2340000
"Callum Wilson","Newcastle Utd","ENG","FW",NA,30,1992,31,1877,61,54.9,21,76,2,10,28,1.97,44,16,46000,2392000
"Calum Chambers","Aston Villa","ENG","DF","MF",27,1995,14,353,25,10.3,2,90,2,12,14,2.07,4,4,50000,2600000
"Carlos Alcaraz","Southampton","ARG","MF","FW",19,2002,18,1029,57,30.1,13,70,2,5,24,0.72,15,25,25000,1300000
"Carlos Vinícius","Fulham","BRA","FW",NA,27,1995,28,1109,40,32.4,11,85,7,17,10,1.29,18,20,40000,2080000
"Carney Chukwuemeka","Chelsea","ENG","MF","FW",18,2003,14,354,25,10.4,2,72,0,12,18,1.29,2,7,1e+05,5200000
"Casemiro","Manchester Utd","BRA","MF",NA,30,1992,28,2124,76,62.1,24,85,18,4,22,2.11,37,21,350000,18200000
"Cédric Soares","Fulham","POR","DF",NA,30,1991,6,198,33,5.8,2,79,1,4,10,0.5,1,3,75000,3900000
"César Azpilicueta","Chelsea","ESP","DF",NA,32,1989,25,1527,61,44.6,16,82,12,9,23,1.12,17,21,180000,9360000
"Che Adams","Southampton","SCO","FW",NA,26,1996,28,1992,71,58.2,23,82,13,5,22,0.71,18,41,30000,1560000
"Cheikhou Kouyaté","Nott'ham Forest","SEN","MF",NA,32,1989,21,882,42,25.8,10,68,1,11,18,1.05,9,23,45000,2340000
"Chris Mepham","Bournemouth","WAL","DF",NA,24,1997,26,2199,85,64.3,24,90,23,2,24,1,23,52,35000,1820000
"Chris Richards","Crystal Palace","USA","DF",NA,22,2000,9,447,50,13.1,4,90,4,5,17,0.78,2,11,55000,2860000
"Chris Wood","Newcastle Utd","NZL","FW",NA,30,1991,18,446,25,13,4,72,0,14,11,1.94,8,3,80000,4160000
"Chris Wood","Nott'ham Forest","NZL","FW",NA,30,1991,7,372,53,10.9,5,71,0,2,9,0.86,3,6,80000,4160000
"Christian Eriksen","Manchester Utd","DEN","MF",NA,30,1992,28,2048,73,59.9,25,80,7,3,14,2.14,33,25,150000,7800000
"Christian Nørgaard","Brentford","DEN","MF",NA,28,1994,22,1763,80,51.5,21,83,12,1,29,1.5,31,23,35000,1820000
"Christian Pulisic","Chelsea","USA","FW","DF",23,1998,24,821,34,24,8,64,0,16,19,1.13,12,11,150000,7800000
"Clément Lenglet","Tottenham","FRA","DF",NA,27,1995,26,2019,78,59,24,83,14,2,9,1.54,45,35,145000,7540000
"Cody Gakpo","Liverpool","NED","FW","MF",23,1999,21,1458,69,42.6,17,81,6,4,22,1.86,32,19,120000,6240000
