"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Brenden Aaronson","Leeds United","USA","MF","FW",21,2,0,0,0,16
"Che Adams","Southampton","SCO","FW",NA,26,1,0,0,0,38
"Tyler Adams","Leeds United","USA","MF",NA,23,6,1,1,2,37
"Tosin Adarabioyo","Fulham","ENG","DF",NA,24,4,0,0,0,17
"Nayef Aguerd","West Ham","MAR","DF",NA,26,4,0,0,0,8
"Naouirou Ahamada","Crystal Palace","FRA","MF","FW",20,1,0,0,0,2
"Rayan Aït-Nouri","Wolves","ALG","DF",NA,21,4,0,0,0,15
"Kristoffer Ajer","Brentford","NOR","DF",NA,24,0,0,0,0,5
"Manuel Akanji","Manchester City","SUI","DF",NA,27,2,0,0,0,24
"Nathan Aké","Manchester City","NED","DF",NA,27,2,0,0,0,12
"Marc Albrighton","Leicester City","ENG","FW","MF",32,0,0,0,0,2
"Thiago Alcántara","Liverpool","ESP","MF",NA,31,2,0,0,0,18
"Carlos Alcaraz","Southampton","ARG","MF","FW",19,3,0,0,0,16
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,23,5,0,0,0,22
"Alisson","Liverpool","BRA","GK",NA,29,1,0,0,0,1
"Dele Alli","Everton","ENG","MF",NA,26,0,0,0,0,0
"Miguel Almirón","Newcastle Utd","PAR","FW",NA,28,2,0,0,0,22
"Julián Álvarez","Manchester City","ARG","FW","MF",22,0,0,0,0,21
"Daniel Amartey","Leicester City","GHA","DF",NA,27,1,0,0,0,7
"Samuel Amo-Ameyaw","Southampton","ENG","MF",NA,16,0,0,0,0,0
"Joachim Andersen","Crystal Palace","DEN","DF",NA,26,8,0,0,0,27
"Elliot Anderson","Newcastle Utd","ENG","MF","FW",19,0,0,0,0,6
"Jaidon Anthony","Bournemouth","ENG","MF","FW",22,2,0,0,0,9
"Michail Antonio","West Ham","JAM","FW",NA,32,2,0,0,0,28
"Antony","Manchester Utd","BRA","FW",NA,22,5,0,0,0,15
"Joe Aribo","Southampton","NGA","MF","FW",26,2,0,0,0,10
"Adam Armstrong","Southampton","ENG","FW","MF",25,2,0,0,0,17
"Stuart Armstrong","Southampton","SCO","MF","FW",30,6,0,0,0,17
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,27,1,0,0,0,0
"Pierre-Emerick Aubameyang","Chelsea","GAB","FW",NA,33,1,0,0,0,5
"Ludwig Augustinsson","Aston Villa","SWE","DF",NA,28,1,0,0,0,1
"Serge Aurier","Nott'ham Forest","CIV","DF",NA,29,2,0,0,0,18
"Taiwo Awoniyi","Nott'ham Forest","NGA","FW",NA,24,2,0,0,0,24
"Yasin Ayari","Brighton","SWE","MF",NA,18,0,0,0,0,0
"André Ayew","Nott'ham Forest","GHA","FW","MF",32,1,0,0,0,3
"Jordan Ayew","Crystal Palace","GHA","FW","MF",30,5,0,0,0,48
"Luke Ayling","Leeds United","ENG","DF",NA,30,3,0,0,0,15
"César Azpilicueta","Chelsea","ESP","DF",NA,32,3,0,0,0,27
"Benoît Badiashile","Chelsea","FRA","DF",NA,21,2,0,0,0,9
"Leon Bailey","Aston Villa","JAM","FW","MF",24,4,0,0,0,29
"Stefan Bajcetic","Liverpool","ESP","MF",NA,17,2,0,0,0,7
"Dominic Ballard","Southampton","ENG","FW","MF",17,0,0,0,0,0
"Patrick Bamford","Leeds United","ENG","FW",NA,28,3,0,0,0,25
"Shandon Baptiste","Brentford","GRN","MF",NA,24,3,1,1,2,11
"Harvey Barnes","Leicester City","ENG","FW","MF",24,3,0,0,0,38
"Gavin Bazunu","Southampton","IRL","GK",NA,20,0,0,0,0,1
"Mads Bech Sørensen","Brentford","DEN","DF","MF",23,0,0,0,0,0
"Jan Bednarek","Southampton","POL","DF",NA,26,5,0,0,0,15
"Donny van de Beek","Manchester Utd","NED","MF",NA,25,0,0,0,0,4
"Asmir Begović","Everton","BIH","GK",NA,35,0,0,0,0,0
"Armel Bella Kotchap","Southampton","GER","DF",NA,20,4,0,0,0,9
"Saïd Benrahma","West Ham","ALG","FW","MF",26,0,0,0,0,16
"Rodrigo Bentancur","Tottenham","URU","MF",NA,25,8,0,0,0,24
"Daniel Bentley","Wolves","ENG","GK",NA,29,0,0,0,0,0
"Victor Bernth Kristiansen","Leicester City","DEN","DF",NA,19,2,0,0,0,17
"Giulian Biancone","Nott'ham Forest","FRA","DF",NA,22,0,0,0,0,0
"Philip Billing","Bournemouth","DEN","MF","FW",26,5,0,0,0,30
"Yves Bissouma","Tottenham","MLI","MF",NA,25,6,0,0,0,17
"Willy Boly","Nott'ham Forest","CIV","DF",NA,31,2,0,0,0,5
"Sven Botman","Newcastle Utd","NED","DF",NA,22,2,0,0,0,15
"Jarrod Bowen","West Ham","ENG","FW","MF",25,2,0,0,0,26
"James Bree","Southampton","ENG","DF",NA,24,1,0,0,0,1
"Armando Broja","Chelsea","ALB","FW",NA,20,0,0,0,0,2
"David Brooks","Bournemouth","WAL","FW","MF",25,1,0,0,0,3
"Emi Buendía","Aston Villa","ARG","MF","FW",25,0,0,0,0,43
"Hugo Bueno","Wolves","ESP","DF",NA,19,1,0,0,0,7
"Facundo Buonanotte","Brighton","ARG","FW","MF",17,2,0,0,0,9
"Dan Burn","Newcastle Utd","ENG","DF",NA,30,5,0,0,0,35
"Moisés Caicedo","Brighton","ECU","MF",NA,20,10,0,0,0,65
"Tom Cairney","Fulham","SCO","MF",NA,31,2,0,0,0,8
"Duje Ćaleta-Car","Southampton","CRO","DF",NA,25,2,0,0,0,9
"Dominic Calvert-Lewin","Everton","ENG","FW",NA,25,3,0,0,0,22
"Chem Campbell","Wolves","WAL","FW","MF",19,0,0,0,0,0
"João Cancelo","Manchester City","POR","DF",NA,28,3,1,0,1,13
"Thomas Cannon","Everton","IRL","FW",NA,19,0,0,0,0,0
"Sergi Canós","Brentford","ESP","FW","DF",25,0,0,0,0,3
"Diego Carlos","Aston Villa","BRA","DF",NA,29,0,0,0,0,2
"Fabio Carvalho","Liverpool","POR","MF","FW",19,0,0,0,0,6
"Casemiro","Manchester Utd","BRA","MF",NA,30,7,2,0,2,48
"Matty Cash","Aston Villa","POL","DF",NA,24,4,0,0,0,21
"Timothy Castagne","Leicester City","BEL","DF",NA,26,3,0,0,0,25
"Jonny Castro","Wolves","ESP","DF",NA,28,3,1,0,1,13
"Nathaniel Chalobah","Fulham","ENG","MF",NA,27,0,1,0,1,2
"Trevoh Chalobah","Chelsea","ENG","DF",NA,23,4,0,0,0,11
"Calum Chambers","Aston Villa","ENG","DF","MF",27,2,0,0,0,7
"Shea Charles","Manchester City","NIR","DF",NA,18,0,0,0,0,0
"Ben Chilwell","Chelsea","ENG","DF","MF",25,3,0,0,0,13
"Ryan Christie","Bournemouth","SCO","MF","FW",27,2,0,0,0,36
"Carney Chukwuemeka","Chelsea","ENG","MF","FW",18,0,0,0,0,2
"Nathaniel Clyne","Crystal Palace","ENG","DF",NA,31,3,0,0,0,10
"Conor Coady","Everton","ENG","DF",NA,29,2,0,0,0,11
"Jack Colback","Nott'ham Forest","ENG","MF",NA,32,0,0,0,0,9
"Séamus Coleman","Everton","IRL","DF",NA,33,1,0,0,0,10
"Nathan Collins","Wolves","IRL","DF",NA,21,2,1,0,1,17
"Levi Colwill","Brighton","ENG","DF",NA,19,1,0,0,0,8
"Lewis Cook","Bournemouth","ENG","MF",NA,25,4,0,0,0,15
"Steve Cook","Nott'ham Forest","ENG","DF",NA,31,4,0,0,0,5
"Liam Cooper","Leeds United","SCO","DF",NA,30,5,0,0,0,12
"Maxwel Cornet","West Ham","CIV","FW",NA,25,0,0,0,0,2
"Diego Costa","Wolves","ESP","FW",NA,33,5,1,0,1,29
"Vladimír Coufal","West Ham","CZE","DF",NA,29,5,0,0,0,30
"Philippe Coutinho","Aston Villa","BRA","MF","FW",30,3,0,0,0,16
"Aaron Cresswell","West Ham","ENG","DF",NA,32,3,0,0,0,9
"Marc Cucurella","Chelsea","ESP","DF",NA,24,4,0,0,0,16
"Matheus Cunha","Wolves","BRA","FW",NA,23,1,0,0,0,20
"Patson Daka","Leicester City","ZAM","FW",NA,23,2,0,0,0,23
"Diogo Dalot","Manchester Utd","POR","DF",NA,23,6,0,0,0,21
"Mikkel Damsgaard","Brentford","DEN","MF","FW",22,4,0,0,0,13
"Danilo","Nott'ham Forest","BRA","MF",NA,21,1,0,0,0,4
"Arnaut Danjuma","Tottenham","NED","FW","MF",25,0,0,0,0,0
"Josh Dasilva","Brentford","ENG","MF",NA,23,1,0,0,0,14
"Ben Davies","Tottenham","WAL","DF",NA,29,4,0,0,0,30
"Tom Davies","Everton","ENG","MF",NA,24,3,0,0,0,10
"Craig Dawson","West Ham","ENG","DF",NA,32,2,0,0,0,6
"Craig Dawson","Wolves","ENG","DF",NA,32,4,0,0,0,11
"Kevin De Bruyne","Manchester City","BEL","MF",NA,31,1,0,0,0,20
"Siriki Dembélé","Bournemouth","CIV","FW","MF",25,0,0,0,0,1
"Leander Dendoncker","Aston Villa","BEL","MF",NA,27,0,0,0,0,1
"Leander Dendoncker","Wolves","BEL","MF",NA,27,0,0,0,0,0
"Emmanuel Dennis","Nott'ham Forest","NGA","FW","MF",24,3,0,0,0,15
"Kiernan Dewsbury-Hall","Leicester City","ENG","MF",NA,23,5,1,1,2,37
"Ibrahima Diallo","Southampton","FRA","MF",NA,23,4,0,0,0,18
"Rúben Dias","Manchester City","POR","DF",NA,25,3,0,0,0,19
"Luis Díaz","Liverpool","COL","FW",NA,25,2,0,0,0,20
"Eric Dier","Tottenham","ENG","DF",NA,28,3,0,0,0,25
"Lucas Digne","Aston Villa","FRA","DF",NA,29,5,0,0,0,19
"Issa Diop","Fulham","FRA","DF",NA,25,2,0,0,0,16
"Moussa Djenepo","Southampton","MLI","DF","FW",24,1,0,0,0,11
"Matt Doherty","Tottenham","IRL","DF","MF",30,0,0,0,0,11
"Abdoulaye Doucouré","Everton","MLI","MF",NA,29,6,1,0,1,21
"Cheick Doucouré","Crystal Palace","MLI","MF",NA,22,10,1,1,2,38
"Flynn Downes","West Ham","ENG","MF",NA,23,2,0,0,0,8
