"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alisson","Liverpool","BRA","GK",NA,29,19,9,9,43,105,72.1,14,37.8,1,33.3
"Alphonse Areola","West Ham","FRA","GK",NA,29,0,1,1,7,9,68.8,1,50,0,0
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,27,8,9,12,33,90,73.3,9,31,0,0
"Gavin Bazunu","Southampton","IRL","GK",NA,20,6,6,20,56,67,54.2,4,12.5,1,50
"Ederson","Manchester City","BRA","GK",NA,28,26,4,5,32,46,62.3,11,31.4,0,0
"Łukasz Fabiański","West Ham","POL","GK",NA,37,11,6,19,48,106,70.1,8,22.2,1,33.3
"Fraser Forster","Tottenham","ENG","GK",NA,34,5,3,5,24,30,60,3,23.1,1,33.3
"David de Gea","Manchester Utd","ESP","GK",NA,31,23,6,9,43,99,71.1,17,44.7,1,33.3
"Vicente Guaita","Crystal Palace","ESP","GK",NA,35,7,9,11,34,84,72.4,6,22.2,0,0
"Dean Henderson","Nott'ham Forest","ENG","GK",NA,25,5,5,8,31,52,65.9,6,33.3,2,50
"Daniel Iversen","Leicester City","DEN","GK",NA,25,2,4,6,22,38,66.1,1,8.3,0,0
"Sam Johnstone","Crystal Palace","ENG","GK",NA,29,4,3,2,10,25,76.5,3,33.3,0,0
"Bernd Leno","Fulham","GER","GK",NA,30,15,5,16,51,142,77.1,8,22.2,1,12.5
"Hugo Lloris","Tottenham","FRA","GK",NA,35,13,3,9,39,79,67.5,7,28,0,0
"Emiliano Martínez","Aston Villa","ARG","GK",NA,29,17,7,12,38,97,74.2,11,30.6,1,20
"Alex McCarthy","Southampton","ENG","GK",NA,32,0,1,5,17,14,46.7,0,0,0,0
"Illan Meslier","Leeds United","FRA","GK",NA,22,7,9,18,67,92,59.5,5,14.7,0,0
"Keylor Navas","Nott'ham Forest","CRC","GK",NA,35,4,4,9,32,51,66.3,1,5.9,0,0
"Neto","Bournemouth","BRA","GK",NA,33,9,6,12,39,100,74.6,6,22.2,0,0
"Robin Olsen","Aston Villa","SWE","GK",NA,32,1,0,1,8,11,63.2,1,50,0,0
"Jordan Pickford","Everton","ENG","GK",NA,28,7,12,18,57,123,71.3,8,21.6,1,16.7
"Nick Pope","Newcastle Utd","ENG","GK",NA,30,19,13,5,32,85,74.6,14,37.8,2,50
"Aaron Ramsdale","Arsenal","ENG","GK",NA,24,26,6,6,43,94,70.6,14,36.8,0,0
"David Raya","Brentford","ESP","GK",NA,26,15,14,9,46,154,77.7,12,31.6,0,0
"Joel Robles","Leeds United","ESP","GK",NA,32,0,1,3,11,16,66.7,0,0,0,0
"José Sá","Wolves","POR","GK",NA,29,11,7,18,55,105,67.1,11,30.6,2,50
"Robert Sánchez","Brighton","ESP","GK",NA,24,11,5,7,30,46,66.2,6,26.1,1,16.7
"Jason Steele","Brighton","ENG","GK",NA,31,7,3,5,23,36,61.4,6,40,1,50
"Mark Travers","Bournemouth","IRL","GK",NA,23,2,0,9,32,36,54.5,2,18.2,0,0
"Danny Ward","Leicester City","WAL","GK",NA,29,7,3,16,46,75,63,6,23.1,1,33.3
