"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Brenden Aaronson","Leeds United","USA","MF","FW",21,45,18,40,46,46,32.6,43,3,40,5,6,1
"Che Adams","Southampton","SCO","FW",NA,26,17,13,76.4705882352941,12,12,58.3,13,4,9,4,22,0
"Tyler Adams","Leeds United","USA","MF",NA,23,89,46,51.685393258427,77,77,64.9,48,8,40,35,29,0
"Tosin Adarabioyo","Fulham","ENG","DF",NA,24,30,13,43.3333333333333,23,23,69.6,20,15,5,26,140,1
"Nayef Aguerd","West Ham","MAR","DF",NA,26,27,18,66.6666666666667,20,20,65,26,24,2,18,79,2
"Naouirou Ahamada","Crystal Palace","FRA","MF","FW",20,3,2,66.6666666666667,3,3,33.3,2,0,2,0,0,0
"Rayan Aït-Nouri","Wolves","ALG","DF",NA,21,33,20,60.6060606060606,16,16,56.3,3,0,3,9,28,0
"Kristoffer Ajer","Brentford","NOR","DF",NA,24,11,8,72.7272727272727,16,16,56.3,6,5,1,7,22,0
"Manuel Akanji","Manchester City","SUI","DF",NA,27,36,25,69.4444444444444,36,36,63.9,27,9,18,16,33,1
"Nathan Aké","Manchester City","NED","DF",NA,27,26,12,46.1538461538462,15,15,73.3,20,10,10,20,48,0
"Marc Albrighton","Leicester City","ENG","FW","MF",32,4,1,25,8,8,12.5,6,2,4,1,5,0
"Thiago Alcántara","Liverpool","ESP","MF",NA,31,43,24,55.8139534883721,23,23,60.9,15,3,12,21,13,2
"Carlos Alcaraz","Southampton","ARG","MF","FW",19,10,5,50,22,22,27.3,14,5,9,1,11,0
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,23,57,40,70.1754385964912,80,80,52.5,25,7,18,43,41,2
"Alisson","Liverpool","BRA","GK",NA,29,0,0,NA,3,3,0,3,0,3,0,20,0
"Miguel Almirón","Newcastle Utd","PAR","FW",NA,28,46,30,65.2173913043478,42,42,42.9,25,2,23,10,17,0
"Julián Álvarez","Manchester City","ARG","FW","MF",22,26,16,61.5384615384615,30,30,30,13,0,13,2,6,0
"Daniel Amartey","Leicester City","GHA","DF",NA,27,19,8,42.1052631578947,14,14,85.7,24,17,7,8,71,0
"Samuel Amo-Ameyaw","Southampton","ENG","MF",NA,16,0,0,NA,1,1,0,0,0,0,0,0,0
"Joachim Andersen","Crystal Palace","DEN","DF",NA,26,42,22,52.3809523809524,32,32,50,28,13,15,24,188,1
"Elliot Anderson","Newcastle Utd","ENG","MF","FW",19,11,5,45.4545454545455,12,12,50,11,2,9,6,2,0
"Jaidon Anthony","Bournemouth","ENG","MF","FW",22,30,17,56.6666666666667,24,24,33.3,30,3,27,10,19,0
"Michail Antonio","West Ham","JAM","FW",NA,32,14,7,50,12,12,25,13,5,8,5,9,0
"Antony","Manchester Utd","BRA","FW",NA,22,22,9,40.9090909090909,28,28,28.6,18,0,18,11,6,0
"Joe Aribo","Southampton","NGA","MF","FW",26,31,20,64.5161290322581,20,20,55,14,1,13,10,11,0
"Adam Armstrong","Southampton","ENG","FW","MF",25,14,9,64.2857142857143,10,10,30,15,3,12,5,6,0
"Stuart Armstrong","Southampton","SCO","MF","FW",30,32,21,65.625,39,39,35.9,18,0,18,10,9,2
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,27,2,2,100,3,3,66.7,0,0,0,1,16,2
"Pierre-Emerick Aubameyang","Chelsea","GAB","FW",NA,33,1,0,0,1,1,0,2,0,2,2,4,2
"Serge Aurier","Nott'ham Forest","CIV","DF",NA,29,64,41,64.0625,33,33,69.7,34,11,23,29,75,0
"Taiwo Awoniyi","Nott'ham Forest","NGA","FW",NA,24,17,10,58.8235294117647,12,12,50,18,4,14,4,20,0
"Yasin Ayari","Brighton","SWE","MF",NA,18,2,2,100,4,4,0,1,0,1,0,0,0
"André Ayew","Nott'ham Forest","GHA","FW","MF",32,5,3,60,4,4,50,6,1,5,0,7,0
"Jordan Ayew","Crystal Palace","GHA","FW","MF",30,66,41,62.1212121212121,53,53,39.6,35,4,31,15,31,0
"Luke Ayling","Leeds United","ENG","DF",NA,30,66,37,56.0606060606061,85,85,49.4,34,11,23,26,52,2
"César Azpilicueta","Chelsea","ESP","DF",NA,32,43,25,58.1395348837209,37,37,59.5,26,5,21,19,54,1
"Benoît Badiashile","Chelsea","FRA","DF",NA,21,14,8,57.1428571428571,14,14,64.3,5,2,3,16,34,1
"Leon Bailey","Aston Villa","JAM","FW","MF",24,14,6,42.8571428571429,20,20,25,13,0,13,6,12,0
"Stefan Bajcetic","Liverpool","ESP","MF",NA,17,9,6,66.6666666666667,27,27,29.6,7,0,7,9,4,0
"Patrick Bamford","Leeds United","ENG","FW",NA,28,9,6,66.6666666666667,20,20,20,12,5,7,5,13,0
"Shandon Baptiste","Brentford","GRN","MF",NA,24,15,9,60,17,17,41.2,10,2,8,7,10,0
"Harvey Barnes","Leicester City","ENG","FW","MF",24,26,14,53.8461538461538,42,42,33.3,32,1,31,8,12,0
"Gavin Bazunu","Southampton","IRL","GK",NA,20,1,0,0,1,1,100,0,0,0,1,24,2
"Jan Bednarek","Southampton","POL","DF",NA,26,27,21,77.7777777777778,16,16,75,38,27,11,49,87,0
"Jan Bednarek","Aston Villa","POL","DF",NA,26,3,3,100,1,1,100,3,1,2,2,5,0
"Donny van de Beek","Manchester Utd","NED","MF",NA,25,0,0,NA,1,1,0,2,1,1,1,1,0
"Armel Bella Kotchap","Southampton","GER","DF",NA,20,37,17,45.9459459459459,20,20,75,29,12,17,44,110,0
"Saïd Benrahma","West Ham","ALG","FW","MF",26,25,15,60,27,27,40.7,23,1,22,9,13,0
"Rodrigo Bentancur","Tottenham","URU","MF",NA,25,45,28,62.2222222222222,28,28,57.1,28,15,13,20,22,0
"Daniel Bentley","Wolves","ENG","GK",NA,29,1,1,100,1,1,100,0,0,0,0,0,1
"Victor Bernth Kristiansen","Leicester City","DEN","DF",NA,19,38,23,60.5263157894737,30,30,73.3,16,4,12,3,26,1
"Giulian Biancone","Nott'ham Forest","FRA","DF",NA,22,2,1,50,1,1,100,0,0,0,1,0,0
"Philip Billing","Bournemouth","DEN","MF","FW",26,63,36,57.1428571428571,42,42,26.2,48,8,40,31,58,1
"Yves Bissouma","Tottenham","MLI","MF",NA,25,16,13,81.25,7,7,28.6,15,6,9,12,10,0
"Willy Boly","Nott'ham Forest","CIV","DF",NA,31,13,6,46.1538461538462,13,13,61.5,13,4,9,12,45,0
"Sven Botman","Newcastle Utd","NED","DF",NA,22,38,24,63.1578947368421,28,28,78.6,44,24,20,34,126,2
"Jarrod Bowen","West Ham","ENG","FW","MF",25,39,16,41.025641025641,58,58,27.6,47,9,38,36,25,0
"James Bree","Southampton","ENG","DF",NA,24,5,3,60,4,4,75,3,1,2,6,11,0
"Armando Broja","Chelsea","ALB","FW",NA,20,4,1,25,1,1,100,10,1,9,1,1,0
"David Brooks","Bournemouth","WAL","FW","MF",25,1,0,0,1,1,0,2,0,2,2,5,0
"Emi Buendía","Aston Villa","ARG","MF","FW",25,52,23,44.2307692307692,74,74,28.4,20,2,18,20,17,0
"Hugo Bueno","Wolves","ESP","DF",NA,19,33,16,48.4848484848485,33,33,51.5,14,1,13,10,36,0
"Facundo Buonanotte","Brighton","ARG","FW","MF",17,2,1,50,22,22,4.5,5,2,3,4,3,0
"Dan Burn","Newcastle Utd","ENG","DF",NA,30,60,38,63.3333333333333,67,67,50.7,42,16,26,32,120,2
"Moisés Caicedo","Brighton","ECU","MF",NA,20,100,50,50,68,68,58.8,43,7,36,56,31,3
"Tom Cairney","Fulham","SCO","MF",NA,31,17,6,35.2941176470588,10,10,70,18,3,15,5,3,0
"Duje Ćaleta-Car","Southampton","CRO","DF",NA,25,14,10,71.4285714285714,9,9,66.7,15,11,4,15,65,1
"Dominic Calvert-Lewin","Everton","ENG","FW",NA,25,4,2,50,5,5,20,5,1,4,3,18,0
"Chem Campbell","Wolves","WAL","FW","MF",19,2,1,50,1,1,0,2,0,2,1,0,0
"João Cancelo","Manchester City","POR","DF",NA,28,29,21,72.4137931034483,24,24,70.8,7,1,6,19,9,1
"Sergi Canós","Brentford","ESP","FW","DF",25,0,0,NA,2,2,0,3,1,2,0,1,0
"Diego Carlos","Aston Villa","BRA","DF",NA,29,1,0,0,1,1,0,2,2,0,1,2,0
"Fabio Carvalho","Liverpool","POR","MF","FW",19,8,8,100,6,6,50,6,0,6,6,0,0
"Casemiro","Manchester Utd","BRA","MF",NA,30,88,46,52.2727272727273,92,92,51.1,49,11,38,34,64,0
"Matty Cash","Aston Villa","POL","DF",NA,24,55,32,58.1818181818182,37,37,70.3,20,5,15,26,43,0
"Timothy Castagne","Leicester City","BEL","DF",NA,26,87,44,50.5747126436782,84,84,48.8,50,13,37,43,110,0
"Jonny Castro","Wolves","ESP","DF",NA,28,33,15,45.4545454545455,38,38,44.7,26,5,21,14,28,2
"Nathaniel Chalobah","Fulham","ENG","MF",NA,27,1,1,100,1,1,100,0,0,0,0,2,0
"Trevoh Chalobah","Chelsea","ENG","DF",NA,23,31,20,64.5161290322581,35,35,68.6,17,7,10,24,56,1
"Calum Chambers","Aston Villa","ENG","DF","MF",27,9,6,66.6666666666667,8,8,75,5,4,1,7,10,1
"Shea Charles","Manchester City","NIR","DF",NA,18,4,0,0,1,1,100,0,0,0,1,2,0
"Ben Chilwell","Chelsea","ENG","DF","MF",25,21,17,80.952380952381,25,25,52,21,2,19,18,26,0
"Ryan Christie","Bournemouth","SCO","MF","FW",27,34,22,64.7058823529412,50,50,28,16,4,12,26,20,0
"Carney Chukwuemeka","Chelsea","ENG","MF","FW",18,13,7,53.8461538461538,5,5,60,7,0,7,6,1,0
"Nathaniel Clyne","Crystal Palace","ENG","DF",NA,31,27,16,59.2592592592593,23,23,60.9,22,4,18,19,34,0
"Conor Coady","Everton","ENG","DF",NA,29,14,9,64.2857142857143,15,15,46.7,21,17,4,14,88,3
"Jack Colback","Nott'ham Forest","ENG","MF",NA,32,18,13,72.2222222222222,8,8,62.5,3,0,3,3,9,0
"Séamus Coleman","Everton","IRL","DF",NA,33,35,26,74.2857142857143,29,29,65.5,14,7,7,22,58,2
"Nathan Collins","Wolves","IRL","DF",NA,21,27,15,55.5555555555556,24,24,62.5,35,28,7,21,84,0
"Levi Colwill","Brighton","ENG","DF",NA,19,8,7,87.5,9,9,44.4,5,3,2,15,37,1
