"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Cresswell","West Ham","ENG","DF",NA,32,1,1,0,0,9,1,11.1,0,0,22.5,4,73,43,30,1,0,1
"Aaron Hickey","Brentford","SCO","DF",NA,20,1,1,0,0,11,2,18.2,0,0,21.5,0,20,14,6,2,1,1
"Aaron Ramsdale","Arsenal","ENG","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,24,0,0,0,0,10,2,20,0,0,14.7,0,30,29,1,1,1,0
"Abdoulaye Doucouré","Everton","MLI","MF",NA,29,2,7,0,0,20,8,40,0.25,0.63,13.2,0,45,38,7,3,3,0
"Adam Armstrong","Southampton","ENG","FW","MF",25,1,3,0,0,25,12,48,0.08,0.17,15.9,0,24,19,5,2,1,1
"Adam Forshaw","Leeds United","ENG","MF",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,16,10,6,0,0,0
"Adam Lallana","Brighton","ENG","MF","FW",34,1,3,0,0,8,5,62.5,0.25,0.4,13.3,0,22,22,0,2,2,0
"Adam Smith","Bournemouth","ENG","DF",NA,31,1,1,0,0,5,1,20,0,0,16.2,0,29,25,4,2,2,0
"Adam Webster","Brighton","ENG","DF",NA,27,0,0,0,0,18,2,11.1,0,0,11.2,0,20,19,1,1,1,0
"Adama Traoré","Wolves","ESP","FW","MF",26,1,3,0,0,19,7,36.8,0.11,0.29,15,0,45,37,8,4,2,2
"Ainsley Maitland-Niles","Southampton","ENG","DF","MF",24,0,0,0,0,1,1,100,0,0,31.4,0,24,22,2,2,1,1
"Albert Sambi Lokonga","Crystal Palace","BEL","MF",NA,22,0,0,0,0,2,1,50,0,0,17.9,0,6,5,1,0,0,0
"Albert Sambi Lokonga","Crystal Palace","BEL","MF",NA,22,0,0,0,0,2,1,50,0,0,17.9,0,4,3,1,0,0,0
"Albert Sambi Lokonga","Arsenal","BEL","MF",NA,22,0,0,0,0,2,1,50,0,0,17.9,0,6,5,1,0,0,0
"Albert Sambi Lokonga","Arsenal","BEL","MF",NA,22,0,0,0,0,2,1,50,0,0,17.9,0,4,3,1,0,0,0
"Alejandro Garnacho","Manchester Utd","ARG","FW","MF",18,2,5,0,0,24,9,37.5,0.13,0.33,16.3,0,22,17,5,6,5,1
"Aleksandar Mitrović","Fulham","SRB","FW",NA,27,1,15,8,4,85,27,31.8,0.12,0.37,15.1,0,55,26,29,10,3,7
