"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",29,758,1760,18041,21807,82.7,8319,9236,90.1,1453,2621,55.4,7770,8814,88.2,20122,1624,440,34,133,751,663,207,61,53.5,25431,535,296,55.3,239,44.7
"Aston Villa",24,629,1420,12938,16996,76.1,5729,6654,86.1,1571,3074,51.1,5222,6209,84.1,15003,1922,590,12,127,779,780,213,71,48.5,21113,595,369,62,223,37.5
"Brighton",27,685,1516,15772,19871,79.4,6694,7654,87.5,1689,3090,54.7,6893,7960,86.6,18111,1708,404,17,164,686,769,219,52,51.1,23756,573,350,61.1,222,38.7
"Burnley",25,389,1012,10825,15562,69.6,5117,6058,84.5,1553,3535,43.9,3688,4824,76.5,13737,1745,461,10,110,772,721,172,80,42.1,19391,403,234,58.1,170,42.2
"Chelsea",27,895,1798,21969,25799,85.2,10454,11454,91.3,1667,2703,61.7,8965,9976,89.9,24055,1665,402,29,154,749,732,226,79,60.9,29889,657,359,54.6,298,45.4
"Crystal Palace",24,526,1132,11627,15597,74.5,5889,6882,85.6,1131,2449,46.2,4127,5088,81.1,13707,1823,473,8,47,533,772,151,67,40.6,19798,645,365,56.6,280,43.4
"Everton",29,604,1184,14792,18696,79.1,6563,7438,88.2,1580,2924,54,6125,7073,86.6,17021,1610,426,28,121,662,660,167,65,46.4,22845,591,362,61.3,229,38.7
"Fulham",28,727,1354,15401,19512,78.9,6853,7837,87.4,1529,2866,53.3,6528,7611,85.8,17703,1766,469,17,109,710,784,164,43,49.7,23810,795,506,63.6,289,36.4
"Leeds United",23,811,1633,16284,20629,78.9,6970,7933,87.9,1631,3014,54.1,7130,8308,85.8,18658,1895,467,27,205,786,809,229,76,57.3,24873,563,318,56.5,245,43.5
"Leicester City",27,666,1464,17014,21216,80.2,7893,8978,87.9,1461,2737,53.4,7010,8113,86.4,19423,1722,474,35,92,649,738,212,71,54.3,25365,645,358,55.5,287,44.5
"Liverpool",28,886,2057,21929,26226,83.6,10789,11862,91,1715,2969,57.8,8747,9940,88,24396,1765,409,44,156,862,811,257,65,62.1,30073,696,407,58.5,288,41.4
"Manchester City",24,1096,2051,23819,27167,87.7,11548,12409,93.1,1771,2616,67.7,9673,10628,91,25546,1564,423,38,146,632,656,247,57,63.5,30700,783,485,61.9,298,38.1
"Manchester Utd",29,877,1832,18800,22624,83.1,9248,10259,90.1,1597,2585,61.8,7258,8255,87.9,20810,1738,433,34,211,640,760,197,76,55.7,26617,711,415,58.4,293,41.2
"Newcastle Utd",27,467,903,10839,14709,73.7,4828,5635,85.7,1387,2879,48.2,4197,5131,81.8,12864,1787,464,12,122,652,724,161,58,38.8,18774,587,350,59.6,237,40.4
"Sheffield Utd",27,491,1196,12146,16264,74.7,6006,6905,87,1277,2840,45,4331,5303,81.7,14542,1649,347,13,115,666,750,170,73,41.7,20351,475,269,56.6,207,43.6
"Southampton",29,626,1195,14928,19288,77.4,7587,8659,87.6,1099,2547,43.1,5629,6690,84.1,17388,1824,496,16,87,554,809,177,76,52,23607,601,343,57.1,258,42.9
"Tottenham",24,633,1330,16508,20571,80.2,7801,8828,88.4,1393,2672,52.1,6561,7603,86.3,18738,1788,524,28,147,526,750,168,45,51.6,24670,715,403,56.4,312,43.6
"West Brom",30,441,1027,9769,13978,69.9,4418,5278,83.7,1273,2924,43.5,3696,4783,77.3,12147,1756,463,13,105,604,727,144,75,37.9,18247,505,264,52.3,241,47.7
"West Ham",24,658,1282,12725,16901,75.3,5888,6864,85.8,1470,2860,51.4,4948,6052,81.8,15140,1687,398,15,109,775,741,167,74,43.2,20810,542,298,55,244,45
"Wolves",27,800,1283,15548,19225,80.9,6990,7796,89.7,1742,2944,59.2,6320,7342,86.1,17437,1751,444,20,141,775,735,208,37,49.3,23259,779,468,60.1,311,39.9
