"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",39,55,25,60,3,2,412,126,30.6,0.08,0.26,17.8,12,711,515,196,59,37,22
"Aston Villa",46,55,30,75,6,5,532,180,33.8,0.08,0.22,18.1,27,938,710,228,78,53,25
"Brighton",46,40,30,74,7,6,351,119,33.9,0.11,0.32,18.6,10,625,474,151,76,53,23
"Burnley",55,33,47,101,3,3,567,176,31,0.09,0.29,17.4,13,1026,802,224,101,85,16
"Chelsea",36,58,26,61,4,3,332,103,31,0.1,0.31,19.3,15,587,436,151,56,40,16
"Crystal Palace",66,41,47,113,4,3,535,170,31.8,0.12,0.37,16.7,29,953,671,282,111,86,25
"Everton",48,47,33,80,4,3,501,158,31.5,0.09,0.28,18,23,891,661,230,85,61,24
"Fulham",53,27,34,86,7,7,421,163,38.7,0.11,0.28,17,27,751,522,229,91,65,26
"Leeds United",54,62,36,88,9,8,549,189,34.4,0.08,0.23,18,20,951,629,322,86,47,39
"Leicester City",50,68,29,77,4,4,366,132,36.1,0.12,0.33,16.1,17,658,438,220,82,51,31
"Liverpool",42,68,29,71,8,4,324,135,41.7,0.12,0.28,17.4,12,581,424,157,74,54,20
"Manchester City",32,83,17,48,10,8,273,90,33,0.08,0.26,18.6,15,489,350,139,54,30,24
"Manchester Utd",44,73,28,70,4,4,424,137,32.3,0.09,0.28,17.8,14,746,566,180,67,43,24
"Newcastle Utd",62,46,41,100,5,4,567,183,32.3,0.1,0.3,17.7,17,1031,776,255,108,84,24
"Sheffield Utd",63,20,45,105,4,3,539,203,37.7,0.11,0.28,17.5,24,981,701,280,105,66,39
"Southampton",68,47,44,111,9,8,419,169,40.3,0.14,0.35,16.7,15,767,533,234,117,80,37
"Tottenham",45,68,24,66,10,10,476,145,30.5,0.07,0.22,17.4,9,889,669,220,76,49,27
"West Brom",76,35,52,125,11,7,588,232,39.5,0.11,0.28,17.7,24,1074,804,270,132,100,32
"West Ham",47,62,34,77,5,3,459,143,31.2,0.09,0.28,18.2,18,826,651,175,77,62,15
"Wolves",52,36,34,83,8,7,434,144,33.2,0.1,0.29,17,18,778,561,217,88,59,29
