"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",49,5,1,6,346
"Aston Villa",71,4,4,8,439
"Brighton",49,6,2,8,428
"Burnley",48,0,0,0,384
"Chelsea",51,3,1,4,433
"Crystal Palace",56,2,1,3,409
"Everton",59,2,0,2,386
"Fulham",67,3,0,3,484
"Leeds United",61,1,0,1,432
"Leicester City",61,0,0,0,413
"Liverpool",40,0,0,0,396
"Manchester City",46,2,0,2,361
"Manchester Utd",64,1,0,1,452
"Newcastle Utd",65,3,2,5,388
"Sheffield Utd",73,3,0,3,459
"Southampton",52,3,0,3,428
"Tottenham",57,2,2,4,440
"West Brom",51,4,0,4,404
"West Ham",50,3,1,4,375
"Wolves",55,1,1,2,426
