"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",604,1175,15355,19093,80.4,7194,8000,89.9,1478,2802,52.7,6173,7125,86.6,17471,1569,387,14,111,652,657,166,53,46.2,22816,547,335,61.2,212,38.8
"Aston Villa",726,1549,14251,18381,77.5,6833,7727,88.4,1347,2806,48,5491,6601,83.2,16552,1782,473,16,151,784,735,194,47,51.9,22498,582,321,55.2,261,44.8
"Brighton",587,1302,15268,19240,79.4,7274,8189,88.8,1385,2707,51.2,6040,7081,85.3,17411,1775,459,16,102,625,752,165,54,48.7,23200,603,351,58.2,253,42
"Burnley",884,1665,16991,21670,78.4,8139,9265,87.8,1580,3182,49.7,6585,7792,84.5,19780,1811,443,24,162,801,796,237,79,58.3,25555,565,335,59.3,226,40
"Chelsea",497,1062,12794,16703,76.6,5957,6857,86.9,1311,2614,50.2,5039,6036,83.5,14805,1844,485,15,101,533,821,160,54,38.6,20757,570,339,59.5,231,40.5
"Crystal Palace",666,1807,19019,23089,82.4,8788,9789,89.8,1917,3121,61.4,7498,8536,87.8,21282,1761,440,19,246,795,815,230,46,59.9,27169,620,337,54.4,283,45.6
"Everton",794,1664,17667,21555,82,8437,9335,90.4,1488,2758,54,7182,8211,87.5,19747,1766,423,28,136,746,794,226,42,53.5,25600,664,398,59.9,266,40.1
"Fulham",559,1327,15762,20041,78.6,6859,7867,87.2,1645,3103,53,6751,7825,86.3,18089,1849,485,26,116,693,829,192,103,50.1,24187,581,327,56.3,254,43.7
"Leeds United",720,1201,11293,15291,73.9,5672,6628,85.6,1131,2498,45.3,3968,4993,79.5,13322,1916,478,20,57,613,807,211,53,42.4,19786,769,459,59.7,311,40.4
"Leicester City",567,1254,13803,17998,76.7,6134,7146,85.8,1440,2807,51.3,5785,6853,84.4,16109,1817,458,26,148,647,831,181,72,45.4,22044,676,381,56.4,295,43.6
"Liverpool",539,972,11888,15987,74.4,5448,6343,85.9,1470,2956,49.7,4442,5433,81.8,14279,1613,431,41,125,531,613,122,95,37.6,20453,543,323,59.5,220,40.5
"Manchester City",537,850,12270,15654,78.4,5835,6612,88.2,1198,2471,48.5,4783,5559,86,14096,1491,391,14,97,426,532,111,67,36.1,19457,576,342,59.4,231,40.1
"Manchester Utd",573,1229,14217,18081,78.6,6334,7157,88.5,1350,2750,49.1,6059,6998,86.6,16354,1667,504,18,121,617,648,162,60,44.2,22325,578,341,59,237,41
"Newcastle Utd",851,1771,19529,23488,83.1,9151,10102,90.6,1779,3027,58.8,7970,9045,88.1,21775,1643,420,19,136,844,723,226,70,61.8,27300,548,340,62,207,37.8
"Sheffield Utd",828,1606,18988,23109,82.2,8549,9548,89.5,1931,3231,59.8,7891,8978,87.9,21188,1864,502,24,163,718,841,243,57,58.5,26977,720,426,59.2,294,40.8
"Southampton",555,1407,13758,18167,75.7,6165,7308,84.4,1460,2755,53,5661,6801,83.2,16217,1861,465,25,120,667,873,196,89,47.8,22361,731,390,53.4,341,46.6
"Tottenham",723,1514,15362,19385,79.2,7308,8243,88.7,1461,2785,52.5,6007,7044,85.3,17666,1643,463,11,109,754,656,201,76,48.3,23499,683,406,59.4,277,40.6
"West Brom",931,1802,18892,23277,81.2,9018,10152,88.8,1599,2948,54.2,7663,8828,86.8,21362,1855,441,32,138,841,822,266,60,62.4,27177,656,385,58.7,271,41.3
"West Ham",826,1698,18302,22463,81.5,8776,9741,90.1,1485,2815,52.8,7354,8481,86.7,20785,1619,425,34,114,740,670,182,59,57.1,26356,573,349,60.9,224,39.1
"Wolves",698,1574,16265,19966,81.5,7713,8610,89.6,1534,2713,56.5,6476,7483,86.5,18258,1643,434,28,148,736,676,185,65,50.7,23862,611,334,54.7,277,45.3
