"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",3,39,93,71.3,12,31.6,1,33.3
"Aston Villa",1,46,133,78,15,39.5,1,16.7
"Brighton",2,46,81,68,12,31.6,0,0
"Burnley",3,55,125,70.9,11,28.9,0,0
"Chelsea",3,36,71,69.2,18,47.4,1,25
"Crystal Palace",2,66,107,63.8,8,21.1,1,25
"Everton",3,48,114,72,12,31.6,0,0
"Fulham",2,53,118,72.9,9,23.7,0,0
"Leeds United",2,54,145,76.8,12,31.6,1,11.1
"Leicester City",1,50,88,66.2,11,28.9,0,0
"Liverpool",3,42,97,72.9,12,31.6,1,20
"Manchester City",3,32,67,76,19,50,2,20
"Manchester Utd",2,44,98,71.6,13,34.2,0,0
"Newcastle Utd",2,62,128,69.1,7,18.4,1,20
"Sheffield Utd",1,63,145,70.9,5,13.2,0,0
"Southampton",2,68,110,66.3,9,23.7,1,11.1
"Tottenham",1,45,113,77.4,12,31.6,0,0
"West Brom",2,76,166,71.3,6,15.8,1,12.5
"West Ham",2,47,103,70.1,11,28.9,1,25
"Wolves",2,52,102,70.4,10,26.3,1,12.5
