"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",499,285,57.1142284569138,535,535,44.7,391,129,262,369,752,16
"Aston Villa",563,322,57.1936056838366,595,595,38,377,145,232,355,804,18
"Brighton",528,316,59.8484848484849,572,572,38.8,417,154,263,456,717,15
"Burnley",447,261,58.3892617449664,397,397,41.1,300,87,213,308,811,12
"Chelsea",584,313,53.5958904109589,657,657,45.4,464,153,311,430,761,16
"Crystal Palace",682,400,58.6510263929619,645,645,43.4,397,97,300,378,597,11
"Everton",573,314,54.7993019197208,591,591,38.7,398,99,299,357,655,9
"Fulham",682,373,54.692082111437,795,795,36.4,426,121,305,404,729,16
"Leeds United",564,318,56.3829787234043,563,563,43.5,448,126,322,426,812,14
"Leicester City",609,350,57.4712643678161,645,645,44.5,450,140,310,449,679,15
"Liverpool",675,343,50.8148148148148,695,695,41.4,469,172,297,456,1057,27
"Manchester City",647,358,55.3323029366306,772,772,37.2,451,168,283,405,713,28
"Manchester Utd",656,369,56.25,711,711,41.6,511,149,362,478,724,11
"Newcastle Utd",534,276,51.685393258427,587,587,40.4,387,115,272,372,632,9
"Sheffield Utd",529,301,56.8998109640832,475,475,43.4,353,91,262,296,690,9
"Southampton",644,355,55.1242236024845,601,601,42.9,399,98,301,428,680,14
"Tottenham",646,381,58.9783281733746,715,715,43.6,433,107,326,429,615,15
"West Brom",554,328,59.2057761732852,505,505,47.7,296,75,221,328,672,13
"West Ham",562,328,58.3629893238434,542,542,45,405,116,289,364,710,9
"Wolves",620,339,54.6774193548387,779,779,39.9,387,129,258,345,706,15
