"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",456,252,55.2631578947368,547,547,38.8,368,113,255,351,643,16
"Aston Villa",530,282,53.2075471698113,571,571,43.8,438,159,279,387,783,17
"Brighton",628,334,53.1847133757962,603,603,41.8,417,97,320,425,604,8
"Burnley",507,293,57.7909270216963,564,564,40.6,440,180,260,416,824,11
"Chelsea",612,341,55.718954248366,570,570,40.5,420,83,337,382,661,16
"Crystal Palace",636,366,57.5471698113208,620,620,45.6,447,138,309,396,774,13
"Everton",640,381,59.53125,664,664,40.1,458,157,301,392,847,19
"Fulham",601,329,54.7420965058236,581,581,43.7,356,95,261,437,794,13
"Leeds United",740,417,56.3513513513514,769,769,40.3,406,149,257,397,646,26
"Leicester City",681,403,59.1776798825257,676,676,43.6,386,90,296,438,685,9
"Liverpool",526,303,57.6045627376426,543,543,40.5,338,58,280,347,563,20
"Manchester City",498,271,54.4176706827309,576,576,40.6,310,82,228,319,453,11
"Manchester Utd",551,311,56.442831215971,572,572,40.4,418,116,302,386,634,20
"Newcastle Utd",512,268,52.34375,547,547,37.8,423,160,263,362,908,10
"Sheffield Utd",634,356,56.1514195583596,720,720,40.8,442,152,290,351,839,19
"Southampton",727,419,57.6341127922971,731,731,46.6,439,95,344,401,681,10
"Tottenham",636,361,56.7610062893082,683,683,40.6,434,147,287,342,795,15
"West Brom",581,328,56.4543889845095,656,656,41.3,455,159,296,435,876,13
"West Ham",514,280,54.4747081712062,573,573,39.1,405,124,281,437,779,11
"Wolves",588,335,56.9727891156463,611,611,45.3,359,117,242,432,727,15
