"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",74,2,1,3,421
"Aston Villa",73,7,2,9,568
"Brighton",51,2,0,2,376
"Burnley",32,2,0,2,403
"Chelsea",56,3,1,4,377
"Crystal Palace",44,4,1,5,455
"Everton",66,1,0,1,409
"Fulham",40,1,0,1,387
"Leeds United",49,2,1,3,432
"Leicester City",61,1,0,1,439
"Liverpool",56,2,0,2,343
"Manchester City",61,2,1,3,390
"Manchester Utd",64,3,1,4,412
"Newcastle Utd",60,3,1,4,432
"Sheffield Utd",39,1,1,2,304
"Southampton",58,3,2,5,438
"Tottenham",77,1,0,1,495
"West Brom",50,1,1,2,431
"West Ham",52,1,1,2,366
"Wolves",62,6,1,7,405
