"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",36,65,69.6,13,34.2,2,28.6
"Athletic Club",46,89,68.4,12,31.6,1,20
"Atlético Madrid",67,118,66.3,7,18.4,1,16.7
"Barcelona",85,155,66,3,7.9,3,42.9
"Betis",50,103,73.1,9,23.7,3,27.3
"Cádiz",36,68,68.3,13,34.2,0,0
"Celta Vigo",55,85,65.7,10,26.3,0,0
"Eibar",29,102,81.5,14,36.8,4,50
"Elche",34,55,63.6,13,34.2,0,0
"Getafe",28,73,75.5,21,55.3,2,40
"Granada",47,77,64.8,8,21.1,1,25
"Huesca",34,100,76.7,16,42.1,0,0
"Levante",46,83,67.2,11,28.9,3,50
"Osasuna",37,83,73.3,15,39.5,1,16.7
"Real Madrid",67,106,62.4,5,13.2,0,0
"Real Sociedad",59,90,66.7,6,15.8,2,18.2
"Sevilla",53,89,66.9,7,18.4,1,14.3
"Valencia",50,89,69.6,9,23.7,1,11.1
"Valladolid",34,83,77.1,14,36.8,1,12.5
"Villarreal",60,101,69.8,7,18.4,1,7.7
