"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",30,404,938,10216,14388,71,4463,5484,81.4,1482,2923,50.7,4016,5139,78.1,12378,1937,595,11,144,645,800,142,73,42.8,18193,467,254,54.4,214,45.8
"Athletic Club",27,685,1496,13578,17842,76.1,5873,6901,85.1,1792,3120,57.4,5483,6607,83,15738,2027,561,13,200,812,920,197,77,49.9,21410,501,304,60.7,197,39.3
"Atlético Madrid",25,694,1604,16757,20680,81,8278,9219,89.8,1653,2869,57.6,5931,6995,84.8,18818,1766,480,46,171,597,734,196,96,52.3,24561,588,374,63.6,214,36.4
"Barcelona",25,972,2157,25192,28488,88.4,13304,14257,93.3,1599,2287,69.9,9056,9893,91.5,26712,1686,536,58,108,494,644,217,90,65.5,31975,770,513,66.6,257,33.4
"Betis",25,694,1441,15814,19679,80.4,7403,8309,89.1,1672,3002,55.7,6096,7037,86.6,17720,1894,598,18,163,586,774,184,65,53.6,23649,638,420,65.8,218,34.2
"Cádiz",34,455,854,7949,12067,65.9,3244,4091,79.3,1319,2992,44.1,3064,4071,75.3,10091,1920,587,15,134,731,739,149,56,34.8,15979,513,321,62.6,192,37.4
"Celta Vigo",30,514,1308,15176,19318,78.6,6912,7946,87,1552,2914,53.3,6117,7188,85.1,17402,1851,553,33,145,521,764,125,65,53.3,23271,465,276,59.4,189,40.6
"Eibar",30,507,1295,11810,16890,69.9,4840,5844,82.8,2002,4026,49.7,4584,5965,76.8,14786,2037,511,5,243,1052,991,197,67,49.3,20828,519,320,61.7,199,38.3
"Elche",30,500,927,13481,17054,79,6028,6753,89.3,1652,3000,55.1,5307,6190,85.7,15168,1835,537,8,167,672,715,137,51,47.5,20849,618,365,59.1,253,40.9
"Getafe",31,443,1090,8977,13863,64.8,4043,5155,78.4,1417,3219,44,3111,4340,71.7,11734,2055,596,7,210,815,973,143,74,43.3,17678,483,263,54.5,220,45.5
"Granada",34,411,975,9083,13336,68.1,3915,4776,82,1288,2951,43.6,3574,4629,77.2,11332,1922,506,17,115,613,870,128,82,41.4,17155,516,312,60.5,204,39.5
"Huesca",27,618,1185,13507,17480,77.3,5692,6487,87.7,1679,3199,52.5,5785,6818,84.8,15449,1930,598,9,197,824,788,156,101,48.3,21269,654,426,65.1,228,34.9
"Levante",29,619,1537,14190,18116,78.3,6356,7202,88.3,1694,3076,55.1,5760,6804,84.7,16222,1825,509,23,178,697,767,173,69,52.2,21884,615,366,59.5,248,40.3
"Osasuna",28,345,1220,10233,15031,68.1,4401,5541,79.4,1649,3329,49.5,3869,5149,75.1,13118,1846,510,6,194,700,831,117,67,43.2,18965,441,245,55.6,195,44.2
"Real Madrid",30,963,1920,20652,24119,85.6,9790,10620,92.2,2214,3224,68.7,7728,8593,89.9,22248,1785,501,32,351,771,759,224,86,59.3,27856,646,429,66.4,216,33.4
"Real Sociedad",30,626,1554,14915,18995,78.5,6592,7589,86.9,1582,2840,55.7,6282,7368,85.3,17052,1857,545,40,103,712,823,196,86,54.9,22622,550,330,60,220,40
"Sevilla",26,691,1627,19248,22873,84.2,8654,9471,91.4,2190,3442,63.6,7775,8720,89.2,21025,1779,516,27,384,731,797,167,69,60.9,26484,599,392,65.4,207,34.6
"Valencia",30,575,1180,12755,16480,77.4,5332,6142,86.8,1735,3073,56.5,5304,6236,85.1,14548,1842,584,22,218,613,666,163,90,46.9,20238,553,341,61.7,212,38.3
"Valladolid",32,564,1101,11145,15385,72.4,4972,5863,84.8,1489,3187,46.7,4299,5283,81.4,13372,1938,571,20,193,744,796,145,75,45.2,19403,504,291,57.7,214,42.5
"Villarreal",29,737,1628,17508,21129,82.9,8074,8963,90.1,1788,2857,62.6,7097,8015,88.5,19245,1796,539,47,178,579,711,160,88,55.2,24816,692,437,63.2,255,36.8
