"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",469,279,59.4882729211087,467,467,45.6,309,89,220,342,623,12
"Athletic Club",532,302,56.7669172932331,501,501,39.3,396,94,302,484,772,6
"Atlético Madrid",556,315,56.6546762589928,588,588,36.4,359,88,271,454,674,9
"Barcelona",598,320,53.5117056856187,770,770,33.4,440,133,307,517,639,8
"Betis",585,335,57.2649572649573,638,638,34.2,407,129,278,367,611,12
"Cádiz",486,300,61.7283950617284,513,513,37.4,244,41,203,302,660,10
"Celta Vigo",468,288,61.5384615384615,465,465,40.6,344,76,268,489,522,6
"Eibar",519,319,61.4643545279383,519,519,38.3,359,98,261,406,933,7
"Elche",598,347,58.0267558528428,618,618,40.9,327,57,270,405,586,8
"Getafe",574,313,54.5296167247387,483,483,45.5,352,88,264,390,838,3
"Granada",550,313,56.9090909090909,516,516,39.5,363,78,285,359,613,9
"Huesca",533,309,57.9737335834897,654,654,34.9,325,80,245,323,773,14
"Levante",575,335,58.2608695652174,615,615,40.5,375,76,299,434,638,8
"Osasuna",505,309,61.1881188118812,440,440,44.3,312,79,233,338,694,7
"Real Madrid",531,295,55.5555555555556,645,645,33.5,418,133,285,380,707,16
"Real Sociedad",531,311,58.5687382297552,550,550,40,413,104,309,379,710,16
"Sevilla",516,306,59.3023255813954,599,599,34.6,325,87,238,407,635,13
"Valencia",480,295,61.4583333333333,553,553,38.3,332,93,239,391,540,9
"Valladolid",541,314,58.0406654343808,504,504,42.3,311,74,237,368,701,12
"Villarreal",591,324,54.8223350253807,692,692,36.8,394,94,300,416,617,12
