"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",57,36,44,101,3,3,395,139,35.2,0.14,0.39,17.1,16,706,515,191,102,76,26
"Athletic Club",42,46,29,70,6,5,370,105,28.4,0.1,0.34,18.8,15,671,499,172,74,50,24
"Atlético Madrid",25,67,15,37,4,1,357,119,33.3,0.06,0.18,18.6,14,634,454,180,38,30,8
"Barcelona",38,85,20,56,5,5,323,125,38.7,0.1,0.25,17.4,14,564,405,159,61,38,23
"Betis",50,50,31,78,10,8,356,126,35.4,0.11,0.31,17.7,17,640,449,191,80,59,21
"Cádiz",58,36,41,98,10,9,439,140,31.9,0.11,0.34,18,19,803,603,200,101,74,27
"Celta Vigo",57,55,37,93,8,7,406,130,32,0.12,0.38,17.9,23,715,486,229,93,63,30
"Eibar",52,29,40,92,5,3,345,131,38,0.14,0.37,17.2,12,598,425,173,91,72,19
"Elche",55,34,43,97,10,6,464,154,33.2,0.1,0.31,17.7,20,849,624,225,98,70,28
"Getafe",43,28,26,66,8,7,312,103,33,0.11,0.32,18.4,13,550,381,169,67,47,20
"Granada",65,47,41,105,12,6,468,159,34,0.12,0.36,17.4,15,844,604,240,109,80,29
"Huesca",53,34,37,88,5,5,416,144,34.6,0.11,0.32,17.8,22,757,528,229,87,56,31
"Levante",57,46,42,97,4,3,459,160,34.9,0.11,0.33,17,17,804,574,230,94,69,25
"Osasuna",48,37,31,77,8,5,421,135,32.1,0.1,0.3,18.1,18,787,623,164,84,63,21
"Real Madrid",28,67,17,44,8,7,349,108,30.9,0.06,0.19,18.4,16,618,465,153,44,28,16
"Real Sociedad",38,59,24,61,5,3,332,101,30.4,0.1,0.34,17.4,16,583,401,182,63,42,21
"Sevilla",33,53,20,51,6,4,344,114,33.1,0.08,0.24,19,15,599,411,188,51,33,18
"Valencia",53,50,29,80,8,5,539,167,31,0.09,0.28,17.8,27,959,688,271,80,50,30
"Valladolid",57,34,44,101,7,6,465,155,33.3,0.11,0.33,17.8,23,815,584,231,94,65,29
"Villarreal",44,60,25,67,9,7,400,118,29.5,0.09,0.3,18.4,17,696,520,176,67,41,26
