"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",2,57,85,62,9,23.7,0,0
"Athletic Club",2,42,69,66.7,9,23.7,1,16.7
"Atlético Madrid",1,25,98,80.3,18,47.4,2,66.7
"Barcelona",2,38,94,74.6,14,36.8,0,0
"Betis",2,50,87,69.1,13,34.2,2,20
"Cádiz",3,58,91,67.3,10,26.3,1,10
"Celta Vigo",2,57,81,63.8,9,23.7,1,12.5
"Eibar",2,52,82,63.7,9,23.7,1,25
"Elche",2,55,106,69.9,7,18.4,3,33.3
"Getafe",2,43,70,67.6,14,36.8,1,12.5
"Granada",3,65,101,65.3,9,23.7,5,45.5
"Huesca",2,53,98,67.8,9,23.7,0,0
"Levante",3,57,108,66.9,4,10.5,0,0
"Osasuna",3,48,94,69.7,11,28.9,2,28.6
"Real Madrid",1,28,88,81.9,17,44.7,1,12.5
"Real Sociedad",1,38,67,66.7,14,36.8,1,25
"Sevilla",2,33,87,75.8,17,44.7,2,33.3
"Valencia",2,53,121,72.6,7,18.4,3,37.5
"Valladolid",2,57,104,68.3,3,7.9,0,0
"Villarreal",2,44,83,70.6,10,26.3,1,12.5
