"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Alavés",80,3,1,4,514
"Athletic Club",80,5,4,9,503
"Atlético Madrid",59,3,0,3,486
"Barcelona",76,6,2,8,546
"Betis",83,2,0,2,507
"Cádiz",87,4,4,8,509
"Celta Vigo",102,6,4,10,529
"Eibar",66,2,1,3,417
"Elche",79,2,1,3,496
"Getafe",106,6,5,11,549
"Granada",104,6,3,9,493
"Huesca",64,2,1,3,554
"Levante",87,7,2,9,430
"Osasuna",65,0,0,0,439
"Real Madrid",87,3,1,4,493
"Real Sociedad",91,6,2,8,495
"Sevilla",109,1,0,1,510
"Valencia",99,5,2,7,560
"Valladolid",96,2,0,2,543
"Villarreal",78,4,2,6,496
