"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",631,1477,15323,19621,78.1,6949,7957,87.3,1777,3255,54.6,6051,7142,84.7,17574,1940,561,22,201,731,865,201,107,57.3,23128,565,368,65.1,197,34.9
"Athletic Club",590,1380,14279,18320,77.9,6619,7505,88.2,1797,3229,55.7,5354,6399,83.7,16391,1846,532,21,242,753,768,157,83,50.2,22248,516,348,67.4,168,32.6
"Atlético Madrid",557,1394,15160,19039,79.6,6763,7647,88.4,1807,3152,57.3,5993,6942,86.3,17189,1820,563,10,211,708,703,160,30,47.6,22889,631,335,53.1,296,46.9
"Barcelona",529,1038,11743,15011,78.2,5511,6256,88.1,1354,2515,53.8,4485,5238,85.6,13448,1515,426,20,141,514,513,140,48,45,18886,522,298,57.1,224,42.9
"Betis",549,1311,13195,17225,76.6,5749,6650,86.5,1594,2970,53.7,5382,6418,83.9,15253,1847,548,36,180,654,788,158,125,46.1,20973,556,345,62.1,210,37.8
"Cádiz",819,1881,18990,23128,82.1,8929,9933,89.9,1736,2988,58.1,7698,8790,87.6,21256,1771,451,31,189,805,809,206,101,65.7,26776,607,360,59.3,247,40.7
"Celta Vigo",578,1249,12833,16949,75.7,5767,6732,85.7,1703,3093,55.1,4864,5911,82.3,14836,2062,658,21,196,741,924,166,51,46.3,20852,694,456,65.7,238,34.3
"Eibar",446,1056,12572,17650,71.2,5489,6648,82.6,1719,3524,48.8,4928,6296,78.3,15366,2156,534,38,175,545,1041,141,128,50.4,21668,519,315,60.7,203,39.1
"Elche",702,1646,15677,19231,81.5,6905,7792,88.6,1700,2817,60.3,6609,7543,87.6,17496,1671,535,28,149,693,692,164,64,52.4,22916,577,367,63.6,210,36.4
"Getafe",454,1195,14007,18783,74.6,6282,7408,84.8,1739,3372,51.6,5491,6728,81.6,16642,2054,674,22,214,566,869,145,87,57.2,22842,619,378,61.1,241,38.9
"Granada",636,1449,15039,19293,78,6817,7821,87.2,1751,3151,55.6,5922,7064,83.8,17232,2008,584,22,208,764,882,185,53,59,23132,468,283,60.5,186,39.7
"Huesca",657,1447,15345,19260,79.7,6856,7746,88.5,1842,3242,56.8,6086,7054,86.3,17254,1932,594,20,182,692,811,161,74,51.7,23060,579,340,58.7,239,41.3
"Levante",625,1298,13050,16963,76.9,5776,6635,87.1,1627,3057,53.2,5181,6171,84,14983,1881,533,22,162,683,790,179,99,47.6,20779,543,335,61.7,209,38.5
"Osasuna",678,1525,15379,20219,76.1,7198,8271,87,1696,3425,49.5,5912,7233,81.7,18086,2037,565,34,198,800,906,176,96,56.9,24102,553,328,59.3,224,40.5
"Real Madrid",545,1157,13187,16672,79.1,6262,7020,89.2,1484,2710,54.8,4926,5792,85,14886,1747,462,21,174,637,677,152,39,40.3,20377,532,340,63.9,192,36.1
"Real Sociedad",436,1011,11867,15816,75,5271,6122,86.1,1613,3088,52.2,4510,5447,82.8,13837,1890,622,18,196,533,756,127,89,44.9,19586,480,280,58.3,200,41.7
"Sevilla",544,1103,11221,14857,75.5,5104,5905,86.4,1428,2771,51.5,4222,5116,82.5,12969,1854,536,16,156,680,723,157,34,55,18445,510,326,63.9,184,36.1
"Valencia",713,1644,15047,18941,79.4,7083,7920,89.4,1694,3074,55.1,5712,6772,84.3,17081,1787,508,21,216,858,731,200,73,53.1,22473,592,394,66.6,198,33.4
"Valladolid",693,1549,14587,18827,77.5,6525,7550,86.4,1826,3220,56.7,5667,6782,83.6,16803,1954,544,21,218,775,861,194,70,54.9,22763,681,434,63.7,247,36.3
"Villarreal",635,1227,13685,17408,78.6,6311,7095,88.9,1561,2877,54.3,5245,6202,84.6,15576,1756,503,13,188,777,753,147,76,44.4,21190,588,349,59.4,239,40.6
