"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",36,57,-21,21,25,-4,15,32,-17,21,56,8,5,339,95,28,0.09,0.32,17.4,12,595,375,220,59,28,31
"Athletic Club",46,42,4,29,19,10,17,23,-6,31,74,5,4,399,128,32.1,0.1,0.3,17.4,15,723,539,184,73,52,21
"Atlético Madrid",67,25,42,41,11,30,26,14,12,54,119,7,5,452,178,39.4,0.13,0.34,17.6,13,796,585,211,120,90,30
"Barcelona",85,38,47,44,20,24,41,18,23,51,131,8,4,575,231,40.2,0.13,0.33,17.1,43,1064,833,231,136,105,31
"Betis",50,50,0,27,21,6,23,29,-6,35,85,11,8,432,145,33.6,0.1,0.29,18.9,16,799,578,221,91,58,33
"Cádiz",36,58,-22,17,30,-13,19,28,-9,16,49,4,4,299,97,32.4,0.1,0.3,17.6,14,517,330,187,53,37,16
"Celta Vigo",55,57,-2,30,30,0,25,27,-2,39,94,7,7,350,133,38,0.14,0.36,17,13,624,460,164,98,69,29
"Eibar",29,52,-23,12,21,-9,17,31,-14,20,49,9,4,443,127,28.7,0.06,0.2,18.1,14,758,503,255,48,30,18
"Elche",34,55,-21,18,23,-5,16,32,-16,25,58,3,2,265,86,32.5,0.12,0.36,16.8,12,460,318,142,54,35,19
"Getafe",28,43,-15,15,13,2,13,30,-17,14,41,5,3,355,97,27.3,0.07,0.25,18.8,24,618,413,205,38,22,16
"Granada",47,65,-18,25,25,0,22,40,-18,30,77,5,3,354,121,34.2,0.12,0.36,19.1,21,592,387,205,69,45,24
"Huesca",34,53,-19,17,21,-4,17,32,-15,23,55,4,3,404,130,32.2,0.07,0.22,18,13,719,517,202,56,41,15
"Levante",46,57,-11,27,30,-3,19,27,-8,35,80,6,3,376,125,33.2,0.11,0.34,18.2,10,671,519,152,80,60,20
"Osasuna",37,48,-11,21,23,-2,16,25,-9,25,61,6,5,368,114,31,0.08,0.27,18.8,7,615,441,174,61,45,16
"Real Madrid",67,28,39,33,13,20,34,15,19,53,117,3,3,544,167,30.7,0.11,0.37,17.7,17,981,745,236,114,89,25
"Real Sociedad",59,38,21,34,21,13,25,17,8,39,97,12,9,417,139,33.3,0.12,0.35,16.5,20,749,532,217,100,72,28
"Sevilla",53,33,20,27,11,16,26,22,4,36,88,7,6,454,135,29.7,0.1,0.34,17.2,15,830,635,195,87,65,22
"Valencia",50,53,-3,34,23,11,16,30,-14,35,83,10,8,383,129,33.7,0.1,0.31,20.1,32,687,482,205,86,58,28
"Valladolid",34,57,-23,19,30,-11,15,27,-12,21,55,8,7,359,110,30.6,0.08,0.25,18.7,25,652,471,181,56,36,20
"Villarreal",60,44,16,29,23,6,31,21,10,33,90,13,12,392,146,37.2,0.11,0.31,17,13,742,576,166,99,69,30
