"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"David Abraham","Eint Frankfurt","ARG","DF",NA,34,5,1,1,2,9
"Amir Abrashi","Freiburg","ALB","MF","DF",30,0,0,0,0,4
"Ragnar Ache","Eint Frankfurt","GER","FW","DF",22,1,0,0,0,5
"Tyler Adams","RB Leipzig","USA","MF","DF",21,3,0,0,0,29
"Sargis Adamyan","Hoffenheim","ARM","FW","MF",27,2,0,0,0,5
"Felix Agu","Werder Bremen","GER","DF",NA,20,0,0,0,0,5
"Naouirou Ahamada","Stuttgart","FRA","MF",NA,18,2,1,0,1,6
"Manuel Akanji","Dortmund","SUI","DF",NA,25,4,0,0,0,22
"Kevin Akpoguma","Hoffenheim","NGA","DF",NA,25,1,0,0,0,15
"David Alaba","Bayern Munich","AUT","DF","MF",28,4,0,0,0,19
"Lucas Alario","Leverkusen","ARG","FW",NA,27,2,0,0,0,17
"Omar Alderete","Hertha BSC","PAR","DF",NA,23,2,0,0,0,22
"Nadiem Amiri","Leverkusen","GER","MF",NA,23,5,0,0,0,21
"Sebastian Andersson","Köln","SWE","FW",NA,29,1,0,0,0,21
"Robert Andrich","Union Berlin","GER","MF",NA,25,5,1,0,1,50
"Angeliño","RB Leipzig","ESP","DF","FW",23,2,0,0,0,22
"Waldemar Anton","Stuttgart","GER","DF",NA,24,3,0,0,0,24
"Charles Aránguiz","Leverkusen","CHI","MF",NA,31,4,0,0,0,31
"Santiago Arias","Leverkusen","COL","DF",NA,28,0,0,0,0,1
"Maximilian Arnold","Wolfsburg","GER","MF",NA,26,7,1,0,1,39
"Tolu Arokodare","Köln","NGA","FW","MF",19,0,0,0,0,1
"Santiago Ascacíbar","Hertha BSC","ARG","MF",NA,23,2,0,0,0,10
"Ludwig Augustinsson","Werder Bremen","SWE","DF","FW",26,4,0,0,0,15
"Taiwo Awoniyi","Union Berlin","NGA","FW",NA,22,0,0,0,0,22
"Mehmet Aydin","Schalke 04","GER","DF",NA,18,0,0,0,0,9
"Leon Bailey","Leverkusen","JAM","FW","MF",22,6,0,0,0,24
"Ridle Baku","Wolfsburg","GER","FW","DF",22,1,0,0,0,33
"Ridle Baku","Mainz 05","GER","DF",NA,22,0,0,0,0,1
"Aymen Barkok","Eint Frankfurt","MAR","MF","DF",22,5,0,0,0,23
"Leandro Barreiro Martins","Mainz 05","LUX","MF",NA,20,5,0,0,0,64
"Jacob Barrett Laursen","Arminia","DEN","DF",NA,25,1,0,0,0,12
"Oliver Baumann","Hoffenheim","GER","GK",NA,30,1,0,0,0,0
"Julian Baumgartlinger","Leverkusen","AUT","MF",NA,32,1,0,0,0,11
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",20,6,0,0,0,70
"Noah Joel Sarenren Bazee","Augsburg","NGA","FW","MF",23,1,0,0,0,2
"Ihlas Bebou","Hoffenheim","TOG","FW","MF",26,3,0,0,0,24
"Sheraldo Becker","Union Berlin","SUR","FW","MF",25,2,0,0,0,21
"Timo Becker","Schalke 04","GER","DF",NA,23,1,0,0,0,9
"Brian Behrendt","Arminia","GER","DF",NA,28,0,0,0,0,1
"Ishak Belfodil","Hoffenheim","ALG","FW","MF",28,0,0,0,0,12
"Stefan Bell","Mainz 05","GER","DF",NA,28,6,0,0,0,27
"Karim Bellarabi","Leverkusen","GER","FW","MF",30,2,0,0,0,23
"Jude Bellingham","Dortmund","ENG","MF",NA,17,6,1,1,2,40
"Lars Bender","Leverkusen","GER","DF",NA,31,2,0,0,0,11
"Sven Bender","Leverkusen","GER","DF",NA,31,1,0,0,0,11
"László Bénes","Augsburg","SVK","MF",NA,22,3,0,0,0,12
"László Bénes","Gladbach","SVK","MF",NA,22,0,0,0,0,0
"Ramy Bensebaini","Gladbach","ALG","DF",NA,25,7,0,0,0,34
"Nabil Bentaleb","Schalke 04","ALG","MF",NA,25,2,0,0,0,11
"Jordan Beyer","Gladbach","GER","DF",NA,20,0,0,0,0,2
"Bartosz Białek","Wolfsburg","POL","FW","MF",18,1,0,0,0,8
"Ermin Bičakčić","Hoffenheim","BIH","DF",NA,30,1,0,0,0,2
"Leonardo Bittencourt","Werder Bremen","GER","MF","FW",26,3,0,0,0,27
"Jérôme Boateng","Bayern Munich","GER","DF",NA,31,6,0,0,0,23
"Jean-Paul Boëtius","Mainz 05","NED","MF","FW",26,5,0,0,0,28
"Melayro Bogarde","Hoffenheim","NED","DF","MF",18,1,0,0,0,5
"Sebastiaan Bornauw","Köln","BEL","DF",NA,21,3,0,0,0,24
"Nassim Boujellab","Schalke 04","MAR","MF","FW",21,2,0,0,0,16
"Dedryck Boyata","Hertha BSC","BEL","DF",NA,29,3,0,0,0,8
"Can Bozdogan","Schalke 04","GER","MF","FW",19,0,0,0,0,7
"Julian Brandt","Dortmund","GER","FW","MF",24,0,0,0,0,6
"Fabian Bredlow","Stuttgart","GER","GK",NA,25,0,0,0,0,0
"Josip Brekalo","Wolfsburg","CRO","FW",NA,22,1,0,0,0,8
"John Brooks","Wolfsburg","USA","DF",NA,27,5,0,0,0,30
"Daniel Brosinski","Mainz 05","GER","DF","FW",32,0,0,0,0,7
"Cédric Brunner","Arminia","SUI","DF",NA,26,6,0,0,0,33
"Jacob Bruun Larsen","Hoffenheim","DEN","MF","FW",21,0,0,0,0,2
"Marius Bülter","Union Berlin","GER","FW","MF",27,1,0,0,0,12
"Jonathan Burkardt","Mainz 05","GER","FW","MF",20,0,0,0,0,26
"Nishan Burkart","Freiburg","SUI","MF",NA,20,0,0,0,0,0
"Roman Bürki","Dortmund","SUI","GK",NA,29,0,0,0,0,0
"Kerim Calhanoglu","Schalke 04","GER","DF",NA,17,0,0,0,0,1
"Daniel Caligiuri","Augsburg","ITA","MF","FW",32,5,0,0,0,35
"Emre Can","Dortmund","GER","DF","MF",26,5,0,0,0,35
"Koen Casteels","Wolfsburg","BEL","GK",NA,28,0,0,0,0,1
"Gonzalo Castro","Stuttgart","GER","MF",NA,33,9,0,0,0,15
"Sava Cestic","Köln","SRB","DF",NA,19,3,0,0,0,15
"Timothy Chandler","Eint Frankfurt","USA","DF",NA,30,2,0,0,0,6
"Kwon Chang-hoon","Freiburg","KOR","MF","FW",26,2,0,0,0,4
"Tahith Chong","Werder Bremen","NED","MF","FW",20,1,0,0,0,13
"Darko Churlinov","Stuttgart","MKD","DF","MF",20,0,0,0,0,3
"Tim Civeja","Augsburg","ALB","MF",NA,18,0,0,0,0,0
"Kingsley Coman","Bayern Munich","FRA","FW","MF",24,1,0,0,0,12
"Jhon Córdoba","Hertha BSC","COL","FW",NA,27,3,0,0,0,37
"Sergio Córdova","Arminia","VEN","FW","MF",22,0,0,0,0,15
"Danny da Costa","Mainz 05","GER","DF","FW",27,2,0,0,0,5
"Danny da Costa","Eint Frankfurt","GER","DF",NA,27,0,0,0,0,2
"Douglas Costa","Bayern Munich","BRA","FW","MF",29,0,0,0,0,7
"Tanguy Coulibaly","Stuttgart","FRA","DF","FW",19,2,0,0,0,32
"Matheus Cunha","Hertha BSC","BRA","FW","MF",21,9,0,0,0,46
"Rafael Czichos","Köln","GER","DF",NA,30,7,0,0,0,26
"Moanes Dabbur","Hoffenheim","ISR","FW","MF",28,2,0,0,0,19
"Finn Dahmen","Mainz 05","GER","GK",NA,22,0,0,0,0,0
"Mahmoud Dahoud","Dortmund","GER","MF",NA,24,2,0,0,0,27
"Leon Dajaku","Union Berlin","GER","FW",NA,19,0,0,0,0,0
"Tiago Dantas","Bayern Munich","POR","MF",NA,19,0,0,0,0,0
"Márton Dárdai","Hertha BSC","HUN","DF","MF",18,0,0,0,0,10
"Vladimír Darida","Hertha BSC","CZE","MF",NA,29,5,1,0,1,27
"Alphonso Davies","Bayern Munich","CAN","DF",NA,19,2,1,0,1,14
"Thomas Delaney","Dortmund","DEN","MF",NA,28,6,0,0,0,36
"Kerem Demirbay","Leverkusen","GER","MF",NA,27,2,0,0,0,44
"Ermedin Demirović","Freiburg","BIH","FW",NA,22,7,0,0,0,44
"Emmanuel Dennis","Köln","NGA","FW",NA,22,0,0,0,0,15
"Mike van der Hoorn","Arminia","NED","DF",NA,27,3,0,0,0,11
"Moussa Diaby","Leverkusen","FRA","FW","MF",21,5,0,0,0,25
"Daniel Didavi","Stuttgart","GER","MF","FW",30,2,0,0,0,16
"Javairô Dilrosun","Hertha BSC","NED","FW","MF",22,0,0,0,0,7
"Eren Dinkçi","Werder Bremen","GER","MF","FW",18,0,1,0,1,1
"Ritsu Doan","Arminia","JPN","MF","FW",22,1,0,0,0,30
"Ji Dong-won","Mainz 05","KOR","FW",NA,29,1,0,0,0,3
"Bas Dost","Eint Frankfurt","NED","FW",NA,31,3,0,0,0,16
"Aleksandar Dragović","Leverkusen","AUT","DF",NA,29,3,0,0,0,12
"Dominick Drexler","Köln","GER","MF","FW",30,1,0,0,0,20
"Ondrej Duda","Köln","SVK","FW","MF",25,8,1,1,2,54
"Erik Durm","Eint Frankfurt","GER","DF",NA,28,1,0,0,0,9
"Maximilian Eggestein","Werder Bremen","GER","MF",NA,23,5,0,0,0,31
"Lilian Egloff","Stuttgart","GER","MF",NA,17,0,0,0,0,0
"Kingsley Ehizibue","Köln","NED","DF",NA,25,5,0,0,0,19
"Nico Elvedi","Gladbach","SUI","DF",NA,23,1,0,0,0,13
"Breel Embolo","Gladbach","SUI","FW","MF",23,4,0,0,0,34
"Keita Endo","Union Berlin","JPN","MF","FW",22,0,0,0,0,9
"Wataru Endo","Stuttgart","JPN","MF",NA,27,5,0,0,0,45
"Patrick Erras","Werder Bremen","GER","FW","MF",25,0,0,0,0,0
"Ralf Fährmann","Schalke 04","GER","GK",NA,31,2,0,0,0,0
"Ohis Felix Uduokhai","Augsburg","GER","DF",NA,22,5,0,0,0,23
"Edimilson Fernandes","Mainz 05","SUI","MF","FW",24,1,0,0,0,7
"Alfreð Finnbogason","Augsburg","ISL","FW",NA,31,0,0,0,0,10
"Florian Flick","Schalke 04","GER","MF",NA,20,1,0,0,0,4
"Emil Forsberg","RB Leipzig","SWE","FW","MF",28,0,0,0,0,15
"Philipp Förster","Stuttgart","GER","MF",NA,25,4,0,0,0,25
"Timothy Fosu-Mensah","Leverkusen","NED","DF",NA,22,2,0,0,0,5
"Raphael Framberger","Augsburg","GER","DF",NA,24,6,1,1,2,13
"Marco Friedl","Werder Bremen","AUT","DF",NA,22,6,0,0,0,31
"Marvin Friedrich","Union Berlin","GER","DF",NA,24,1,0,0,0,25
"Jeremie Frimpong","Leverkusen","NED","DF","FW",19,1,0,0,0,8
"Niclas Füllkrug","Werder Bremen","GER","FW",NA,27,1,0,0,0,15
"Mijat Gaćinović","Hoffenheim","SRB","DF","MF",25,5,0,0,0,13
"Christian Gebauer","Arminia","AUT","MF","FW",26,0,0,0,0,7
"Theodor Gebre Selassie","Werder Bremen","CZE","DF",NA,33,3,0,0,0,26
"Dennis Geiger","Hoffenheim","GER","MF",NA,22,4,1,0,1,15
"Christian Gentner","Union Berlin","GER","MF",NA,34,0,0,0,0,8
"Yannick Gerhardt","Wolfsburg","GER","MF","FW",26,3,0,0,0,36
"Hamadi Al Ghaddioui","Stuttgart","MAR","FW",NA,29,0,0,0,0,1
"Niko Gießelmann","Union Berlin","GER","DF",NA,28,3,0,0,0,4
"Rafał Gikiewicz","Augsburg","POL","GK",NA,32,3,0,0,0,0
"Daniel Ginczek","Wolfsburg","GER","FW","MF",29,0,0,0,0,2
"Matthias Ginter","Gladbach","GER","DF",NA,26,2,0,0,0,9
"Robert Glatzel","Mainz 05","GER","FW",NA,26,0,0,0,0,15
"Serge Gnabry","Bayern Munich","GER","FW","MF",25,4,0,0,0,21
"Akaki Gogia","Union Berlin","GER","FW","MF",28,1,0,0,0,6
"Nicolás González","Stuttgart","ARG","FW","MF",22,5,0,0,0,13
"Leon Goretzka","Bayern Munich","GER","MF",NA,25,2,0,0,0,26
"Jeffrey Gouweleeuw","Augsburg","NED","DF",NA,29,9,0,0,0,26
"Demarai Gray","Leverkusen","JAM","FW",NA,24,0,0,0,0,4
"Michael Gregoritsch","Augsburg","AUT","FW","MF",26,1,0,0,0,12
"Sebastian Griesbeck","Union Berlin","GER","MF",NA,29,3,0,0,0,16
"Vincenzo Grifo","Freiburg","ITA","MF","FW",27,2,0,0,0,11
"Florian Grillitsch","Hoffenheim","AUT","MF","DF",24,6,1,1,2,30
"Christian Groß","Werder Bremen","GER","MF","DF",31,8,1,1,2,25
"Carlos Gruezo","Augsburg","ECU","MF",NA,25,4,0,0,0,35
"Mattéo Guendouzi","Hertha BSC","FRA","MF",NA,21,5,0,0,0,23
"Raphaël Guerreiro","Dortmund","POR","DF",NA,26,1,0,0,0,10
"Josuha Guilavogui","Wolfsburg","FRA","MF","DF",29,3,0,0,0,16
"Péter Gulácsi","RB Leipzig","HUN","GK",NA,30,0,0,0,0,0
"Manuel Gulde","Freiburg","GER","DF",NA,29,3,0,0,0,17
"Robert Gumny","Augsburg","POL","DF",NA,22,4,0,0,0,21
"Christian Günter","Freiburg","GER","DF","MF",27,2,0,0,0,31
"Erling Haaland","Dortmund","NOR","FW",NA,20,2,0,0,0,20
"Janik Haberer","Freiburg","GER","MF","FW",26,0,0,0,0,16
"Alexander Hack","Mainz 05","GER","DF",NA,26,2,0,0,0,14
"André Hahn","Augsburg","GER","FW","MF",29,4,0,0,0,33
"Amadou Haidara","RB Leipzig","MLI","MF","FW",22,4,0,0,0,23
"Marcel Halstenberg","RB Leipzig","GER","DF",NA,28,2,0,0,0,17
"Amine Harit","Schalke 04","MAR","MF","FW",23,4,0,0,0,28
"Marcel Hartel","Arminia","GER","MF",NA,24,1,0,0,0,5
"Makoto Hasebe","Eint Frankfurt","JPN","DF","MF",36,5,0,0,0,22
