"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",2,47,63,62.5,11,28.9,3,37.5
"Benevento",2,75,107,59.9,7,18.4,1,20
"Bologna",3,65,128,69.9,5,13.2,2,22.2
"Cagliari",2,59,144,73.4,7,18.4,0,0
"Crotone",3,92,126,59.7,3,7.9,0,0
"Fiorentina",2,59,92,66.4,9,23.7,3,27.3
"Genoa",3,58,132,72.9,9,23.7,0,0
"Hellas Verona",3,48,99,71,7,18.4,0,0
"Inter",3,35,82,74.6,14,36.8,2,28.6
"Juventus",3,38,82,73.6,8,21.1,3,33.3
"Lazio",2,55,98,70.2,12,31.6,0,0
"Milan",2,41,92,71.4,14,36.8,1,25
"Napoli",2,41,83,70.7,14,36.8,0,0
"Parma",2,83,111,58.1,5,13.2,0,0
"Roma",3,55,114,70.1,11,28.9,1,16.7
"Sampdoria",2,54,119,73,7,18.4,2,22.2
"Sassuolo",2,56,130,72,8,21.1,1,20
"Spezia",3,72,105,64.6,5,13.2,1,10
"Torino",3,69,88,61.8,8,21.1,0,0
"Udinese",4,58,101,72.3,8,21.1,0,0
