"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",90,47,43,49,24,25,41,23,18,65,155,7,6,614,221,36,0.14,0.38,16.6,28,1115,866,249,162,127,35
"Benevento",40,75,-35,19,39,-20,21,36,-15,26,66,7,5,411,128,31.1,0.09,0.27,17.7,17,686,486,200,66,43,23
"Bologna",51,65,-14,33,33,0,18,32,-14,38,87,4,3,495,175,35.4,0.09,0.26,18.5,24,862,629,233,83,62,21
"Cagliari",43,59,-16,22,32,-10,21,27,-6,30,73,5,4,429,122,28.4,0.09,0.32,17.4,13,730,521,209,75,52,23
"Crotone",45,92,-47,23,35,-12,22,57,-35,27,71,9,9,353,111,31.4,0.1,0.32,18.8,15,623,433,190,75,44,31
"Fiorentina",47,59,-12,25,25,0,22,34,-12,31,75,6,6,366,115,31.4,0.1,0.33,16.9,14,655,472,183,77,53,24
"Genoa",47,58,-11,29,30,-1,18,28,-10,32,78,4,4,338,120,35.5,0.12,0.35,18,11,585,439,146,73,55,18
"Hellas Verona",46,48,-2,23,23,0,23,25,-2,30,68,3,3,400,118,29.5,0.09,0.3,16.2,13,682,485,197,71,54,17
"Inter",89,35,54,53,18,35,36,17,19,62,146,9,8,543,194,35.7,0.14,0.39,16.3,17,985,754,231,150,114,36
"Juventus",77,38,39,40,18,22,37,20,17,59,135,10,8,585,206,35.2,0.12,0.33,16.8,23,1061,777,284,134,94,40
"Lazio",61,55,6,36,23,13,25,32,-7,40,99,10,6,514,175,34,0.1,0.3,17.3,14,937,733,204,103,75,28
"Milan",74,41,33,31,24,7,43,17,26,47,119,20,15,537,184,34.3,0.11,0.31,18.4,30,983,684,299,129,85,44
"Napoli",86,41,45,50,20,30,36,21,15,56,139,8,7,637,217,34.1,0.12,0.35,18.1,25,1119,834,285,142,90,52
"Parma",39,83,-44,16,39,-23,23,44,-21,26,65,5,5,392,123,31.4,0.09,0.28,18.1,20,696,495,201,70,51,19
"Roma",68,58,10,42,18,24,26,40,-14,51,118,8,7,537,191,35.6,0.11,0.31,16.4,14,911,663,248,121,90,31
"Sampdoria",52,54,-2,32,26,6,20,28,-8,37,89,6,5,422,134,31.8,0.11,0.35,17.5,15,717,503,214,85,57,28
"Sassuolo",64,56,8,31,27,4,33,29,4,36,97,14,13,516,164,31.8,0.09,0.29,18.7,25,951,705,246,109,71,38
"Spezia",52,72,-20,28,33,-5,24,39,-15,37,89,5,4,382,130,34,0.13,0.37,16.8,10,664,488,176,88,57,31
"Torino",50,69,-19,25,36,-11,25,33,-8,28,77,6,5,457,144,31.5,0.1,0.31,17.5,40,794,503,291,80,45,35
"Udinese",42,58,-16,14,19,-5,28,39,-11,30,70,4,4,410,125,30.5,0.09,0.29,18.1,13,706,509,197,67,45,22
