"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Atalanta",90,137,63.2,5,13.2,1,14.3
"Benevento",40,93,73.9,11,28.9,1,16.7
"Bologna",51,129,73.2,11,28.9,1,25
"Cagliari",43,83,69.3,14,36.8,1,20
"Crotone",45,76,70,14,36.8,0,0
"Fiorentina",47,77,66.1,12,31.6,0,0
"Genoa",47,78,65.3,9,23.7,0,0
"Hellas Verona",43,83,66.9,9,23.7,0,0
"Inter",89,118,60.1,1,2.6,1,11.1
"Juventus",77,138,68.1,6,15.8,2,20
"Lazio",61,122,70.1,6,15.8,3,33.3
"Milan",74,127,70.9,6,15.8,4,21.1
"Napoli",86,141,64.9,3,7.9,1,12.5
"Parma",39,89,73.4,15,39.5,0,0
"Roma",68,131,69.3,9,23.7,1,12.5
"Sampdoria",52,87,66.4,8,21.1,1,16.7
"Sassuolo",64,116,71.3,4,10.5,1,7.1
"Spezia",52,82,64.4,8,21.1,1,20
"Torino",50,100,70,9,23.7,1,16.7
"Udinese",42,89,70.5,12,31.6,0,0
