"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",549,1038,14274,18377,77.7,6531,7491,87.2,1605,3053,52.6,5707,6754,84.5,16502,1835,609,18,89,460,640,120,40,45.1,22821,591,326,55.2,265,44.8
"Benevento",862,1804,17253,20935,82.4,7571,8475,89.3,1892,2975,63.6,7286,8312,87.7,19091,1750,525,25,214,808,686,230,94,57.7,24758,647,403,62.3,243,37.6
"Bologna",713,1577,13987,18055,77.5,6350,7321,86.7,1502,2841,52.9,5701,6734,84.7,16065,1919,572,27,105,713,753,220,71,49.1,22130,540,329,60.9,209,38.7
"Cagliari",790,1631,17136,20838,82.2,7398,8254,89.6,1968,3174,62,7249,8225,88.1,18879,1876,546,31,210,778,744,219,83,55.4,25040,647,378,58.4,269,41.6
"Crotone",769,1680,16340,20121,81.2,7450,8306,89.7,1856,3072,60.4,6506,7545,86.2,18196,1822,550,31,171,754,708,228,103,53.6,24021,556,331,59.5,224,40.3
"Fiorentina",749,1491,16140,19765,81.7,7197,8103,88.8,1624,2761,58.8,6843,7848,87.2,17944,1727,551,31,111,692,677,169,94,53.8,23781,544,315,57.9,229,42.1
"Genoa",813,1796,18018,22063,81.7,7816,8874,88.1,2064,3228,63.9,7685,8822,87.1,20224,1802,559,21,116,779,740,214,37,60,26112,640,385,60.2,255,39.8
"Hellas Verona",546,1263,13153,17584,74.8,5875,6988,84.1,1582,3092,51.2,5335,6567,81.2,15609,1936,677,16,102,657,732,181,39,50.2,21619,413,240,58.1,173,41.9
"Inter",667,1279,16623,19839,83.8,7618,8362,91.1,1735,2771,62.6,6878,7716,89.1,18237,1570,515,15,166,613,502,137,32,47.6,23488,527,314,59.6,213,40.4
"Juventus",690,1355,14407,17590,81.9,6912,7665,90.2,1512,2503,60.4,5569,6456,86.3,15813,1737,565,12,152,644,607,162,40,42.9,21560,612,369,60.3,243,39.7
"Lazio",715,1325,14738,18534,79.5,6493,7369,88.1,1723,2959,58.2,6147,7163,85.8,16710,1781,559,6,172,628,666,170,43,46.9,22633,678,424,62.5,254,37.5
"Milan",637,1533,14481,18132,79.9,6545,7439,88,1631,2752,59.3,5803,6777,85.6,16208,1880,584,18,198,730,698,202,44,48.1,22287,605,329,54.4,276,45.6
"Napoli",568,1324,14839,18101,82,6066,6827,88.9,1616,2700,59.9,6831,7634,89.5,16370,1659,433,12,135,575,618,146,72,44.8,21891,635,378,59.5,257,40.5
"Parma",933,1757,16664,20320,82,7450,8351,89.2,1694,2789,60.7,7032,8021,87.7,18458,1798,577,27,153,846,681,206,64,52.3,24159,696,426,61.2,269,38.6
"Roma",553,1126,15055,18427,81.7,6811,7582,89.8,1513,2589,58.4,6285,7132,88.1,16687,1618,561,19,119,501,557,146,122,47.5,22202,583,376,64.5,206,35.3
"Sampdoria",732,1638,17299,21424,80.7,8058,9011,89.4,1730,3008,57.5,7011,8126,86.3,19550,1763,538,17,153,756,708,201,111,54.9,25578,634,383,60.4,251,39.6
"Sassuolo",695,1250,12070,15458,78.1,5424,6178,87.8,1482,2634,56.3,4852,5770,84.1,13647,1720,512,15,128,690,645,203,91,40,19524,543,302,55.6,241,44.4
"Spezia",570,1327,14232,18161,78.4,6043,6935,87.1,1607,2969,54.1,6270,7242,86.6,16145,1876,636,31,122,540,770,138,140,47.8,21955,620,352,56.8,265,42.7
"Torino",666,1562,15621,19345,80.7,6803,7719,88.1,1848,3011,61.4,6615,7615,86.9,17471,1799,609,22,158,732,643,181,75,52.8,23433,569,322,56.6,247,43.4
"Udinese",717,1684,16888,20420,82.7,7358,8189,89.9,1952,2977,65.6,7144,8163,87.5,18654,1724,551,16,182,686,630,194,42,53.9,24338,547,338,61.8,209,38.2
