"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",47,90,36,82,8,5,317,104,32.8,0.13,0.39,18.4,14,543,365,178,76,52,24
"Benevento",75,40,52,121,5,4,498,172,34.5,0.13,0.38,17,19,896,663,233,123,89,34
"Bologna",65,51,40,103,9,7,531,184,34.7,0.11,0.3,17.7,21,936,702,234,103,63,40
"Cagliari",59,43,45,104,5,5,550,198,36,0.1,0.27,17,20,972,715,257,107,79,28
"Crotone",92,45,68,158,5,5,588,211,35.9,0.14,0.4,16.8,30,1045,761,284,160,124,36
"Fiorentina",59,47,39,96,11,8,444,141,31.8,0.11,0.35,17.4,21,799,568,231,103,74,29
"Genoa",58,47,40,96,7,7,535,181,33.8,0.09,0.27,17.6,24,949,695,254,96,68,28
"Hellas Verona",48,46,31,77,7,6,530,139,26.2,0.08,0.29,16.7,21,900,637,263,78,51,27
"Inter",35,89,19,53,7,5,379,111,29.3,0.08,0.26,18,14,679,504,175,57,39,18
"Juventus",38,77,21,57,9,6,424,112,26.4,0.07,0.27,20,23,737,545,192,54,36,18
"Lazio",55,61,33,86,10,10,391,141,36.1,0.11,0.3,18,12,706,487,219,97,58,39
"Milan",41,74,26,66,5,3,457,129,28.2,0.08,0.29,17.5,11,803,604,199,67,45,22
"Napoli",41,86,26,66,5,5,387,118,30.5,0.09,0.3,17.3,16,673,469,204,66,45,21
"Parma",83,39,62,142,3,3,525,188,35.8,0.15,0.41,17.3,20,925,691,234,146,97,49
"Roma",58,68,36,88,6,5,391,161,41.2,0.12,0.29,17,22,655,469,186,91,65,26
"Sampdoria",54,52,35,88,9,7,506,165,32.6,0.09,0.28,17.8,21,897,667,230,90,57,33
"Sassuolo",56,64,46,101,5,4,523,181,34.6,0.1,0.28,17,17,930,686,244,102,81,21
"Spezia",72,52,50,122,10,9,415,168,40.5,0.15,0.38,15.6,16,751,537,214,129,87,42
"Torino",69,50,48,117,10,9,496,148,29.8,0.12,0.41,17.3,14,861,635,226,121,94,27
"Udinese",58,42,35,93,14,14,451,145,32.2,0.1,0.3,18.8,25,805,579,226,94,60,34
