"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",67,3,1,4,580
"Benevento",95,5,2,7,496
"Bologna",82,4,2,6,536
"Cagliari",77,3,2,5,516
"Crotone",89,4,2,6,531
"Fiorentina",86,5,0,5,523
"Genoa",87,2,1,3,520
"Hellas Verona",91,1,0,1,622
"Inter",61,2,1,3,472
"Juventus",80,6,2,8,505
"Lazio",107,5,3,8,498
"Milan",83,4,1,5,513
"Napoli",76,3,2,5,386
"Parma",91,1,0,1,525
"Roma",91,3,3,6,553
"Sampdoria",83,3,1,4,509
"Sassuolo",79,4,2,6,494
"Spezia",100,5,4,9,588
"Torino",78,4,3,7,577
"Udinese",65,2,1,3,511
