"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Atalanta",87,4,3,7,504
"Benevento",76,6,1,7,621
"Bologna",84,1,0,1,495
"Cagliari",76,5,3,8,507
"Crotone",90,5,2,7,524
"Fiorentina",81,2,1,3,545
"Genoa",69,1,0,1,502
"Hellas Verona",81,2,1,3,557
"Inter",84,3,1,4,444
"Juventus",85,2,1,3,490
"Lazio",87,3,1,4,454
"Milan",83,4,3,7,502
"Napoli",107,6,3,9,580
"Parma",71,1,0,1,508
"Roma",80,6,5,11,453
"Sampdoria",77,1,0,1,520
"Sassuolo",82,4,1,5,502
"Spezia",83,3,2,5,556
"Torino",101,6,2,8,632
"Udinese",84,4,3,7,559
