"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Inter",1,28,7,3,91,17,11,1,6,1,2,52,39
"Milan",2,24,7,7,79,8,16,6,1,5,2,30,49
"Atalanta",3,23,9,6,78,12,11,3,6,4,2,39,39
"Juventus",4,23,9,6,78,14,9,2,7,3,3,44,34
"Napoli",5,24,5,9,77,12,12,4,1,3,6,40,37
"Lazio",6,21,5,12,68,13,8,3,2,3,9,42,26
"Roma",7,18,8,12,62,13,5,4,4,2,10,43,19
"Sassuolo",8,17,11,10,62,7,10,8,3,4,6,29,33
"Sampdoria",9,15,7,16,52,9,6,3,4,7,9,30,22
"Hellas Verona",10,11,12,15,45,6,5,6,6,7,8,24,21
"Genoa",11,10,12,16,42,5,5,7,5,7,9,22,20
"Bologna",12,10,11,17,41,7,3,5,6,7,10,26,15
"Fiorentina",13,9,13,16,40,6,3,6,7,7,9,24,16
"Udinese",14,10,10,18,40,5,5,4,6,10,8,19,21
"Spezia",15,9,12,17,39,5,4,7,5,7,10,22,17
"Cagliari",16,9,10,19,37,5,4,4,6,10,9,19,18
"Torino",17,7,16,15,37,3,4,9,7,7,8,18,19
"Benevento",18,7,12,19,33,2,5,7,5,10,9,13,20
"Crotone",19,6,5,27,23,5,1,2,3,12,15,17,6
"Parma",20,3,11,24,20,2,1,5,6,12,12,11,9
