"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",606,343,56.6006600660066,591,591,44.8,421,92,329,516,484,11
"Benevento",511,288,56.3600782778865,646,646,37.6,382,123,259,383,746,13
"Bologna",542,313,57.7490774907749,538,538,38.8,452,147,305,424,740,21
"Cagliari",589,336,57.0458404074703,647,647,41.6,421,130,291,388,777,6
"Crotone",540,311,57.5925925925926,556,556,40.5,406,137,269,380,748,12
"Fiorentina",496,263,53.0241935483871,544,544,42.1,362,127,235,388,619,8
"Genoa",555,309,55.6756756756757,640,640,39.8,437,123,314,520,785,12
"Hellas Verona",465,269,57.8494623655914,413,413,41.9,374,144,230,492,756,12
"Inter",506,286,56.5217391304348,527,527,40.4,383,102,281,371,582,8
"Juventus",566,323,57.0671378091873,612,612,39.7,390,114,276,458,581,14
"Lazio",595,346,58.1512605042017,678,678,37.5,404,92,312,445,649,7
"Milan",627,357,56.9377990430622,605,605,45.6,435,133,302,382,732,13
"Napoli",574,345,60.1045296167247,635,635,40.5,381,98,283,369,532,17
"Parma",585,317,54.1880341880342,695,695,38.7,412,116,296,463,806,14
"Roma",478,273,57.1129707112971,582,582,35.4,360,83,277,489,521,26
"Sampdoria",576,326,56.5972222222222,634,634,39.6,470,154,316,453,745,6
"Sassuolo",528,310,58.7121212121212,543,543,44.4,383,141,242,426,629,11
"Spezia",568,320,56.3380281690141,617,617,42.9,364,101,263,394,551,12
"Torino",530,306,57.7358490566038,569,569,43.4,412,127,285,444,727,13
"Udinese",502,294,58.5657370517928,547,547,38.2,428,131,297,440,683,8
