"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Atalanta",30,874,2077,18066,22063,81.9,8542,9641,88.6,1686,2744,61.4,7388,8505,86.9,20351,1656,508,28,181,657,689,201,56,54.6,26392,707,396,56,309,43.7
"Benevento",29,512,1096,11573,15318,75.6,4998,5811,86,1419,2776,51.1,4745,5735,82.7,13338,1919,685,12,95,645,658,169,61,42.6,19178,452,273,60.4,179,39.6
"Bologna",37,706,1516,14683,18539,79.2,6690,7649,87.5,1528,2648,57.7,5992,7098,84.4,16629,1837,533,31,105,669,697,201,73,50.8,22798,628,345,54.9,283,45.1
"Cagliari",32,589,1228,13040,16868,77.3,5808,6708,86.6,1542,2779,55.5,5346,6416,83.3,14915,1896,563,8,96,721,755,170,57,44.8,20989,605,336,55.5,269,44.5
"Crotone",31,582,1217,13532,17229,78.5,5782,6594,87.7,1437,2695,53.3,6004,7014,85.6,15358,1814,600,9,99,544,619,138,57,46.3,21226,623,385,61.8,237,38
"Fiorentina",30,637,1353,13430,17136,78.4,5748,6592,87.2,1668,2930,56.9,5603,6571,85.3,15159,1916,617,10,203,740,742,168,61,46.3,20902,575,325,56.5,250,43.5
"Genoa",34,523,1165,13954,17948,77.7,6410,7297,87.8,1602,3000,53.4,5472,6511,84,16092,1777,519,15,146,579,703,129,79,44.8,22041,541,294,54.3,246,45.5
"Hellas Verona",32,599,1490,12926,17419,74.2,5724,6738,85,1405,2918,48.1,5450,6669,81.7,15491,1823,551,10,102,732,711,185,105,49.8,21344,479,292,61,187,39
"Inter",25,766,1707,18384,21624,85,8126,8970,90.6,1776,2636,67.4,7965,8842,90.1,19951,1608,450,29,152,702,651,206,65,52.5,25312,454,260,57.3,193,42.5
"Juventus",30,949,1768,19839,23031,86.1,8475,9273,91.4,1969,2877,68.4,8934,9758,91.6,21302,1636,496,25,158,754,576,221,93,56.9,27067,684,451,65.9,233,34.1
"Lazio",30,785,1688,16972,20795,81.6,7366,8356,88.2,2007,3161,63.5,7099,8110,87.5,19069,1639,468,25,151,744,653,189,87,53,24888,553,297,53.7,256,46.3
"Milan",29,784,1483,15889,19459,81.7,7279,8168,89.1,1617,2709,59.7,6493,7406,87.7,17686,1681,491,20,140,688,646,213,92,51.7,23790,670,415,61.9,254,37.9
"Napoli",25,884,1703,18892,22210,85.1,9198,10054,91.5,1879,2799,67.1,7244,8103,89.4,20306,1832,611,27,198,665,699,219,72,55.1,25980,628,386,61.5,242,38.5
"Parma",42,607,1319,14837,18427,80.5,5771,6609,87.3,2179,3355,64.9,6553,7501,87.4,16577,1772,542,15,188,643,654,154,78,47.8,22445,589,362,61.5,227,38.5
"Roma",31,863,1583,16561,19977,82.9,6898,7773,88.7,1810,2923,61.9,7551,8390,90,18303,1615,527,57,133,679,562,213,59,52.2,23628,663,397,59.9,266,40.1
"Sampdoria",27,588,1370,13423,17643,76.1,6023,7007,86,1630,3045,53.5,5353,6512,82.2,15658,1923,609,7,187,787,758,199,62,45.2,21722,484,292,60.3,192,39.7
"Sassuolo",28,770,1746,20368,23660,86.1,10297,11141,92.4,1539,2467,62.4,7918,8787,90.1,21905,1698,549,22,110,588,574,208,57,60.3,27665,718,428,59.6,290,40.4
"Spezia",35,627,1388,15563,19566,79.5,6095,6927,88,2379,3847,61.8,6763,7842,86.2,17599,1885,677,16,201,602,744,150,82,51.9,23297,528,322,61,206,39
"Torino",29,617,1138,13369,17163,77.9,6122,6894,88.8,1675,3057,54.8,5209,6234,83.6,15195,1909,659,23,210,740,663,171,59,47.3,21242,635,388,61.1,246,38.7
"Udinese",33,672,1405,13917,17414,79.9,6417,7237,88.7,1389,2492,55.7,5667,6618,85.6,15576,1756,574,21,101,703,651,163,82,46.3,21424,611,376,61.5,233,38.1
